#name	crc	size	key
Adian no Tsue (Japan)	dcc7a8d6	131000	Adian no Tsue (Japan)
Adian no Tsue (Japan) (Beta) (1986-10-29)	e342932f	131000	Adian no Tsue (Japan)
Ai Senshi Nicol (Japan)	3fbdbe79	131000	Ai Senshi Nicol (Japan)
Air Fortress (Japan) (Proto) (1986-10-20)	4928d322	131000	Air Fortress (Japan) (Proto) (1986-10-20)
Akumajou Dracula (Japan)	90e99457	131000	Akumajou Dracula (Japan)
Akumajou Dracula (Japan) (Rev 1)	9661e6a4	131000	Akumajou Dracula (Japan)
Akumajou Dracula (Japan) (Rev 2) (Disk Writer)	7448fb40	131000	Akumajou Dracula (Japan)
Akumajou Dracula (Japan) (Rev 2) (Wii and Wii U Virtual Console)	fc72b953	131000	Akumajou Dracula (Japan)
Akuu Senki Raijin (Japan) (Beta) (1987-06-10)	ce97ddd2	131000	Akuu Senki Raijin (Japan) (Disk Writer)
Akuu Senki Raijin (Japan) (Disk Writer)	e188393f	131000	Akuu Senki Raijin (Japan) (Disk Writer)
Aliens - Alien 2 (Japan) (Proto) (1986-12-15)	2b779ee3	131000	Aliens - Alien 2 (Japan) (Proto) (1986-12-15)
All Night Nippon Super Mario Bros. (Japan) (En) (Promo)	43e7fe95	65500	All Night Nippon Super Mario Bros. (Japan) (En) (Promo)
Apple Town Monogatari - Little Computer People (Japan)	1967673e	131000	Apple Town Monogatari - Little Computer People (Japan)
Armana no Kiseki (Japan)	ec6d5de3	131000	Armana no Kiseki (Japan)
Aspic - Majaou no Noroi (Japan)	1999addb	131000	Aspic - Majaou no Noroi (Japan)
Backgammon (Japan)	4d62de66	65500	Backgammon (Japan)
Bakutoushi Patton-kun (Japan)	617942a4	131000	Bakutoushi Patton-kun (Japan)
Baseball (Japan)	23bd2653	65500	Baseball (Japan)
Big Challenge! Dogfight Spirit (Japan)	4e92b68e	131000	Big Challenge! Dogfight Spirit (Japan)
Big Challenge! Go! Go! Bowling (Japan)	a1ce4038	131000	Big Challenge! Go! Go! Bowling (Japan)
Big Challenge! Gun Fighter (Japan)	d9836fb3	131000	Big Challenge! Gun Fighter (Japan)
Big Challenge! Juudou Senshuken (Japan)	16c8cdd5	131000	Big Challenge! Juudou Senshuken (Japan)
Bio Miracle Bokutte Upa (Japan)	c57b947f	131000	Bio Miracle Bokutte Upa (Japan)
Bio Miracle Bokutte Upa (Japan) (3DS Virtual Console)	e6801342	131000	Bio Miracle Bokutte Upa (Japan)
Bio Miracle Bokutte Upa (Japan) (Wii and Wii U Virtual Console)	494cc75e	131000	Bio Miracle Bokutte Upa (Japan)
Bomberman (Japan) (Disk Writer)	b84c2259	65500	Bomberman (Japan) (Disk Writer)
Breeder (Japan)	f8fc6d6e	131000	Breeder (Japan)
