#key	style	ss_system_id
Adian no Tsue (Japan)	mixrbv2	106
Ai Senshi Nicol (Japan)	mixrbv2	106
Air Fortress (Japan) (Proto) (1986-10-20)	mixrbv2	106
Akumajou Dracula (Japan)	mixrbv2	106
Akuu Senki Raijin (Japan) (Disk Writer)	mixrbv2	106
Aliens - Alien 2 (Japan) (Proto) (1986-12-15)	mixrbv2	106
All Night Nippon Super Mario Bros. (Japan) (En) (Promo)	mixrbv2	106
Apple Town Monogatari - Little Computer People (Japan)	mixrbv2	106
Armana no Kiseki (Japan)	mixrbv2	106
Aspic - Majaou no Noroi (Japan)	mixrbv2	106
Backgammon (Japan)	mixrbv2	106
Bakutoushi Patton-kun (Japan)	mixrbv2	106
Baseball (Japan)	mixrbv2	106
Big Challenge! Dogfight Spirit (Japan)	mixrbv2	106
Big Challenge! Go! Go! Bowling (Japan)	mixrbv2	106
Big Challenge! Gun Fighter (Japan)	mixrbv2	106
Big Challenge! Juudou Senshuken (Japan)	mixrbv2	106
Bio Miracle Bokutte Upa (Japan)	mixrbv2	106
Bomberman (Japan) (Disk Writer)	mixrbv2	106
Breeder (Japan)	mixrbv2	106
Bubble Bobble (Japan)	mixrbv2	106
BurgerTime (Japan) (Disk Writer)	mixrbv2	106
Chitei Tairiku Ordola (Japan)	mixrbv2	106
Cleopatra no Mahou (Japan)	mixrbv2	106
Clu Clu Land (Japan) (En) (Disk Writer)	mixrbv2	106
Cocona World (Japan)	mixrbv2	106
Dandy - Zeuon no Fukkatsu (Japan)	mixrbv2	106
Dead Zone (Japan)	mixrbv2	106
Dig Dug (Japan) (Disk Writer)	mixrbv2	106
Dig Dug II (Japan) (Disk Writer)	mixrbv2	106
Dirty Pair - Project Eden (Japan)	mixrbv2	106
Donkey Kong (Japan) (Disk Writer)	mixrbv2	106
Donkey Kong Jr. (Japan) (Disk Writer)	mixrbv2	106
Doremikko (Japan)	mixrbv2	106
Dr. Chaos - Jigoku no Tobira (Japan)	mixrbv2	106
Dracula II - Noroi no Fuuin (Japan)	mixrbv2	106
Druid - Kyoufu no Tobira (Japan)	mixrbv2	106
Egger Land (Japan)	mixrbv2	106
Egger Land - Souzou e no Tabidachi (Japan) (Disk Writer)	mixrbv2	106
Electrician (Japan)	mixrbv2	106
Esper Dream (Japan)	mixrbv2	106
Exciting Baseball (Japan)	mixrbv2	106
Exciting Basket (Japan)	mixrbv2	106
Exciting Billiard (Japan)	mixrbv2	106
Exciting Soccer - Konami Cup (Japan)	mixrbv2	106
Fairytale (Japan)	mixrbv2	106
Falsion (Japan)	mixrbv2	106
Famicom Grand Prix - F1 Race (Japan) (DV 1) (Disk Writer)	mixrbv2	106
Famicom Grand Prix II - 3D Hot Rally (Japan) (DV 8) (Disk Writer) (Famicom 3D System)	mixrbv2	106
Famicom Mukashibanashi - Shin Onigashima - Kouhen (Japan)	mixrbv2	106
Famicom Mukashibanashi - Shin Onigashima - Zenpen (Japan) (DV 2, 3) (Disk Writer)	mixrbv2	106
Famicom Mukashibanashi - Yuuyuuki - Kouhen (Japan)	mixrbv2	106
Famicom Mukashibanashi - Yuuyuuki - Zenpen (Japan)	mixrbv2	106
Famicom Tantei Club - Kieta Koukeisha - Kouhen (Japan)	mixrbv2	106
Famicom Tantei Club - Kieta Koukeisha - Zenpen (Japan) (DV 1, 3)	mixrbv2	106
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Kouhen (Japan) (DV 3, 4)	mixrbv2	106
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Zenpen (Japan)	mixrbv2	106
Family Composer (Japan) (Disk Writer)	mixrbv2	106
Famimaga Disk Vol. 1 - Hong Kong (Japan)	mixrbv2	106
Famimaga Disk Vol. 2 - Panic Space (Japan) (Disk Writer)	mixrbv2	106
Famimaga Disk Vol. 3 - All 1 (Japan) (Disk Writer)	mixrbv2	106
Famimaga Disk Vol. 4 - Clocks (Japan) (Disk Writer)	mixrbv2	106
Famimaga Disk Vol. 5 - Puyo Puyo (Japan) (Disk Writer)	mixrbv2	106
Famimaga Disk Vol. 6 - Janken Disk Jou (Japan) (Disk Writer)	mixrbv2	106
Final Command - Akai Yousai (Japan)	mixrbv2	106
Fire Bam (Japan)	mixrbv2	106
Fire Rock (Japan)	mixrbv2	106
Fuuun Shourin Ken (Japan)	mixrbv2	106
Fuuun Shourin Ken - Ankoku no Maou (Japan) (Famicom 3D System)	mixrbv2	106
Galaga (Japan) (Disk Writer)	mixrbv2	106
Galaxian (Japan) (Disk Writer)	mixrbv2	106
Gall Force - Eternal Story (Japan)	mixrbv2	106
German Tanteidan MarinGumi - Maruhi Jigomar Sousa File (Japan)	mixrbv2	106
Ginga Denshou - Galaxy Odyssey (Japan)	mixrbv2	106
Gokuraku Yuugi - Game Tengoku (Japan)	mixrbv2	106
Golf (Japan)	mixrbv2	106
Golf - Japan Course (Japan) (DV 2)	mixrbv2	106
Golf - US Course (Japan) (DV 2) (Disk Writer)	mixrbv2	106
Goonies (Japan) (Disk Writer)	mixrbv2	106
Green Beret (Japan)	mixrbv2	106
Gun.Smoke (Japan)	mixrbv2	106
Gyruss (Japan)	mixrbv2	106
Halley Wars (Japan)	mixrbv2	106
Hao-kun no Fushigi na Tabi (Japan)	mixrbv2	106
Hikari Shinwa - Palthena no Kagami (Japan)	mixrbv2	106
Hikaru Genji - Roller Panic (Japan)	mixrbv2	106
I Am a Teacher - Super Mario no Sweater (Japan)	mixrbv2	106
I Am a Teacher - Teami no Kiso (Japan)	mixrbv2	106
Ice Climber (Japan) (En) (Disk Writer)	mixrbv2	106
Ice Hockey (Japan)	mixrbv2	106
Idol Hotline - Nakayama Miho no Tokimeki High School (Japan) (DV 11) (Disk Writer)	mixrbv2	106
Igo - Kyuu Roban Taikyoku (Japan)	mixrbv2	106
Ishidou (Japan) (Disk Writer)	mixrbv2	106
Jikai Shounen Met Mag (Japan)	mixrbv2	106
Kaettekita Mario Bros. (Japan) (Disk Writer)	mixrbv2	106
Kalin no Tsurugi (Japan)	mixrbv2	106
Kamen Rider Black - Taiketsu Shadow Moon (Japan)	mixrbv2	106
Karate Champ (Japan)	mixrbv2	106
Kattobi! Douji (Japan)	mixrbv2	106
Kick Challenger - Air Foot - Yasai no Kuni no Ashi Senshi (Japan)	mixrbv2	106
Kick and Run (Japan)	mixrbv2	106
Kieta Princess (Japan)	mixrbv2	106
Kiki Kaikai - Dotou Hen (Japan)	mixrbv2	106
Kinnikuman - Kinnikusei Oui Soudatsusen (Japan)	mixrbv2	106
Knight Lore - Majou no Ookami Otoko (Japan)	mixrbv2	106
Knight Move (Japan)	mixrbv2	106
Konamic Ice Hockey (Japan)	mixrbv2	106
Konamic Tennis (Japan)	mixrbv2	106
Koneko Monogatari - The Adventures of Chatran (Japan)	mixrbv2	106
Link no Bouken - The Legend of Zelda 2 (Japan)	mixrbv2	106
Lutter (Japan) (Disk Writer)	mixrbv2	106
Madou Senki - Deep Dungeon (Japan)	mixrbv2	106
Maerchen Veil (Japan)	mixrbv2	106
Magma Project - Hacker (Japan)	mixrbv2	106
Mahjong (Japan)	mixrbv2	106
Mahjong Kazoku (Japan)	mixrbv2	106
Matou no Houkai - The Hero of Babel (Japan)	mixrbv2	106
Meikyuu Jiin Dababa (Japan)	mixrbv2	106
Metroid (Japan) (Rev 3)	mixrbv2	106
Michael English Daibouken (Japan)	mixrbv2	106
Moero TwinBee - Cinnamon Hakase wo Sukue! (Japan)	mixrbv2	106
Monitor Puzzle Kineko, The - Kinetic Connection (Japan)	mixrbv2	106
Monitor Puzzle Kineko, The - Kinetic Connection II (Japan) (Disk Writer)	mixrbv2	106
Monty on the Run - Monty no Doki Doki Dai Dassou (Japan)	mixrbv2	106
Moonball Magic (Japan) (Disk Writer)	mixrbv2	106
Namida no Soukoban Special (Japan)	mixrbv2	106
Nankin no Adventure (Japan) (Disk Writer)	mixrbv2	106
Nazo no Kabe - Block Kuzushi (Japan)	mixrbv2	106
Nazo no Murasamejou (Japan)	mixrbv2	106
Nazoler Land - Dainigou (Japan)	mixrbv2	106
Nazoler Land - Daisangou (Japan)	mixrbv2	106
Nazoler Land - Soukangou (Japan)	mixrbv2	106
Nazoler Land Special!! - Quiz Ou wo Sagase (Japan)	mixrbv2	106
Neunzehn - 19 (Japan)	mixrbv2	106
Omoikkiri Tanteidan HaadoGumi - Matenrou no Chousenjou (Japan)	mixrbv2	106
Othello (Japan) (DV 3, 5) (Disk Writer)	mixrbv2	106
Otocky (Japan)	mixrbv2	106
Pac-Man (Japan) (Disk Writer)	mixrbv2	106
Pachicom (Japan) (Disk Writer)	mixrbv2	106
Pachinko Grand Prix (Japan)	mixrbv2	106
Patlabor - The Mobile Police - Daini Shoutai Shutsudou seyo! (Japan) (Disk Writer)	mixrbv2	106
Pinball (Japan) (Disk Writer)	mixrbv2	106
Pro Golfer Saru - Kage no Tournament (Japan)	mixrbv2	106
Pro Wres (Japan) (En)	mixrbv2	106
Professional Mahjong Gokuu (Japan)	mixrbv2	106
Pulsar no Hikari - Space Wars Simulation (Japan)	mixrbv2	106
Putt Putt Golf (Japan)	mixrbv2	106
Puzzle Boys (Japan) (Disk Writer)	mixrbv2	106
Radical Bomber!! Jirai-kun (Japan) (Disk Writer)	mixrbv2	106
Reflect World (Japan)	mixrbv2	106
Relics - Ankoku Yousai (Japan)	mixrbv2	106
Replicart (Japan)	mixrbv2	106
Risa no Yousei Densetsu (Japan)	mixrbv2	106
Roger Rabbit (Japan)	mixrbv2	106
SD Gundam World - Gachapon Senshi - Scramble Wars (Japan) (Disk Writer)	mixrbv2	106
Samurai Sword (Japan)	mixrbv2	106
Santa Claus no Takarabako (Japan)	mixrbv2	106
Section-Z (Japan)	mixrbv2	106
Seiken Psychocalibur - Majuu no Mori Densetsu (Japan)	mixrbv2	106
Shanghai (Japan) (Proto) (1986-10-16)	mixrbv2	106
Shanghai II (Japan) (Proto) (Dragon Layout)	mixrbv2	106
Silviana - Ai Ippai no Little Angel (Japan)	mixrbv2	106
