#key	synopsis
Adian no Tsue (Japan)	Adian no Tsue („Stab von Adian“) ist ein lehrreiches Action-Adventure-Spiel, in dem Sie einen Jungen namens Lucian steuern, der sich auf den Weg macht, Prinzessin Patricia vor einem Dämonenkönig zu retten. Sie müssen durch Level navigieren, indem Sie Feinde mit Ihrem Stab besiegen und Rechenaufgaben lösen, um Glocken und Erfahrung zu verdienen. Glocken sind die Währung, mit der Sie Gegenstände beim Ladenbesitzer kaufen. 600 Erfahrungspunkte sind erforderlich, um die Tür zum nächsten Level zu öffnen oder den Bosskampf in bestimmten Räumen auszulösen, die Sie entdecken müssen.
Ai Senshi Nicol (Japan)	Helfen Sie dem mutigen Erfinder Nicol, in diesem Overhead-Actionspiel seine entführte Freundin Stella vor einem Dämonenbullenkönig vom Planeten Dairass zu retten. Steuern Sie Nicol durch 7 Kontinente, während er in jedem Level 3 Teile seiner Dimensionstransporter-Erfindung zurückgewinnt, die der Dämonenkönig gestohlen und in Diamanten gehüllt hat. Sie schießen auf verschiedene Schergen los und meiden tückisches Gelände, während Sie mehrere Etagen jedes Kontinents erkunden und nach Diamanten suchen, um sich wieder mit Stella zu vereinen und den bösen Dämonenkönig zu besiegen!
Air Fortress (Japan) (Proto) (1986-10-20)	Die Menschen auf dem Planeten Farmel, die kürzlich die Technologie für die Raumfahrt erworben hatten, erkundeten eifrig die Galaxie, nur um eine Herde monströser „Luftfestungen“ zu finden, die sich in ihre Richtung bewegten. Sie stellten schnell fest, dass sich die Festungen wie interstellare Heuschrecken verhielten und alle Ressourcen und Lebewesen auf ihrem Weg verschlangen. Die Weltraumföderation schickte ihre mächtigste Flotte, die jedoch schnell von den mächtigen Festungen vernichtet wurde. In einem letzten Schachzug schicken sie einen einzelnen Krieger namens Hal Bailman, ausgerüstet mit einem abgeschirmten Raumanzug, mächtigen Waffen und einem kleinen „Feuerschiff“, um die Festungen zu infiltrieren und sie von innen heraus zu zerstören.
Akumajou Dracula (Japan)	Dank des legendären Helden Christopher Belmont, einem Vampirjäger, der Graf Dracula einhundert Jahre zuvor mit einer heiligen Peitsche namens Vampire Killer besiegte, genoss Siebenbürgen ein Jahrhundert des Friedens. Während die Osterfeierlichkeiten mit einem großen Karneval weitergingen, versammelten sich böse Männer in einem Kloster am Rande des Dorfes und hielten eine schwarze Messe ab, um Graf Dracula wiederzubeleben. Den Männern gelang es, ihren Herrn zurückzuholen. Ein Blitz hüllte das Kloster ein, in dem der Ritus abgehalten wurde, und kündigte die Auferstehung des Grafen Dracula an. Als der Graf zurückkehrte, tauchte seine Burg, die vor 100 Jahren gefallen war, in Siebenbürgen wieder auf und seine Legionen treuer Diener formierten sich neu. Simon Belmont, der Nachkomme von Christopher Belmont, wusste, dass es als Mitglied des Belmont-Clans und derzeitiger Träger der Vampir-Killer-Peitsche seine Pflicht war, durch die Zerstörung von Dracula Frieden und Stabilität zurückzubringen.
Akuu Senki Raijin (Japan) (Disk Writer)	Im Jahr 2734 griff die mechanische Lebensform Garemu plötzlich fünf Hyperraum-Navigationssendepunkte, „FIELD“, an. Um Garems Invasion zu verhindern, hat die Milchstraßen-Allianz beschlossen, die mobile Waffe Raijin einzusetzen, die Sie steuern müssen. Wie bei Squares früherem Halbklassiker Thexder kann der Spieler an bestimmten Stellen jedes Levels zwischen den beiden Modi seines Handwerks wechseln. Sobald der Spieler als Mecha den Boden berührt, kann er gelegentlich andere Richtungen finden, um als Raumschiff seine Erkundung fortzusetzen, indem er sowohl vertikal scrollende als auch seitwärts scrollende Shoot'em-up-Abschnitte präsentiert. Es gibt drei Gegenstände, die Sie finden müssen, bevor Sie ein Level abschließen. ein Stern, eine Kugel, ein Computer und eine Bombe. Nachdem Sie all dies gesammelt haben, wird der Bosskampf ausgelöst, wenn Sie das nächste Mal versuchen, den Bossbereich zu betreten.
Aliens - Alien 2 (Japan) (Proto) (1986-12-15)	Basierend auf dem Film Aliens sollte dieser unfertige Prototyp von Square eine Portierung des veröffentlichten MSX-Spiels sein. Du steuerst Ripley, während sie durch seitlich scrollende Labyrinth-Levels navigiert, während sie die außerirdischen Horden bekämpft. Unterwegs können Sie verschiedene Waffen sammeln, die Ihnen das Leben erleichtern, sowie ein Power-Up, mit dem Ripley mit der klobigen Sprungsteuerung des Spiels beim Purzelbaum helfen kann.
All Night Nippon Super Mario Bros. (Japan) (En) (Promo)	All Night Nippon Super Mario Bros. ist eine Neuauflage von Super Mario Bros und Super Mario Bros.: The Lost Levels. Das Spiel wurde dann in einem Einschreibewettbewerb des Radiosenders zum 20-jährigen Jubiläum der Sendung All Night Nippon verlost. Der Großteil des Spiels sind Welten aus Super Mario Bros. Diese wurden meist durch andere Grafiken und Sprites ergänzt und verändert. Zudem wurden einige Levels aus Super Mario Bros.: The Lost Levels und Vs. Super Mario Bros. übernommen.
Apple Town Monogatari - Little Computer People (Japan)	Eine Version von Little Computer People für Nintendos Family Computer Disk System-Version, veröffentlicht in Japan von DOG (einer Tochtergesellschaft von Square). Basierend auf dem Originalspiel von Activision. Im Gegensatz zu früheren Versionen von Little Computer People ist die spielbare Figur ein Mädchen, das ein rosa Kleid und eine Schleife im Haar trägt. Auch die Zimmer des Hauses haben eine andere Konfiguration und verfügen über einen Außenbalkon im obersten Stockwerk. Wenn das Spiel zum ersten Mal gespielt wird, wird aus einer vorprogrammierten Liste zufällig ein Name für den Charakter ausgewählt. Bei diesem Spiel gibt es keine Gewinnbedingungen. Sie beobachten das Mädchen grundsätzlich und interagieren auf verschiedene Weise mit ihm. Allerdings fehlen Apple Town Story viele der Funktionen, die in anderen Versionen von Little Computer People zu finden sind.
Armana no Kiseki (Japan)	Ein magisches rotes Juwel, bekannt als Almana, wird aus einem namenlosen Dorf gestohlen. Ein Dieb flieht mit dem Juwel und verwandelt das gesamte Dorf in Stein. Der Spieler schlüpft in die Rolle von Kaito, einem Helden, der Indiana Jones ähnelt, und muss auf der Suche nach dem verlorenen Juwel durch sechs höhlenartige Level reisen. Kaitos Hauptfortbewegungsmittel ist einzigartig: Er kann nicht nur laufen und springen, wie in den meisten Jump'n'Run-Spielen, sondern muss auch einen speziellen Enterhaken benutzen, um zu hohe Plattformen zu erreichen. Erschwerend kommt hinzu, dass der Enterhaken nur in diagonale Richtung und nicht gerade nach oben geworfen werden kann.
Aspic - Majaou no Noroi (Japan)	Aspic ist der Nachfolger zu Lizard, einem von Xtalsoft's früheren Spielen. Aspic beginnt genau dort, wo Lizard aufhörte. Der Spieler erhält das Buch der Wahrheit, welches benötigt wird, um den Fluch der Prinzessin zu brechen. Der Spieler kehrt zum König zurück, um festzustellen, dass die Prinzessin vermisst wird. Drei Tage zuvor erschien ein Zauberer und informierte den König darüber, dass es einen weiteren Weg gibt die Prinzessin zu retten. So legte der König das Leben der Prinzessin in die Hände des Zauberers. Nun da du zurückgekehrt bist, bittet der König dich herauszufinden, was mit dem Zauberer und der Prinzessin passiert ist.
Backgammon (Japan)	Mit Backgammon kann man unkompliziert allein oder zu zweit das bekannte Brettspiel am NFS spielen. Das Spiel verfügt über ein Tutorial, ein Einzelspieler-Modus, ein Turniermodus und einen Zwei-Spieler-Modus, in dem sich zwei menschliche Spieler abwechseln.
Bakutoushi Patton-kun (Japan)	Bakutoushi Patton-Kun ist ein Overhead-Panzerkampfspiel, das im Stil dem Combat-Spiel von Atari ähnelt. Es war der erste FDS-Titel, bei dem vier Spieler gleichzeitig spielen konnten. Im Spiel versuchen die Spieler, die Panzer der anderen zu zerstören. Wenn ein Panzer zerstört wird, verlässt der Fahrer des Panzers das Fahrzeug und muss versuchen, lange genug am Leben zu bleiben, damit ein Ersatzpanzer mit dem Fallschirm vom Himmel herabspringen kann. Das Spiel wird fortgesetzt, bis nur noch ein Panzer der einzige Überlebende ist. Dann gelangen die Spieler zu einer neuen Stufe mit anderem Gelände. Insgesamt gibt es 56 Etappen. Panzerstatistiken können auch im Editormodus geändert werden. Obwohl im Titel auf den Namen des amerikanischen Generals George S. Patton Bezug genommen wird, wird er im gesamten Spiel an keiner anderen Stelle erwähnt. Obwohl das Spiel nur in Japan veröffentlicht wurde, enthalten die Anweisungen auf dem Ladebildschirm englische Obszönitäten.
Baseball (Japan)	Eine Neuveröffentlichung von Nintendos Famicom Baseball für das Famicom Disk System im Jahr 1986. Wie beim echten Baseball besteht das Ziel des Spiels darin, die meisten Runs zu erzielen. Es werden bis zu zwei Spieler unterstützt. Jeder Spieler kann aus einem von sechs Teams wählen. Obwohl es bis auf die einheitliche Farbe keinen Unterschied zwischen ihnen gibt, sollen sie die sechs Mitglieder der japanischen Zentralliga repräsentieren.
Big Challenge! Dogfight Spirit (Japan)	Große Herausforderung! Dogfight Spirit ist ein vertikal scrollendes Shoot'em Up, bei dem der Spieler einen blauen Hubschrauber steuert, der gegen Wellen feindlicher Fahrzeuge und Bodentürme kämpft. Jede Mission führt den Hubschrauber in einen anderen Teil der Welt, jeder mit einem unverwechselbaren, wenn auch chromatisch schlichten visuellen Stil. Die Power-Ups des Spiels, die durch die Zerstörung kleinerer über den Bildschirm fahrender Versorgungslastwagen verfügbar sind, verändern die Waffen des Hubschraubers, machen sie jedoch nicht stärker. Es ist sogar möglich, die schwächere Originalwaffe wieder einzusammeln, wenn der Spieler zu unvorsichtig ist. Diese reichen von einer stärkeren, nach vorne feuernden Kanone (oder einem Laser) bis zu Kanonen, die das Feuer nach vorne und zu den Seiten des Hubschraubers verteilen. Sie können es mehr als einmal schlagen, wobei die Gegner bei nachfolgenden Durchspielen mehr Treffer einstecken.
