#key	synopsis
Adian no Tsue (Japan)	Adian no Tsue (&quot;Staff of Adian&quot;) es un juego educativo de acción y aventura que se asemeja mucho a The Legend of Zelda, o al menos a sus áreas de mazmorras. Sin embargo, una gran diferencia es que para recolectar la moneda principal del juego, las campanas, el jugador debe resolver acertijos aritméticos básicos.
Ai Senshi Nicol (Japan)	Nicol es un joven genio que desarrolló la tecnología para transportar equipos a través de las dimensiones del espacio. Las noticias sobre este descubrimiento se extendieron por toda la galaxia, y ahora una amenaza amenazante de un sistema estelar distante está determinado a poner sus manos en esa tecnología para sus propios fines. Para hacer eso, un demonio ha secuestrado a la novia de Nicol, Stella, y la mantiene cautiva hasta que obtenga la tecnología. Ella espera impotente detrás de la cámara del demonio, sin perder la esperanza de que su verdadero amor Nicol vendrá a salvarla.
Air Fortress (Japan) (Proto) (1986-10-20)	La gente del planeta Farmel, después de haber adquirido recientemente la tecnología para el espacio aéreo, exploró con entusiasmo la galaxia para encontrar una monstruosa &quot;Fortaleza aérea&quot; que se movía en su dirección. Rápidamente descubrieron que las Fortalezas se comportaron como langostas interestelares, consumiendo todos los recursos y seres vivos a su paso. La Federación Espacial siente su flota más poderosa, que fue rápidamente eliminada por las poderosas Fortalezas. En una última jugada, envían a un solo guerrero llamado Hal Bailman, con un traje espacial blindado, armas poderosas y una pequeña &quot;nave de luz&quot; para infiltrarse en las Fortalezas y destruirlas de adentro hacia afuera.
Akumajou Dracula (Japan)	Transilvania disfrutó de un siglo de paz gracias al legendario héroe, Christopher Belmont, un cazador de vampiros que venció al Conde Drácula cien años antes con un látigo sagrado llamado Vampire Killer. Mientras la celebración de Pascua continuaba con un gran carnaval, los hombres malvados se reunieron en un monasterio en el borde de la aldea y condujeron una misa negra para resucitar al Conde Drácula. Los hombres tuvieron éxito en traer de vuelta a su maestro. Un rayo de luz envolvió el monasterio donde celebraron el rito, señalando la resurrección del Conde Drácula. Cuando el Conde regresó, su Castillo, que había caído cien años antes, reapareció en Transilvania, y sus legiones de leales mineros se reformaron. Simon Belmont, el descendiente de Christopher Belmont, sabía que como miembro del Clan Belmont y actual poseedor del látigo Asesino de Vampiros, era su deber devolver la paz y la estabilidad a Transilvania al destruir a Drácula.
Akuu Senki Raijin (Japan) (Disk Writer)	Al igual que el anterior Thexder semiclásico de Square, el jugador puede optar por cambiar entre los dos modos de su oficio en ciertos puntos de cada nivel. Al tocar el suelo como el mecha, el jugador ocasionalmente puede encontrar otras direcciones para continuar explorando como una nave espacial, presentando secciones de disparos verticales y de desplazamiento lateral.
Aliens - Alien 2 (Japan) (Proto) (1986-12-15)	Aliens: Alien 2 es un juego de plataformas arcade (o run'n'gun si quieres) con Ripley en un planeta infestado de alienígenas. Armado con solo un arma básica al principio, se enfrenta a los carabineros que salen de los huevos alienígenas. Después de haber despachado un abrazo facial, el huevo puede dispararse para revelar un objeto. Los artículos pueden ser granadas de mano, armas más fuertes o artículos de ala que la hacen saltar más tiempo. El juego estaba programado para lanzarse en 1987, pero fue cancelado. El prototipo se filtró a internet en 2009.
All Night Nippon Super Mario Bros. (Japan) (En) (Promo)	All Night Nippon Super Mario Bros. es una edición especial solo para Japón de Super Mario Bros. en la que muchos de los enemigos del juego son reemplazados por celebridades. El juego se presentó originalmente como un premio de la rifa en el programa de radio All Night Nippon antes de salir a la venta al por menor.
Apple Town Monogatari - Little Computer People (Japan)	A diferencia de las versiones anteriores de Little Computer People, el personaje jugable es una chica con un vestido rosa y lazo en el pelo. Las habitaciones de la casa también tienen una configuración diferente, con un balcón al aire libre en el último piso. Cuando se juega por primera vez, se elige un nombre para el personaje al azar de una lista preprogramada. No hay condiciones ganadoras en este juego. Básicamente, ves e interactúas con la chica de varias maneras. Sin embargo, Apple Town Story carece de muchas de las funciones que se encuentran en otras versiones de Little Computer People.
Armana no Kiseki (Japan)	Una joya roja mágica, conocida como el Arumana, es robada de un pueblo sin nombre. Un ladrón se escapa con la joya y convierte a toda la aldea en piedra. Kaito debe viajar a través de seis niveles cavernosos en busca de la joya robada, Arumana. El jugador comienza con treinta cuchillos arrojadizos como su arma de ataque. A medida que se aventuran a través de los niveles, pueden encontrar otras armas. Estos incluyen bombas, una pistola, bolas, una bola de cristal que destruye todo en la pantalla y minas. Debe destruir varias criaturas que habitan en cuevas así como soldados, que a veces arrojan armas.
Aspic - Majaou no Noroi (Japan)	Obtuviste el Libro de la Verdad, que es necesario para romper la maldición sobre la princesa. Cuando vuelves al rey, te das cuenta de que la princesa ha desaparecido. Tres días antes, apareció un mago e informó al rey que había otra forma de salvar a la princesa, por lo que el rey le confió la vida de la princesa al mago. Ahora que has regresado, el rey te suplica que descubras qué ha pasado con el mago y la princesa.
