#key	synopsis
Adian no Tsue (Japan)	Adian no Tsue est un jeu d'action-aventure qui ressemble fortement à The Legend of Zelda, ou du moins ses donjons. Toutefois, une différence majeure est que, afin de recueillir la devise principale du jeu (des cloches), le joueur doit résoudre des énigmes arithmétiques. Chaque salle contient des monstres la première fois que le joueur y entre. Après les avoir vaincu, le joueur peut choisir une des portes voisines: certaines conduisent à d'autres pièces, mais d'autres, tout simplement contiennent une cloche. Avant que le joueur puisse prendre cette cloche, il faut résoudre un problème arithmétique : si la réponse est correcte, le joueur prends la cloche et continue. Si la réponse est incorrecte, la porte se referme et des monstres envahissent la pièce.
Ai Senshi Nicol (Japan)	Ai Senshi Nikoru est un jeu de tir. Vous jouez Nicol,qui se bat contre une horde d'aliens pour sauver sa petite amie enlevée. Armé de seulement un blaster, il doit se frayer un chemin à travers 7 niveaux.
Air Fortress (Japan) (Proto) (1986-10-20)	Les habitants de la planète Farmel, qui ont récemment acquis la technologie nécessaire pour voyager dans l'espace, ont exploré la galaxie pour trouver un ensembles de «forteresses aériennes» monstrueuses se déplaçant dans leur direction. Ils ont rapidement découvert que les forteresses se comportaient comme des parasites interstellaires, consommant toutes les ressources et les êtres vivants sur leur passage. La fédération spatiale a envoyé sa flotte la plus puissante, qui a rapidement été éliminée par les puissantes forteresses. Dans une ultime manoeuvre, ils envoient un seul guerrier nommé Hal Bailman, équipé d'un scaphandre spatial blindé, d'armes puissantes et d'un chasseur spatial pour infiltrer les forteresses et les détruire de l'intérieur.
Akumajou Dracula (Japan)	La Transylvanie a connu un siècle de paix grâce au légendaire héro Christopher Belmont, un chasseur de vampires qui a vaincu le comte Dracula cent ans plus tôt avec un fouet sacré nommé Vampire Killer. Alors que la célébration de Pâques se poursuit avec un grand carnaval, des hommes se rassemblent dans un monastère au bord du village et menent une messe noire pour ressusciter le comte Dracula.Simon Belmont, le descendant de Christopher Belmont, sait qu'en tant que membre du Clan Belmont et porteur actuel du fouet Vampire Killer, il a pour mission de ramener la paix et la stabilité en Transylvanie en détruisant Dracula.
Akuu Senki Raijin (Japan) (Disk Writer)	Jeu de tir où le joueur contrôle un mécha qui se transforme en starfighter. Comme dans Thexder autre jeu de Square, le joueur peut changer entre les deux modes de métier à certains points de chaque niveau. En touchant le sol en forme de mécha, le joueur peu parfois trouver des zones à explorer en forme de starfighter.
Aliens - Alien 2 (Japan) (Proto) (1986-12-15)	Jeu annulé avant sa sortie.Portage de la version MSX.
All Night Nippon Super Mario Bros. (Japan) (En) (Promo)	Le jeu a été distribué lors d'un concours organisé par l'émission de radio japonaise All Night Nippon.Ce jeu est une version de Super Mario Bros. se passant de nuit, avec de nouveaux personnages liés à l'émission de radio et reprenant des niveaux issus de Super Mario Bros., Super Mario Bros. 2 (version japonaise) ou encore VS. Super Mario Bros..
Apple Town Monogatari - Little Computer People (Japan)	Contrairement aux versions précédentes de Little Computer People, le personnage jouable est une fille portant une robe rose et un arc dans ses cheveux. Les chambres de la maison sont également dans une configuration différente, disposant d'un balcon extérieur à l'étage supérieur. Lorsque le jeu est joué pour la première fois, un nom pour le personnage est choisi au hasard dans une liste préprogrammée.
Armana no Kiseki (Japan)	Un bijou magique rouge, connu sous le nom de l'Arumana, est volé dans un village inconnu. Le voleur s'enfuit avec le bijou et transforme tout le village en pierre. Le héros du jeu doit pister le voleur et retrouver le bijou volé.Le joueur dirige le héros qui doit traverser six niveaux caverneux à la recherche du bijou perdu. Il commence le jeu avec pour seule arme un couteau. Au cours de sa progression il peut trouver un nombre varié d'armes telles que des bombes, un pistolet, un boomerang, une boule qui détruit tout à l'écran, ou encore une masse. Il doit détruire de nombreuses créatures vivant dans les cavernes ainsi que leurs acolytes, qui parfois déposent des armes.
Aspic - Majaou no Noroi (Japan)	Aspic est la suite d'un des premiers jeux de Xtalsoft, Lizard. Aspic commence juste là où Lizard se termine. Le joueur obtient le Livre de Vérité, qui est nécessaire pour briser la malédiction sur la princesse. Malheureusement la princesse a disparu.Trois jours auparavant, un sorcier est apparu et a informé le roi qu'il y avait une autre façon de sauver la princesse, ainsi le roi a confié la vie de la princesse au magicien. Maintenant que tu es revenu, le Roi te supplie de retrouver la princesse.
Backgammon (Japan)	Backgammon est un jeu qui permet à deux joueurs de participer à des matchs de backgammon. Le jeu comporte un didacticiel expliquant comment jouer et offre un mode Match unique et Tournoi. Il y a aussi le mode deux joueurs dans lequel deux joueurs humains se relayent.
Bakutoushi Patton-kun (Japan)	Il s'agit d'un jeu de combat de tank similaire au jeu de combat d'Atari. C'est le premier titre de FDS à permettre à quatre joueurs de jouer simultanément. Dans le jeu, les joueurs tentent de détruire les tanks des adversaires. Si un tank est détruit, le conducteur quittera le véhicule et devra essayer de rester en vie assez longtemps pour qu'un tank de remplacement soit parachuté. Le jeu continue jusqu'à ce qu'un seul tank reste . Ensuite, les joueurs passent à un autre niveau avec un terrain différent. Il y a 56 niveaux au total.
Baseball (Japan)	Une re-sortie pour Famicom Disk System en 1986 du Famicom Baseball de Nintendo. Comme dans le vrai baseball, l'objet du jeu est de marquer le plus de runs possible.Chaque joueur peut choisir parmi six équipes. Bien qu'il n'y ait aucune différence entre elles autres que la couleur de leur tenue elles sont censées représenter les six membres de la Ligue japonaise.
Big Challenge! Dogfight Spirit (Japan)	Dogfight Spirit est un shoot them up dans lequel le joueur contrôle un hélicoptère bleu luttant contre les vagues de véhicules ennemis et des tourelles au sol. Chaque mission envoie l'hélicoptèrdans une partie du monde, chacun avec un style visuel distinctif.
Big Challenge! Go! Go! Bowling (Japan)	Big Challenge! Go! Go! Bowling est le quatrième et dernier jeu de la série Big Challenge de Jaleco sur le Famicom Disk System, et le dernier jeu FDS de Jaleco. C' est une simulation simple de bowling à dix quilles.
Big Challenge! Gun Fighter (Japan)	Un shérif doit abattre les hors-la-loi de l'ouest sauvage, et découvrir le plus grand mystére qui a terrorisé la ville pendant des décennies.
Big Challenge! Juudou Senshuken (Japan)	Ce jeu est le premier titre de Jaleco's Big Challenge! séries. L'objet du jeu est de vaincre l'adversaire en utilisant des mouvements de Judo.La victoire permet au joueur de continuer le tournoi et de faire face à des ennemis plus forts.
Bio Miracle Bokutte Upa (Japan)	Upa est le prince d'un royaume magique et dernier né d'une ligne de combattants courageux. Un jour, cependant, il a cassé une urne contenant l'esprit de Zai, un démon incroyablement maléfique qui prend la force de vie des adultes du royaume et enlève tous les bébés - à l'exception d'Upa, qui reçoit un hochet magique par une fée qui était Piégé dans l'urne avec Zai. Et ainsi, afin de sauver son royaume, Upa va devoir se battre.
Bomberman (Japan) (Disk Writer)	Notre héros, Bomberman, travaille dans une fabrique de bombes située dans un labyrinthe souterrain. Il s'ennui à faire des bombes jour après jour. Un jour, il apprend une rumeur qui dit que si un robot arrive a s'échapper du labyrinthe et à atteindre la surface, son souhait serait accordé et il deviendrait un humain. Bomberman est déterminé à savoir si cette rumeur est vraie.
Breeder (Japan)	Dans le futur, il existe une arène avec des robots de combat. Elle à pour but de faire des recherches et développer des machines de combat. Les joueurs peuvent créer jusqu'à huit de ces soldats de métal pour se battre les uns contre les autres dans l'arène. Pour chaque machine de combat, les joueurs reçoivent jusqu'à 999 points et peuvent les repartir entre quinze catégories différentes telles que la vitesse , la dextérité, l'armure et les capacités de saut. Chaque catégorie coûte une quantité différente de points.
Bubble Bobble (Japan)	Le jeu met en scène Bub et Bob, deux enfants transformés en dragons et dont les fiancées ont été enlevées par le Baron von Blubba. Bub, aidé de Bob en mode deux joueurs, doit parcourir les quelque 100 niveaux du jeu pour les délivrer. Chaque niveau se compose d'un écran fixe avec pour environnement un ensemble de plates-formes plus ou moins alambiquées. Des monstres évoluent dans ce décor et le but est de tous les éliminer sans se faire toucher. Les dragons ont le pouvoir de cracher des bulles qui emprisonnent les ennemis pendant quelques secondes ; ils n'ont ensuite plus qu'à faire éclater la bulle pour tuer le monstre et faire apparaître un objet qui vient gonfler le score. Il y a différents paramètres qui entrent progressivement en jeu, venant complexifier le challenge : au-delà d'une certaine limite de temps, les monstres accélèrent brutalement ; la durée de « capture » des bulles est variable et des courants d'air peuvent altérer leur trajectoire.
BurgerTime (Japan) (Disk Writer)	BurgerTime est un jeu de plates-formes à l'aspect d'un labyrinthe, où le joueur incarne un chef de cuisine et doit confectionner des hamburgers tout en évitant les autres personnages représentés par de la nourriture qui le poursuivent, à savoir des oeufs, des saucisses et des poivrons qu'il peut temporairement immobiliser en leur jetant du poivre (trois tirs possibles au maximum).
Chitei Tairiku Ordola (Japan)	Jeu de Plate-forme et d'action de SunSoft . Troisième volet de la série de jeu de Chinou, empruntant le design du jeu Nes Atlantis no Nazo et ajoutant des problèmes arithmétiques.
Cleopatra no Mahou (Japan)	Le joueur se déplace autour du Caire et d'autres endroits égyptiens comme un tombeau ou une tour. Le joueur peut parler aux gens, recueillir des indices, se reposer dans les auberges et acheter de nouvelles armes et armures. Contrairement à la plupart des RPG, le personnage du joueur ne se renforce pas en gagnant des niveaux; Il gagne simplement plus de points de vie. Les statistiques comme l'attaque et la défense (qui sont inexplicablement cachés au joueur) sont déterminées entièrement par le jeu.
Clu Clu Land (Japan) (En) (Disk Writer)	L'histoire de Clu Clu Land commence avec un l'Unira, qui a volé tous les trésors du royaume sous-marin de Clu Clu Land. Bubbles, l'héroïne, se met à récupérer les trésors. L'objet du jeu est de découvrir tous les lingots d'or dans chaque niveau tout en évitant l'Unira et les trous noirs. les Lingots forment des formes telle qu'un coeur ou un champignon.Les bulles peuvent étourdir l'Unira en utilisant une onde sonore. Lorsque l'unira est étourdi, Bubbles peut le pousser dans un mur pour s'en débarrasser. Si Bubbles est blessé par l'Unira, elle perdra une vie. Une vie est également perdue quand Bubbles tombe dans un trou noir, ou quand le temps s'épuise. Le jeu se termine si Bubbles a perdu toute ses vie.
Cocona World (Japan)	Vous contrôlez une jeune sorcière qui erre dans diverses parties du royaume. Il y a beaucoup d'habitants d'animaux avec lequels interagir, certains sont bons et d'autres sont mauvais. Il y a aussi un certain nombre de mini-jeux. Au fil du temps, la sorcière demandera que certaines actions soient exécutées. Si elles ne sont pas effectuées dans un certain délai, le joueur reçoit une pénalité. Au fil du temps, l'humeur et la force du personnage diminuent. Si les deux arrivent à zéro, le jeu est terminé.
Dandy - Zeuon no Fukkatsu (Japan)	Portage de la version Atari 8 bits du jeu Dandy. Ne ressemble pas beaucoup au jeu original. En vue du dessus comme Zelda vous marchez et explorez tout en utilisant votre épée pour vaincre divers ennemis. Il y a différents donjons et villages que vous pouvez visiter et le jeu a même un cycle jour / nuit.
Dead Zone (Japan)	Dans le calendrier spatial 0385, la Terre souffre d'une surpopulation et les humains commencent à construire des colonies spatiales. Kirk, le héro de Dead Zone, travaille pour le bureau de développement spatial de la Fédération de la Terre. Il est un brillant ingénieur en physique spatiale et il travaille pour la planète Sirius. Il s'est également fiancé avec sa petite amie Marry, mais ils ont dû reporter leur mariage. Cinq mois plus tard, Kirk, accompagné de son robot Carry, décide de préparer la cérémonie. Mais quand il arrive à la station spatiale, tout est calme. Alors un faisceau de lumière le frappe et Il se réveille dans une sorte de cimetière souterrain, des morceaux de robots l'entourent.
Dig Dug (Japan) (Disk Writer)	L'objectif de Dig Dug est d'éliminer les monstres souterrains en les gonflant avec une pompe à air jusqu'à ce qu'ils explosent, ou en y déposant des pierres. Il y a deux types d'ennemis dans le jeu: 'Pookas' (de mignons monstres rouges qui portent des lunettes jaunes) et 'Fygars' (des dragons verts).
Dig Dug II (Japan) (Disk Writer)	Contrairement au premier jeu, Dig Dug II se déroule sur une île avec une vue aérienne. Le but est simple: tuer tous les ennemis. Il existe deux types d'ennemis; Les Pookas (les monstres ronds avec des lunettes) qui ont seulement le pouvoir de tuer un joueur en le touchant, mais les Fygars (les dragons) ont le pouvoir de tuer un joueur soit en le touchant soit en crachant du feu.
Dirty Pair - Project Eden (Japan)	Kei et Yuri, deux jolies enquêtrices spatiales, sont les héroïnes de ce jeu d'action à défilement latéral basé sur la populaire série d'animation Dirty Pair. Le jeu est sorti en même temps que le film Eden cependant il ne suit pas l'intrigue du film.Le jeu est connu pour sa difficulté incroyable.
Donkey Kong (Japan) (Disk Writer)	Vous êtes Mario, et ce vieux gorille, Donkey Kong, s'est enfui avec votre petite amie. C'est à vous de lutter entre échelles et équilibre sur ces poutres pour sauver votre dame. Elle est détenue en captivité au sommet. Mais Donkey Kong n'est pas prêtse laisser faire. Il lance des barils et des boules de feu. C'est à vous de déjouer ce singe astucieux. Bonne chance, votre dame vous attend!
Donkey Kong Jr. (Japan) (Disk Writer)	Mario est devenu fou! Il a enfermé Donkey Kong dans une cage. C'est à vous, Donkey Kong Jr., de sauver votre père en volant les clés de Mario. Mais ce ne sera pas facile. Vous aurez à lutter contre des mangeurs de singes, sauter sur les îles en mouvement et de traverser une jungle pour accéder à Donkey Kong.
Doremikko (Japan)	Doremikko est livré avec un clavier numérique qui se connecte à la Famicom dans le but de composer et de jouer de la musique. Le package clavier/ jeu fait de Doremikko le titre Famicom Disk System le plus cher au moment de sa sortie.
Dr. Chaos - Jigoku no Tobira (Japan)	Le génie scientifique Dr Ginn Chaos a disparu. Avant sa disparition, il travaillait activement dans son grand manoir sur un dispositif permettant l'accès à d'autres dimensions. Armé seulement avec un couteau, son frère décide de le chercher et dévoile finalement le mystère derrière l'incident. Quelque choses'est mal passé avec l'expérience de Dr. Chaos, et le but du jeu est de localiser toutes les onze dimensions cachées dans le manoir, ainsi que l'assemblage d'une puissante arme laser, la seule arme capable de battre le dernier boss.
Dracula II - Noroi no Fuuin (Japan)	Le jeu se passe sept ans après le Castlevania original. Le prologue commence quand Simon visite le tombeau de sa famille. Son dos est gravement blessé après sa dernière rencontre avec Dracula. Il se sent soudainement une présence et se tourne pour voir une jeune femme debout dans la brume. Elle lui dit qu'une malédiction a été placée sur lui par Dracula pendant leur dernière bataille, et qu'il ne lui reste pas longtemps à vivre. La femme lui dit que la malédiction peut être annulée s'il ressuscite Dracula lui même. Elle explique en outre que le corps de Dracula a été divisé en cinq parties différentes après sa défaite il y a sept ans, et Simon doit les récupérer et les amener aux ruines du château de Dracula. Là, il doit invoquer Dracula et le vaincre. Avant de disparaître, la femme inconnue lui dit qu'elle ne peut pas garantir que cela détruira définitivement Dracula.
