#key	synopsis
Adian no Tsue (Japan)	Adian No Tsue não é um jogo de aventura tradicional - É, acima de tudo, um jogo educativo concebido para atrair um público jovem. É também a primeira parcela de uma série de jogos lançados no Japão pela SunSoft. O jogador assume o controle de um corajoso cavaleiro e o jogo segue uma tradicional exibição aérea que, de alguma forma, tem alguma semelhança com Zelda da Nintendo. Cada quarto é geralmente preenchido com monstros e quatro portas levam a outras salas circundantes, locais diferentes ou apenas esconder itens especiais. Contudo, a única forma de o nosso herói passar por estas portas é resolver equações aritméticas simples. Números de 0 a 9 aparecem em dois lados da sala e o cavaleiro deve correr pela sala e tocá-los para mostrar a resposta certa. No entanto, estas expressões são muito simples e usam apenas simples adições, subtracções, multiplicações e divisões. No entanto, resolvê-las enquanto correm pelas salas e atingem esqueletos loucos com uma espada pode ser uma tarefa desafiadora. O outro lado do disco contém um simples jogo de maratona também baseado em desafios aritméticos.
Ai Senshi Nicol (Japan)	Ajude o inventor corajoso Nicol resgatar sua namorada raptada Stella de um Demon Bull King do planeta Dairass neste jogo de ação suspensa. Controle Nicol através de 7 continentes como ele recupera 3 peças em cada nível a sua invenção de transportador dimensional que o Demon King roubou e envolto em diamantes. Você vai explodir em vários asseclas e evitar terreno traiçoeiro ao explorar vários andares de cada continente procurando os diamantes para ser re-unido com Stella e derrotar o malvado Demon King!
Air Fortress (Japan) (Proto) (1986-10-20)	As pessoas do planeta Farmel, tendo recentemente adquirido a tecnologia para viagens espaciais, exploraram avidamente a galáxia apenas para encontrar um rebanho de monstruosas &quot;Fortalezas do Ar&quot; movendo-se em sua direção. Rapidamente descobriram que as Fortalezas se comportavam como gafanhotos interestelares, consumindo todos os recursos e seres vivos em seu caminho. A Federação Espacial enviou sua frota mais poderosa, que foi rapidamente eliminada pelas poderosas Fortalezas. Em um gambit final, eles enviaram um único guerreiro chamado Hal Bailman, equipado com um traje espacial blindado, armas poderosas e uma pequena &quot;nave-luz&quot; para se infiltrar nas Fortalezas e destruí-las de dentro para fora.
Akumajou Dracula (Japan)	A Transilvânia desfrutou de um século de paz graças ao herói lendário Christopher Belmont, um caçador de vampiros que derrotou o Conde Drácula cem anos antes com o chicote sagrado Vampire Killer. Enquanto a celebração da Pascoa continuava com um grande carnaval, homens maléficos reuniram-se junto ao mosteiro nos limites da aldeia e realizaram uma missa negra para ressuscitar o Conde Drácula. Esses homens conseguiram com sucesso em trazer de volta o seu mestre. Um raio de luz envolveu o mosteiro onde realizaram o ritual, assinalando a ressurreição do Conde Drácula. Quando o Conde voltou, o seu castelo, que tinha ruído cem anos antes, reapareceu na Transilvânia, e as suas legiões de lacaios leais se reformaram.
Akuu Senki Raijin (Japan) (Disk Writer)	No ano 2734, a forma de vida mecânica de Garemu atacou subitamente cinco pontos de transmissão de navegação no hiperespaço, &quot;FIELD&quot;. A fim de evitar a invasão de Garemu, a aliança da Via Láctea decidiu enviar a arma móvel Raijin, que você deve pilotar. Como o Thexder semi-clássico anterior da Square, o jogador pode optar por mudar entre os dois modos de sua arte em certos pontos durante cada nível. Ao tocar no solo como mecha, o jogador é ocasionalmente capaz de encontrar outras direcções para continuar a explorar como uma nave espacial, apresentando secções de shoot-'em-up tanto de scrolling vertical como de scrolling lateral. Há três itens que tens de encontrar antes de completares um nível: uma estrela, um globo, um computador e uma bomba. Depois de coletar todos estes, ele irá acionar a batalha de boss da próxima vez que você tentar ir para a área de boss.
Aliens - Alien 2 (Japan) (Proto) (1986-12-15)	Baseado no filme Aliens, este protótipo inacabado da Square ia ser um porto do jogo MSX que foi lançado. Você vai controlar Ripley como ela navega lado rolagem labirinto como níveis de luta contra as hordas alienígenas. Ao longo do caminho você pode coletar várias armas para ajudar a tornar sua vida mais fácil, bem como um poder que permite Ripley para somersault ajuda com os controles de salto clunky jogos.
All Night Nippon Super Mario Bros. (Japan) (En) (Promo)	All Night Nippon - Super Mario Bros. foi um item promocional distribuído como prémio do concurso pelo programa de rádio japonês &quot;All Night Nippon&quot; para celebrar o seu vigésimo ano no ar. Combina níveis de Super Mario Bros 1 e 2 e também altera os gráficos dos itens e das suas colocações, bem como os gráficos dos inimigos e dos retentores de cogumelos para os membros do programa.
Apple Town Monogatari - Little Computer People (Japan)	Ao contrário das versões anteriores de Little Computer People, a personagem jogável é uma menina com um vestido rosa e uma fita no cabelo. Os quartos da casa também têm uma configuração diferente, com uma varanda exterior no piso superior. Ao reproduzir pela primeira vez, um nome de caractere aleatório é escolhido de uma lista pré-programada. Não há condições de ganhar neste jogo. Basicamente, você vê e interage com a garota de várias maneiras. No entanto, Apple Town Story carece de muitos dos recursos encontrados em outras versões do Little Computer People.
Armana no Kiseki (Japan)	Uma jóia vermelha mágica conhecida como Almana é roubada de uma aldeia sem nome. Um ladrão foge com a jóia e transforma toda a aldeia em pedra. O jogador assume o papel de Kaito um herói que se assemelha a Indiana Jones e deve viajar através de seis níveis cavernosos em busca da jóia perdida. A principal fonte de transporte de Kaito é única. Além de apenas andar e saltar, como a maioria dos jogos de plataforma, ele também deve usar um gancho de grappling especial para alcançar plataformas que são muito altas. Para tornar as coisas um pouco mais difíceis, o gancho de garra só pode ser lançado de uma direção diagonal e não apenas diretamente acima.
Aspic - Majaou no Noroi (Japan)	Tens o Livro da Verdade, que é necessário para quebrar a maldição da princesa. Quando regressares ao rei, percebes que a princesa desapareceu. Três dias antes, um mágico apareceu e informou ao rei que havia outra maneira de salvar a princesa, então o rei confiou a vida da princesa ao mágico. Agora que voltaste, o rei implora-te que descubras o que aconteceu ao mago e à princesa.
