#key	name	year	genre	developer	players
007 - The World Is Not Enough (USA)	007 : The World is Not Enough	2000	Shooter/Shooter / FPV	Eurocom Developments	1-4
1080 Snowboarding (Japan, USA) (En,Ja)	1080 TenEighty Snowboarding	1998	Sports / Skiing/Sports	Nintendo	1-2
40 Winks (USA) (Piko Interactive)	40 Winks	1999	Platform	Eurocom	1-2
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)	64 de Hakken!! Tamagotchi : Minna de Tamagotchi World	1997	Board game	AI	1-4
64 Hanafuda - Tenshi no Yakusoku (Japan)	64 Hanafuda : Tenshi no Yakusoku	1999	Asiatic board game/Hanafuda	Altron	1-2
64 Oozumou (Japan)	64 Ōzumō	1997	Sports / Sumo/Sports	Bottom Up Interactive	1-2
64 Oozumou 2 (Japan)	64 Ōzumō 2	1999	Sports / Sumo/Sports	Bottom Up Interactive	1-2
64 Trump Collection - Alice no Wakuwaku Trump World (Japan)	64 Trump Collection : Alice no Wakuwaku Trump World	1998	Casino/Casino / Cards	Bottom Up Interactive	1-4
AeroFighters Assault (USA)	AeroFighters Assault	1997	Shooter / Plane/Shooter	Paradigm Entertainment	1-2
AeroGauge (USA)	AeroGauge	1998	Racing, Driving	Locomotive Co.	1-2
AI Shougi 3 (Japan)	AI Shougi 3	1998	Shougi/Asiatic board game	i4	1-2
Aidyn Chronicles - The First Mage (USA)	Aidyn Chronicles : The First Mage	2001	Role Playing Game	H20 Interactive	1
Airboarder 64 (Europe)	Air Boarder 64	1998	Sports / Skateboard/Sports	Human Entertainment	1-2
All Star Tennis 99 (USA)	All Star Tennis 99	1999	Sports / Tennis/Sports	Smart Dog	1-4
All-Star Baseball 2000 (USA)	All-Star Baseball 2000	1999	Sports / Baseball/Sports	Iguana Entertainment	1-4
All-Star Baseball 2001 (USA)	All-Star Baseball 2001	2000	Sports / Baseball/Sports	High Voltage	1-4
All-Star Baseball 99 (USA)	All-Star Baseball 99	1998	Sports/Sports / Baseball	Iguana Entertainment	1-4
Armorines - Project S.W.A.R.M. (USA)	Armorines - Project S.W.A.R.M.	1999	Shooter / FPV/Shooter	Acclaim Entertainment	1-4
Army Men - Air Combat (USA)	Army Men : Air Combat	2000	Shooter / Plane/Shooter	The 3DO Company	1-4
Army Men - Sarge's Heroes (USA)	Army Men : Sarge's Heroes	1999	Shooter/Shooter / Run and Gun	The 3DO Company	1-4
Army Men - Sarge's Heroes 2 (USA)	Army Men : Sarge's Heroes 2	2000	Shooter/Shooter / Run and Gun	The 3DO Company	1-4
Asteroids Hyper 64 (USA)	Asteroids Hyper 64	1999	Shoot'em Up	Syrox Developments	1-2
Automobili Lamborghini (USA)	Automobili Lamborghini	1997	Racing, Driving	Titus	1-4
Bakuretsu Muteki Bangaioh (Japan)	Bakuretsu Muteki Bangaioh	1999	Shoot'em Up	Treasure	1
