#name	crc	size	key
007 - The World Is Not Enough (Europe) (En,Fr,De)	002c3b2a	33554432	007 - The World Is Not Enough (USA)
007 - The World Is Not Enough (Europe) (En,Fr,De) (Beta)	8a91d343	33554432	007 - The World Is Not Enough (USA)
007 - The World Is Not Enough (USA)	26360987	33554432	007 - The World Is Not Enough (USA)
007 - The World Is Not Enough (USA) (Beta 1) (1998-12-15)	2f8ffe8f	16777216	007 - The World Is Not Enough (USA)
007 - The World Is Not Enough (USA) (Beta 2)	f0b6bf59	33554432	007 - The World Is Not Enough (USA)
1080 Snowboarding (Europe) (En,Ja,Fr,De)	75a21679	16777216	1080 Snowboarding (Japan, USA) (En,Ja)
1080 Snowboarding (Japan, USA) (En,Ja)	08fe81c7	16777216	1080 Snowboarding (Japan, USA) (En,Ja)
1080 Snowboarding (USA) (En,Ja,Fr,De) (LodgeNet)	67e010d2	16777216	1080 Snowboarding (Japan, USA) (En,Ja)
40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07)	7e718143	33554432	40 Winks (USA) (Piko Interactive)
40 Winks (Europe) (En,Fr,Es) (Piko Interactive)	93c57d0b	33554432	40 Winks (USA) (Piko Interactive)
40 Winks (USA) (Piko Interactive)	31c19633	33554432	40 Winks (USA) (Piko Interactive)
40 Winks (USA) (Proto) (2000-01-10)	3a674026	33554432	40 Winks (USA) (Piko Interactive)
64 Hanafuda - Tenshi no Yakusoku (Japan)	60a680e7	8388608	64 Hanafuda - Tenshi no Yakusoku (Japan)
64 Oozumou (Japan)	742e31fb	16777216	64 Oozumou (Japan)
64 Oozumou 2 (Japan)	c1bc6fd8	16777216	64 Oozumou 2 (Japan)
64 Trump Collection - Alice no Wakuwaku Trump World (Japan)	dca7f4eb	12582912	64 Trump Collection - Alice no Wakuwaku Trump World (Japan)
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)	67a789e5	12582912	64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)
AI Shougi 3 (Japan)	86df90e6	8388608	AI Shougi 3 (Japan)
AeroFighters Assault (Europe) (En,Fr,De)	6a2b08da	12582912	AeroFighters Assault (USA)
AeroFighters Assault (USA)	4370d7e3	8388608	AeroFighters Assault (USA)
AeroGauge (Europe) (En,Fr,De)	040b0046	8388608	AeroGauge (USA)
AeroGauge (Japan) (Rev 1)	f322b641	8388608	AeroGauge (USA)
AeroGauge (USA)	198b9e0e	8388608	AeroGauge (USA)
Aidyn Chronicles - The First Mage (Europe)	be7e230d	33554432	Aidyn Chronicles - The First Mage (USA)
Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-03-02)	7e1f78b8	33554432	Aidyn Chronicles - The First Mage (USA)
Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-04-10)	60c73748	33554432	Aidyn Chronicles - The First Mage (USA)
Aidyn Chronicles - The First Mage (USA)	b1f18186	33554432	Aidyn Chronicles - The First Mage (USA)
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-02-10)	c46d84a0	33554432	Aidyn Chronicles - The First Mage (USA)
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-05-09)	abd43f3f	33554432	Aidyn Chronicles - The First Mage (USA)
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-12-05)	2b39f8e3	33554432	Aidyn Chronicles - The First Mage (USA)
Aidyn Chronicles - The First Mage (USA) (Rev 1)	d5051096	33554432	Aidyn Chronicles - The First Mage (USA)
Air Boarder 64 (Japan)	58fcb771	8388608	Airboarder 64 (Europe)
Airboarder 64 (Europe)	c14d45ac	8388608	Airboarder 64 (Europe)
Akumajou Dracula Mokushiroku - Real Action Adventure (Japan)	e349cfec	12582912	Castlevania (USA)
Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan)	ff009c21	16777216	Castlevania - Legacy of Darkness (USA)
All Star Tennis '99 (Europe) (En,Fr,De,Es,It)	996e845f	8388608	All Star Tennis 99 (USA)
All Star Tennis 99 (USA)	a7dcf638	8388608	All Star Tennis 99 (USA)
All-Star Baseball 2000 (Europe)	d3c29aa4	16777216	All-Star Baseball 2000 (USA)
All-Star Baseball 2000 (USA)	69e88471	16777216	All-Star Baseball 2000 (USA)
All-Star Baseball 2001 (USA)	4d659e85	16777216	All-Star Baseball 2001 (USA)
All-Star Baseball 99 (Europe)	d0de3584	12582912	All-Star Baseball 99 (USA)
All-Star Baseball 99 (USA)	6d25b36f	12582912	All-Star Baseball 99 (USA)
Armorines - Project S.W.A.R.M. (Europe)	600bc49e	16777216	Armorines - Project S.W.A.R.M. (USA)
Armorines - Project S.W.A.R.M. (Germany)	5bab9100	16777216	Armorines - Project S.W.A.R.M. (USA)
Armorines - Project S.W.A.R.M. (USA)	630a19e2	16777216	Armorines - Project S.W.A.R.M. (USA)
Army Men - Air Combat (USA)	1952cc87	8388608	Army Men - Air Combat (USA)
Army Men - Sarge's Heroes (Europe) (En,Fr,De)	e79048e2	8388608	Army Men - Sarge's Heroes (USA)
Army Men - Sarge's Heroes (USA)	2fe786f6	8388608	Army Men - Sarge's Heroes (USA)
Army Men - Sarge's Heroes 2 (USA)	79a71608	8388608	Army Men - Sarge's Heroes 2 (USA)
Asteroids Hyper 64 (USA)	f5ce3d91	4194304	Asteroids Hyper 64 (USA)
Automobili Lamborghini (Europe)	3baf58d5	4194304	Automobili Lamborghini (USA)
Automobili Lamborghini (USA)	a4374eac	4194304	Automobili Lamborghini (USA)
Baku Bomberman (Japan)	22f54a52	8388608	Bomberman 64 (USA)
Baku Bomberman 2 (Japan)	86bbc278	16777216	Bomberman 64 - The Second Attack! (USA)
Bakuretsu Muteki Bangaioh (Japan)	6ab7fec6	12582912	Bakuretsu Muteki Bangaioh (Japan)
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan)	ef8c2f34	12582912	Bakushou Jinsei 64 - Mezase! Resort Ou (Japan)
Banjo to Kazooie no Daibouken (Japan)	8f7c9324	16777216	Banjo-Kazooie (USA)
Banjo to Kazooie no Daibouken 2 (Japan)	258c58d0	33554432	Banjo-Tooie (USA)
Banjo-Kazooie (Europe) (En,Fr,De)	525899c9	16777216	Banjo-Kazooie (USA)
Banjo-Kazooie (USA)	ad429961	16777216	Banjo-Kazooie (USA)
Banjo-Kazooie (USA) (Rev 1)	fb7ffb10	16777216	Banjo-Kazooie (USA)
Banjo-Tooie (Australia)	2736266a	33554432	Banjo-Tooie (USA)
Banjo-Tooie (Europe) (En,Fr,De,Es)	1ec12f5a	33554432	Banjo-Tooie (USA)
Banjo-Tooie (USA)	bab803ef	33554432	Banjo-Tooie (USA)
Bass Rush - ECOGEAR PowerWorm Championship (Japan)	383b86ef	33554432	Bass Rush - ECOGEAR PowerWorm Championship (Japan)
Bassmasters 2000 (USA)	6b09092e	12582912	Bassmasters 2000 (USA)
Bassmasters 2000 (USA) (Beta)	86f8e439	33554432	Bassmasters 2000 (USA)
Batman Beyond - Return of the Joker (USA)	35299f9c	4194304	Batman Beyond - Return of the Joker (USA)
Batman of the Future - Return of the Joker (Europe) (En,Fr,De)	82a4bb8a	4194304	Batman Beyond - Return of the Joker (USA)
BattleTanx (USA)	6c230765	8388608	BattleTanx (USA)
BattleTanx (USA) (Limited Run Games)	2f9f6c61	8388608	BattleTanx (USA)
BattleTanx - Global Assault (Europe) (En,Fr,De)	c99c6030	8388608	BattleTanx - Global Assault (USA)
BattleTanx - Global Assault (USA)	31beb053	8388608	BattleTanx - Global Assault (USA)
