#key	style	ss_system_id
007 - The World Is Not Enough (USA)	box-3D	14
1080 Snowboarding (Japan, USA) (En,Ja)	box-3D	14
40 Winks (USA) (Piko Interactive)	box-3D	14
64 Hanafuda - Tenshi no Yakusoku (Japan)	box-3D	14
64 Oozumou (Japan)	box-3D	14
64 Oozumou 2 (Japan)	box-3D	14
64 Trump Collection - Alice no Wakuwaku Trump World (Japan)	box-3D	14
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)	box-3D	14
AI Shougi 3 (Japan)	box-3D	14
AeroFighters Assault (USA)	box-3D	14
AeroGauge (USA)	box-3D	14
Aidyn Chronicles - The First Mage (USA)	box-3D	14
Airboarder 64 (Europe)	box-3D	14
All Star Tennis 99 (USA)	box-3D	14
All-Star Baseball 2000 (USA)	box-3D	14
All-Star Baseball 2001 (USA)	box-3D	14
All-Star Baseball 99 (USA)	box-3D	14
Armorines - Project S.W.A.R.M. (USA)	box-3D	14
Army Men - Air Combat (USA)	box-3D	14
Army Men - Sarge's Heroes (USA)	box-3D	14
Army Men - Sarge's Heroes 2 (USA)	box-3D	14
Asteroids Hyper 64 (USA)	box-3D	14
Automobili Lamborghini (USA)	box-3D	14
Bakuretsu Muteki Bangaioh (Japan)	box-3D	14
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan)	box-3D	14
Banjo-Kazooie (USA)	box-3D	14
Banjo-Tooie (USA)	box-3D	14
Bass Rush - ECOGEAR PowerWorm Championship (Japan)	box-3D	14
Bassmasters 2000 (USA)	box-3D	14
Batman Beyond - Return of the Joker (USA)	box-3D	14
BattleTanx (USA)	box-3D	14
BattleTanx - Global Assault (USA)	box-3D	14
Battlezone - Rise of the Black Dogs (USA)	box-3D	14
Beetle Adventure Racing! (USA) (En,Fr,De)	box-3D	14
Big Mountain 2000 (USA)	box-3D	14
Bio F.R.E.A.K.S. (USA)	box-3D	14
Blast Corps (USA)	box-3D	14
Blues Brothers 2000 (USA)	box-3D	14
Body Harvest (USA)	box-3D	14
Bomberman 64 (Japan)	box-3D	14
Bomberman 64 (USA)	box-3D	14
Bomberman 64 - The Second Attack! (USA)	box-3D	14
Bomberman Hero (USA)	box-3D	14
Bottom of the 9th (USA)	box-3D	14
Brunswick Circuit Pro Bowling (USA)	box-3D	14
Buck Bumble (USA)	box-3D	14
Bug's Life, A (USA)	box-3D	14
Bust-A-Move '99 (USA)	box-3D	14
Bust-A-Move 2 - Arcade Edition (USA)	box-3D	14
California Speed (USA)	box-3D	14
Carmageddon 64 (USA)	box-3D	14
Carnivale - Cenzo's Adventure (USA) (Proto) (2000-07-21)	box-3D	14
Castlevania (USA)	box-3D	14
Castlevania - Legacy of Darkness (USA)	box-3D	14
Centre Court Tennis (Europe)	box-3D	14
Chameleon Twist (USA)	box-3D	14
Chameleon Twist 2 (USA)	box-3D	14
Charlie Blast's Territory (USA)	box-3D	14
Chopper Attack (USA)	box-3D	14
Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan)	box-3D	14
Chou Kuukan Nighter Pro Yakyuu King (Japan)	box-3D	14
Chou Kuukan Nighter Pro Yakyuu King 2 (Japan)	box-3D	14
Clay Fighter - Sculptor's Cut (USA)	box-3D	14
Clay Fighter 63 1-3 (USA)	box-3D	14
Command & Conquer (USA)	box-3D	14
Conker's Bad Fur Day (USA)	box-3D	14
Cruis'n Exotica (USA)	box-3D	14
Cruis'n USA (USA)	box-3D	14
Cruis'n World (USA)	box-3D	14
Custom Robo (Japan)	box-3D	14
Custom Robo V2 (Japan)	box-3D	14
CyberTiger (USA)	box-3D	14
Dance Dance Revolution - Disney Dancing Museum (Japan)	box-3D	14
Dark Rift (USA)	box-3D	14
Deadly Arts (USA)	box-3D	14
Densha de Go! 64 (Japan)	box-3D	14
Derby Stallion 64 (Japan)	box-3D	14
Destruction Derby 64 (USA)	box-3D	14
Dezaemon 3D (Japan)	box-3D	14
