#key	synopsis
007 - The World Is Not Enough (USA)	James Bond beginnt in der Schweizer Industriebank in Spanien und muss den Geldkoffer finden und entfliehen. Das MI-6 Hauptquartier wird überfallen und M's alter Freund Sir Robert King wird per Bombe ermordet. Bond jagt den Killer dann durch London (im Film per Boot). Auf dem Weg muss er sogar der Polizei helfen Bomben in der U-Bahn zu deaktivieren. In Baku muss man aus Elektras Domizil schleichen und ihrem Sekretär Davidov folgen. Es folgen Level auf dem Flugfeld, dem Atomtestgelände sowie in Istanbul, wo Bond Renard und Elektra im Leanderturm das Handwerk legen muss. Der letzte Level spielt im U-Boot.
1080 Snowboarding (Japan, USA) (En,Ja)	Der Spieler hat die Aufgabe, als Snowboarder Rennen zu fahren oder Tricks ausüben. 1080° Snowboarding besitzt mehrere Rennmodi, die sich ungefähr in zwei Gruppen aufteilen lassen: in den Trick-Modi geht es darum, mit dem Snowboard so viele Tricks wie möglich auszuführen, während man in den Renn-Modi gegen die Zeit oder andere Spieler eine Piste herunterfahren muss. Man kann zu Beginn des Spiels zwischen fünf Snowboardern sowie acht Snowboards wählen, weitere lassen sich freischalten.
40 Winks (USA) (Piko Interactive)	Setze Dich gegen Skelette, Spinnen und Ausserirdische zur Wehr. Bekämpfe Roboter, Zombies, riesige Dinosaurier... In diesem gefährlichen, traum- und alptraumartigen 3D-Adventure ist jeder hinter Dir her. Bist Du in der Lage, den bösen hinterhältigen Traumräuber NiteKap zu besiegen auf deiner Reise durch die sechs Alptraumwelten? Bist du schnell genug die 40 Winks einzufangen, bevor man Dich erwischt?
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)	Tamagotchi 64: Minna de Tamagotchi World ist ein Nintendo 64-Spiel, das 1997 nur in Japan veröffentlicht wurde. Es ist ein virtuelles Brettspiel, das auf dem Tamagotchi-Spielzeug basiert.
64 Hanafuda - Tenshi no Yakusoku (Japan)	64 Hanafuda: Tenshi no Yakusoku (übersetzt &quot;64 Hanafuda: Versprechen eines Engels&quot;) ist ein Kartenspiel für das Nintendo 64. Es wurde 1999 nur in Japan veröffentlicht.
64 Oozumou (Japan)	In 64 Ōzumō steuert der Spieler einen Sumo-Kämpfer, der im Ring gegen andere Sumo-Kämpfer spielt. Das Spiel simuliert aber auch weitere Aspekte des Lebens eines Sumo-Kämpfers wie seine Ernährung.
64 Oozumou 2 (Japan)	64 Ōzumō 2 ist das Sequel zu 64 Ōzumō und entführt Spielefans zurück in die faszinierende Welt des traditionellen japanischen Sumoringens. Spieler übernehmen erneut die Kontrolle über einen Sumoringer ihrer Wahl und treten in verschiedenen Kampfarten gegen andere an, darunter Einzelkämpfe, Tag-Team-Matches und Battle Royales. Geschick und strategisches Denken sind gefragt, um Gegner aus dem Ring zu drängen oder sie mit einem anderen Körperteil als den Füßen zu Boden zu bringen.
64 Trump Collection - Alice no Wakuwaku Trump World (Japan)	64 Trump Collection: Alice nicht Waku Waku Trump World ist ein Videospiel von Karten, die 1998 für Nintendo 64 auf der Grundlage des Universums von Alice im Wunderland gestartet wurden.
AeroFighters Assault (USA)	Das Team von Aero Fighters Assault braucht eure Hilfe, um die Erde vor der bösen Phutta Morgana und ihren Untergangsmaschinen zu retten. Bekämpfen Sie eine Vielzahl von feindlichen Flugzeugen und Boss-Charakteren rund um den Globus in mehreren Missionen. Schließen Sie sich der Schlacht im einzigen wichtigen Spiel an!
AeroGauge (USA)	In diesem futuristischen Rennspiel können Sie Ihre eigenen Aeromaschinen steuern. Mit Strecken, die scharfe Kurven und noch schärfere Hindernisse haben, braucht man ein gutes Auge und die ultimative Kontrolle, um durch Strecken mit Canyons, Tunnels, Ozeanen und Bergen zu manövrieren. Stellen Sie sich Geschwindigkeiten von über 1000 mph vor, während Sie durch das Feld schwirren, um den Sieg in diesen grafisch anspruchsvollen Landschaften zu erlangen. Niemals hat ein Spiel eine so bemerkenswerte Kontrolle, detaillierte Grafik und Geschwindigkeiten wie AeroGauge!
AI Shougi 3 (Japan)	Dies ist die N64 Version des klassischen japanischen Spiels von Shogi. Shogi oder japanisches Schach (wörtlich &quot;Generals-Schach&quot;) ist das populärste einer Familie von Schachvarianten, die in Japan heimisch sind.
Aidyn Chronicles - The First Mage (USA)	Alaron ist auf der Suche nach der Wahrheit über sich selbst, seinen Namen und sein Erbe. Er reist in ferne und ferne Länder, verfolgt von Kräften, die er nicht versteht. Alaron und seine Gefährten werden versuchen, sein Schicksal als der größte Magier aller Zeiten zu erfüllen!
Airboarder 64 (Europe)	Air Boarder ist ein Spiel, das Skateboard-Spiele wie Tony Hawk's Pro Skater ähnelt, jedoch mit einem gewissen Unterschied. Anstelle der üblichen Skateboards gibt es im Spiel Hoover Boards.
All Star Tennis 99 (USA)	Spielen Sie als 8 Weltklasse-ATP / WTA-Tour-Spieler (einschließlich Mark Philippoussis, Richard Krajicek, Conchita Martinez und Jana Novotna) sowie als 4 fiktive Spieler bei einer Reihe von Turnieren auf Gras-, Sand-, Hartplatz- und Rebound-Ace-Oberflächen. Lobe, volley, zerschlage und serviere vergangene computergesteuerte Spieler im Einzel- oder Doppel, im 4-Spieler-Mehrspieler-Doppel und im 8-Spieler-Mehrspieler-Einzel- und -Doppel.
All-Star Baseball 2000 (USA)	All-Star Baseball 2000 ist ein Baseball-Spiel auf Nintendo 64. Das zweite Spiel in der Serie, dieses Spiel hat viele Verbesserungen im Vergleich zu den vorherigen, wie z. B. die Motion Capture der Spieler. 30 Mannschaften mit ihren realistischen Spielern und Stadien sind enthalten.
All-Star Baseball 2001 (USA)	Der letzte All-Star Baseball auf der N64 beinhaltet wieder einige neue Features sowie Verbesserungen der vorherigen Spielmodi und Optionen. Für das Jahr 2001 ist ein neues Team dabei, The Coopertown Legends, mit einer Auswahl der besten Spieler aller Zeiten, darunter Yogi Berra, Willie Stargell und Reggie Jackson. Zusammen mit der Legendenmannschaft können Sie aus allen Spielern, Mannschaften und Stadien der MLB-Saison 2000 wählen. Jeder Spieler verfügt über realistische Gesichtsausdrücke und Looks, sowie Bewegungsabläufe, Schlagpositionen und Reaktionen auf wichtige Ereignisse während des Spiels.
All-Star Baseball 99 (USA)	All-Star Baseball ist ein Baseball-Videospiel-Serie entwickelt und veröffentlicht von Acclaim Entertainment. Die Serie begann 1998 mit der Veröffentlichung von All-Star Baseball' 99. Zu den Spielmodi gehören Training, Saison, Playoff, World Series, sowie ein All-Star Match, Home Run Derby und MLB Trivia. Es ist möglich, Spieler aus der ganzen Liga zu tauschen und ein eigenes Team aus 700 Spielern zu bilden. Und wenn es keinen Player gibt, der Ihren Anforderungen entspricht, können Sie den Modus &quot;Create a Player&quot; für weitere Vielseitigkeit nutzen.
Armorines - Project S.W.A.R.M. (USA)	Armorines: Project Swarm ist ein First-Person-Schießspiel, das auf Nintendo 64 veröffentlicht wurde. Spielen Sie als Lewis oder Lane, zwei Elite-Kämpfer des Panzerkommandos, und verjagen Sie die schrecklichen Bugs, und kriegerische Aliens.
Army Men - Air Combat (USA)	William Blade, Kapitän und Spielzeugpilot mehrerer Plastikhubschrauber, der mit der bösen Armee und ihren schrecklichen Kriegsmaschinen kämpft. Es umfasst reale Umgebungen wie Hinterhöfe, Spielplätze, Lager und riesige Sandburgen, verteilt über 16 Einzelspieler-Missionen und konkurrierende Mehrspielermodi. Für Ihre Kämpfe stehen Ihnen vier Helikoptertypen (Chinook, Apache, Huey und Super Hengst) zur Verfügung, um Gegner wie Spielzeugroboter, elektrische Züge, Killerbienen und Libellen zu bekämpfen.
Army Men - Sarge's Heroes (USA)	In Army Men: Sarge's Heroes spielen Sie als Sarge, der Protagonist aus vielen Army Men-Spielen. Tan Army dringt in die Basis der Grünen Armee ein; Sarge rettet Oberst Grimm und sie evakuieren die Basis in einem Hubschrauber. Sarge entdeckt Portale, die von der &quot;Plastikwelt&quot; in die &quot;reale Welt&quot; führen, und dass die Tan Army versucht,&quot;Massenvernichtungswaffen&quot; aus der &quot;realen Welt&quot; zu erwerben, zum Beispiel Spielzeug und gewöhnliche Gegenstände wie Lupen. Um die Zerstörung der Grünen Armee zu vermeiden, muss Sarge die Kommandos seiner eigenen Einheit, der Firma Bravo, retten, um Fahrzeuge und Portale zu zerstören und schließlich den bösen General Plastro zu stoppen.
Army Men - Sarge's Heroes 2 (USA)	Sarge's Heroes 2 fängt dort an, wo Sarge's Heroes aufgehört hat. Es wird angekündigt, dass die Gefangennahme von Feldmarschall Tannenberg den Krieg beenden wird. Da General Plastro verschwunden ist, wird vermutet, dass er ein Opfer der Plastrifikation geworden ist und in der realen Welt gefangen war. Das Spiel stellt Bridgette Bleu vor, eine Spionin für die Blaue Nation. Sie hat ein Serum entwickelt, das die Plastrifikation rückgängig macht. Ihre Aufgabe als Sarge und manchmal Vikki ist es, das Serum zu zerstören, die Bräunlichen Soldaten zu eliminieren und Plastro und Tannenburg zu fangen. nn
Asteroids Hyper 64 (USA)	Eine aktualisierte Version der klassischen Arcade-Blast'em up bietet volle 3D-Umgebungen, alle neuen Waffen und Abwehrsysteme und einen 2-Spieler Split-Screen-Modus. Das Gameplay ist jedoch genau das gleiche. Steuere ein Raumschiff und zerstöre die kommenden Asteroiden. Außerirdische Schiffe und Schwarze Löcher sind ebenfalls dort draußen. Außerdem kannst du Schiffs-Upgrades finden, um die Waffen und Verteidigungssysteme Ihrer Schiffe zu aktualisieren.
Automobili Lamborghini (USA)	Automobili Lamborghini ist eines der früheren Rennspiele für den Nintendo 64, das von Titus entwickelt wurde. 8 Autos sind in diesem Spiel enthalten, darunter Lamborghini Diablo, Porsche 959, Ferrari F50 und einige versteckte Autos. Die Rennen führen Sie durch sechs Rennstrecken in exotischen Gegenden der Welt. Es gibt 4 Modi im Einzelspieler-Modus, einschließlich Arcade Mode, Championship Mode, Single Race and Time Trials. Das Spiel enthält auch Unterstützung für 4 Spieler.
Bakuretsu Muteki Bangaioh (Japan)	Wolltest du schon immer mal die ultimative Waffe entfesseln? 500 Feinde auf einmal in die Luft jagen? In wahrer Treasure Fashion... du hast diese Macht! Als die Piloten der Bangaioh-Mech muss du eine verrückte Gruppe davon abhalten, die Welt zu erobern, indem Sie ihnen eine kleine Dosis wahnsinnige Zerstörung geben. Willst du einfach verrückt sein und dich von denen umbringen lassen? Nur zu... drück einfach den Abzug, bevor es passiert... Die Nintendo 64 Version wurde nur in Japan veröffentlicht. Die Dreamcast-Version gibt es in den USA und Europa.
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan)	Bakushou Jinsei 64: Mix! Resort Ou ist ein interaktives Brettspiel für Nintendo 64. Es wurde 1998 nur in Japan veröffentlicht.
Banjo-Kazooie (USA)	Die Hexe Gruntilda entführt Banjos kleine Schwester Tooty, um deren Schönheit auf sich selbst zu übertragen. Banjo und Kazooie erfahren von dem Maulwurf Bottles von der Entführung und machen sich auf den Weg durch Gruntildas Reich, einer riesigen Höhle, um Tooty zu retten. Sie müssen durch anfangs verschlossene Tore in verschiedenen Welten Puzzleteile finden, die ihnen ein weiteres Vordringen durch die Höhle zur Hexe ermöglichen. Dabei treffen sie auf den Schamanen Mumbo Jumbo, der Banjo in andere Tiere verwandelt, und auf die gutmütige Schwester von Gruntilda namens Brentilda, die dem Protagonistenduo Geheimnisse über ihre Schwester erzählt.
Banjo-Tooie (USA)	Die Handlung beginnt zwei Jahre nach dem Ende des ersten Teils als die Hexe Gruntilda von ihrem Turm stürzte und von einem Felsen begraben wurde. In einer gewittrigen Nacht wird Gruntilda von ihren beiden Schwestern, Mingella und Blobbelda, durch einen Levitationszauber von jenem Felsen befreit. Durch die lange Verweildauer unter der Erde hat sie sich jedoch in ein Skelett verwandelt und sinnt deswegen auf Rache an Banjo und Kazooie.
