#key	synopsis
007 - The World Is Not Enough (USA)	The World Is Not Enough is a first-person shooter video game developed by Eurocom and based on the 1999 James Bond film of the same name. It was published by Electronic Arts and released for the Nintendo 64 on October 17, 2000, shortly before the release of its PlayStation counterpart. The game features a single-player campaign in which players assume the role of MI6 agent James Bond as he fights to stop a terrorist from triggering a nuclear meltdown in the waters of Istanbul. It includes a split-screen multiplayer mode where up to four players can compete in different types of deathmatch and objective-based games.
1080 Snowboarding (Japan, USA) (En,Ja)	1080° Snowboarding is a snowboard racing game. The player will find 6 downhill slopes and a half-pipe as courses, several characters to choose from, and be able to perform more than 25 tricks. After choosing a character and a board among the available eight, the player can compete in a variety of events: Match Race: Race head-to-head against a computer controlled opponent. Time Attack: Try to beat the best time down a slope. Trick Attack: Try to get the best trick score on a slope. Contest: Race for the best time down a slalom route. 2P Vs.: Race against a friend. Practice: Practice tricks in a half-pipe or jump slope.
40 Winks (USA) (Piko Interactive)	40 Winks is a game in which you play as Ruff or Tumble, two children who must battle ghosts, goblins and other monsters in their dream-world. They must try to capture 40 winks scattered around the world in order to stop an evil old man named Nitekap. Nitekap wants to turn the winks into hood-winks, the things responsible for nightmares. You also have to find the 12 dream keys to unlock the boss level. A unique aspect of the game allows the players to temporarily morph into different costumes with special abilities. The costumes include a Prehistoric Man, Jester, Super Hero, and Ninja.
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)	Tamagotchi 64: Minna de Tamagotchi World is a Nintendo 64 game released only in Japan in 1997. It is a virtual board game based on the tamagotchi toy.
64 Hanafuda - Tenshi no Yakusoku (Japan)	64 Hanafuda: Tenshi no Yakusoku (translates to &quot;64 Hanafuda: Promise of an Angel&quot;) is a card game for the Nintendo 64. It was released in 1999 only in Japan.
64 Oozumou (Japan)	64 Ōzumō is a sumo wrestling game. As in the original sport, the goal of the relatively short matches (measured in seconds) is to push your opponent out of the ring. The game uses 3D zones, the analog stick for movement, and C-button combinations for moves. Besides exhibition matches and various tournaments, there's also a career mode that offers decisions and mini-games between matches that influence your sumo wrestler's stats, such as diet choices or fishing. The game has a comedic style, and some of the eight zones feature unusual locations like the Moon or Egypt.
64 Oozumou 2 (Japan)	64 Ōzumō 2 is the sequel to the original 64 Ōzumō, bringing back the exciting world of traditional Japanese sumo wrestling to gaming enthusiasts. Players once again take control of their choice of a sumo wrestler and compete against others in a variety of matches, including one-on-one matches, tag team matches, and battle royales. Players must use their skills and strategic thinking to push their opponents out of the ring or make them touch the ground with any body part other than their feet.
64 Trump Collection - Alice no Wakuwaku Trump World (Japan)	64 Trump Collection: Alice no Waku Waku Trump World is a unique card game that takes players on a journey through a whimsical and colorful world inspired by Lewis Carroll's classic novel, Alice in Wonderland. Players use a set of cards to play various games against the computer or other players. The game features over 30 different card games, each with its own set of rules and challenges. These games include traditional card games like Poker and Blackjack, as well as unique and creative games that are exclusive to this title. The game includes various modes such as Story, Free Play, and Training, each with its own unique challenges and objectives. In Story mode, players take on the role of Alice as she navigates her way through the magical world of Wonderland, playing card games with various characters she meets along the way. In Free Play mode, players can play any of the available card games against any opponent of their choice. The Training mode allows players to practice their skills and learn the game's rules and mechanics.
AeroFighters Assault (USA)	In AeroFighters Assault a terrorist organisation named Phutta Morgana has melted the Antarctic and is using the water to flood Earth's cities. The player takes part in the Project Blue unit which has to stop these terrorist acts. Regarding gameplay, the game is a mix between a regular shooter like Star Fox 64 and a simulation like Pilotwings 64: the player observes the action from behind the aircraft and uses the analog stick to dodge and the other buttons to shoot enemies. Each of the eight planes (six regular and two bonus) features four different weapons: two have unlimited ammo, air mines and the special weapon are restricted to respectively ten and two uses per round. Before every of the eight regular and four bonus missions the player can choose between one of four characters and his aircraft (the other ones become his wingmen).
AeroGauge (USA)	In the tradition of F-Zero and Wipeout, AeroGauge is a sci-fi racer that pits you and a friend in a fast-paced race to the finish through futuristic tracks, riding and competing with crafts that act more like planes than racing machines as they skim many metres above the ground. Play solo through the grand prix, or beat down your best times in the time trial mode. Each track features a number of twists and turns, whether it be racing upside down or vertically, with a number of obstacles in your path. There's no weapons, though, it's just you and the open road ahead.
