#key	synopsis
007 - The World Is Not Enough (USA)	007: The World Is Not Enough fue lanzado en 2000 como una adaptación de videojuego de la película homónima y sucesora de GoldenEye 007. La historia generalmente sigue la trama de la película, mientras que James Bond tiene que proteger a Elektra King de un terrorista llamado Renard; pero como resulta sorprendente que King está trabajando junto con Renard para volar Estambul con un submarino nuclear con el fin de hacerse cargo del mercado mundial del petróleo, Bond se une al Dr. Christmas Jones para detener sus planes. La versión N64 presenta 14 niveles en la campaña para un solo jugador, así como modos multijugador con soporte para 4 jugadores y bots de IA adicionales.
1080 Snowboarding (Japan, USA) (En,Ja)	Estás bajando en una tabla de snowboard Tahoe 155 por una pendiente empinada y accidentada por la noche y estás a punto de completar un Indy Nosebone con Air a 360 ° ¡y ni siquiera has salido de tu sala de estar! Estás jugando a 1080 ° (diez ochenta) snowboard, un juego tan intenso que podrás cepillar la nieve de tus gafas. Con cinco huéspedes diferentes, ocho tablas de snowboard Lamar diferentes, más de 25 trucos, un Half-Pipe y seis campos diferentes, esto es lo más cerca que puedes llegar a la realidad sin saltar en el próximo remonte.
40 Winks (USA) (Piko Interactive)	En el juego se debe tomar el control de Ruff o Tumble, dos niños hermanos que a través de los sueños deben rescatar los &quot;Winks&quot;. que son unas pequeñas criaturas blancas y peludas que crean los dulces sueños, y Hoodwinks, son unas criaturas verdes de similar masa pero que crean pesadillas, del malvado villano Nitekap y su secuaz Threadbear. A través del juego se consiguen monedas, el personaje pasa por mundos de sueños, casas embrujadas, barcos, planetas y países prehistóricos. El personaje se puede transformar en diferentes tipos de seres, como por ejemplo Ninjas, Cavernícolas, Superhéroe etc.
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)	Tamagotchi 64: Minna de Tamagotchi World es un juego de Nintendo 64 lanzado solo en Japón en 1997. Es un juego de mesa virtual basado en el juguete Tamagotchi.
64 Hanafuda - Tenshi no Yakusoku (Japan)	64 Hanafuda: Tenshi no Yakusoku es un videojuego de naipes hanafuda lanzado en 1999 para la consola Nintendo 64.
64 Oozumou (Japan)	64 Ozumo permite al jugador la simulación de diversos aspectos de un luchador que sumo tiene que pasar, así como las dietas que debe llevar y la formación física entre otros.
64 Trump Collection - Alice no Wakuwaku Trump World (Japan)	64 Trump Colection: Alice no Waku Waku Trump World es un videojuego de naipes lanzado en 1998 para Nintendo 64 basado en el universo de de Alicia en el país de las maravillas.
AeroFighters Assault (USA)	El equipo de Aero Fighters Assault necesita tu ayuda para salvar a la Tierra de la malvada organización Phutta Morgana y sus máquinas de la fatalidad. ¡Únete a la batalla y elige a tu luchador entre 6 aeronaves diferentes con misiles únicos y armas especiales para eliminar a tus enemigos en ambiente 3D!
AeroGauge (USA)	AeroGauge es un videojuego para la Nintendo 64 que trata sobre futurísticas carreras aeroespaciales de hovercrafts en diversas pistas contra diversos contrincantes. Tiene disponible un modo de un sólo jugador, GrandPrix, multijugador (sin juego en línea) y contrarreloj, en el cual se puede jugar con tres dificultades: Novato, Mediano y Experto.
AI Shougi 3 (Japan)	Esta es la versión de N64 del clásico juego japonés de Shogi. Shogi o el ajedrez japonés (literalmente &quot;ajedrez de los generales&quot;) es el más popular de todas las variantes del ajedrez nativas de Japón.
Aidyn Chronicles - The First Mage (USA)	Aidyn Chronicles : The First Mage es un juego de rol para Nintendo 64. Nos pondremos en la piel de Young Alaron, que está en una misión para descubrir la verdad sobre él mismo, su nombre, y su herencia. Viajando a tierras lejanas y distantes, perseguido por fuerzas que no puede comprender, le acecha el peligro en todas las esquinas. ¡Alalon y sus compañeros buscarán cumplir su destino como el de mejor mago jamás conocido!
Airboarder 64 (Europe)	Air Boarder 64 es un juego de carreras futurista para Nintendo 64. Es muy similar a la serie Tony Hawks Pro Skater, aunque el juego presenta paneles flotantes en lugar de las patinetas habituales. Hay varios modos de juego disponibles en los que tienes que ganar los desafíos de la carrera o obtener un puntaje alto realizando diferentes trucos.
All Star Tennis 99 (USA)	Juega con 8 jugadores de la gira ATP / WTA de clase mundial (incluyendo a Mark Philippoussis, Richard Krajicek, Conchita Martinez y Jana Novotna), así como a 4 jugadores de ficción a través de una gama de torneos sobre hierba, tierra batida, cancha dura y sintética.
All-Star Baseball 2000 (USA)	All-Star Baseball 2000 es el segundo lanzamiento de la serie e incluye una gama de mejoras y nuevas características en comparación con la versión '99. La tecnología capturada por movimiento permite una representación realista de los movimientos, los balanceos, los lanzamientos y las capturas de los jugadores. Además de la gestión mejorada de la lista, que incluye la posibilidad de fichar jugadores de la liga menor y crear nuevos jugadores con nuevas estadísticas, puedes jugar una temporada entre ligas de 162 juegos o completar la temporada programada MLB de 1999. Una vez más, hay 30 equipos disponibles en el juego, así como estadios en casa y camisetas locales o de visitante. Además, los tamaños de las caras y los estilos de juego de los jugadores coinciden con los reales, ya que el juego tiene licencia.
All-Star Baseball 2001 (USA)	El último All-Star Baseball en N64 incluye características nuevas, así como mejoras a los modos de juego anteriores y opciones. Incluye un nuevo equipo, The Coopertown Legends, con una selección de algunos de los mejores jugadores de la MLB, incluyendo Yogi Berra, Willie Stargell y Reggie Jackson. Puedes elegir entre cada jugador, equipo y estadio en la temporada 2000 de la MLB. Cada jugador incluye expresiones faciales y miradas realistas, movimientos capturados y posiciones de bateo durante el juego.
