#key	synopsis
007 - The World Is Not Enough (USA)	Entrez dans l'univers de James Bond Dans la peau du meilleur agent secret du monde, vous allez enfin connaître le grand frisson. Équipé des gadgets et des armes créés par Q, vous êtes James Bond. Au travers de 14 missions, vous incarnerez ce gentleman raffiné, ingénieux et redoutable. Vous devrez garder votre sang-froid et vous montrer implacable. Aucun problème: vous êtes Bond. James Bond.
1080 Snowboarding (Japan, USA) (En,Ja)	1080° Snowboarding est un jeu de course de snowboard. Le joueur trouvera 6 pistes de descente et un half-pipe comme parcours, plusieurs personnages à choisir, et pourra exécuter plus de 25 figures. Après avoir choisi un personnage et une planche parmi les huit disponibles, le joueur peut participer à diverses épreuves : Match Race : course en tête à tête contre un adversaire contrôlé par l'ordinateur. Course contre la montre : Essayer de battre le meilleur temps sur une pente. Trick Attack : Essayer d'obtenir le meilleur score sur une piste. Concours : Course pour le meilleur temps sur une piste de slalom. 2P Vs : Course contre un ami. Entraînement : Entraînez-vous à faire des figures dans un half-pipe ou une piste de saut.
40 Winks (USA) (Piko Interactive)	40 Winks est un jeu en 3D dans lequel vous incarnez Ruff ou Tumble, deux enfants qui doivent affronter des fantômes, des gobelins et d'autres monstres dans leur monde imaginaire. Ils doivent essayer de capturer 40 clins d'œil dispersés dans le monde entier afin d'arrêter un vieil homme maléfique nommé Nitekap. Nitekap veut transformer les clins d'œil en clins d'œil à capuche, responsables des cauchemars. Vous devez également trouver les 12 clés des rêves pour débloquer le niveau du boss. Un aspect unique du jeu permet aux joueurs de se transformer temporairement en différents costumes dotés de capacités spéciales. Les costumes comprennent un homme préhistorique, un bouffon, un super héros et un ninja.
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)	UUn jeu de plateau basé sur l'univers des Tamagotchis (animaux de compagnie virtuels japonais). Il propose aux joueurs de s'affronter à travers plusieurs mini-jeux.
64 Hanafuda - Tenshi no Yakusoku (Japan)	64 Hanafuda vous permet de jouer au Hanafuda, un jeu de cartes traditionnelles japonaises. Il est composé de 12 séries de 4 cartes florales représentant chacune l'un des douze mois de l'année.
64 Oozumou (Japan)	64 Ōzumō est un jeu de sumo. Comme dans le sport original, le but des matchs relativement courts (mesurés en secondes) est de pousser l'adversaire hors de l'aire de combat. Le jeu utilise des zones en 3D, le stick analogique pour se déplacer et des combinaisons de boutons C pour effectuer des mouvements. Outre les matchs d'exhibition et divers tournois, il existe également un mode carrière qui propose des décisions et des mini-jeux entre les matchs, qui influencent les statistiques du sumo, par exemple le choix du régime alimentaire ou de la pêche. Le jeu a un aspect comique et certaines des huit zones présentent des lieux inhabituels tels que la Lune ou l'Égypte.
64 Oozumou 2 (Japan)	64 Ōzumō 2 est la suite du jeu original 64 Ōzumō, qui fait revivre l'univers passionnant de la lutte sumo traditionnelle japonaise aux amateurs de jeux vidéo. Les joueurs prennent à nouveau le contrôle du lutteur de sumo de leur choix et affrontent d'autres adversaires dans divers types de combats, notamment des combats en tête-à-tête, des combats en équipe et des combats royaux. Les joueurs doivent utiliser leurs compétences et leur sens stratégique pour pousser leurs adversaires hors du ring ou les faire toucher le sol avec une partie du corps autre que leurs pieds.
64 Trump Collection - Alice no Wakuwaku Trump World (Japan)	64 Trump Collection : Alice no Waku Waku Trump World est un jeu de cartes unique qui emmène les joueurs dans un monde fantaisiste et coloré inspiré du roman classique de Lewis Carroll, Alice au pays des merveilles. Les joueurs utilisent un jeu de cartes pour jouer à divers jeux contre l'ordinateur ou d'autres joueurs. Le jeu propose plus de 30 jeux de cartes différents, chacun avec ses propres règles et défis. Ces jeux comprennent des jeux de cartes traditionnels comme le poker et le blackjack, ainsi que des jeux uniques et créatifs qui sont exclusifs à ce titre.
AeroFighters Assault (USA)	Dans AeroFighters Assault, une organisation terroriste nommée Phutta Morgana a fait fondre l'Antarctique et utilise l'eau pour inonder les villes de la Terre. Le joueur prend part à l'unité Project Blue qui doit mettre fin à ces actes terroristes. En ce qui concerne le gameplay, le jeu est un mélange entre un jeu de tir classique comme Star Fox 64 et une simulation comme Pilotwings 64 : le joueur observe l'action depuis l'arrière de l'avion et utilise le stick analogique pour esquiver et les autres boutons pour tirer sur les ennemis. Chacun des huit avions (six réguliers et deux bonus) dispose de quatre armes différentes : deux ont des munitions illimitées, les mines d'air et l'arme spéciale sont limitées respectivement à dix et deux utilisations par tour. Avant chacune des huit missions normales et des quatre missions bonus, le joueur peut choisir l'un des quatre personnages et son avion (les autres deviennent ses coéquipiers).
AeroGauge (USA)	Dans la lignée de F-Zero et Wipeout, AeroGauge est un jeu de course de science-fiction qui vous oppose à un ami dans une course effrénée jusqu'à l'arrivée sur des circuits futuristes, en pilotant et en affrontant des engins qui ressemblent plus à des avions qu'à des machines de course, car ils volent à plusieurs mètres au-dessus du sol. Jouez en solo au grand prix ou battez vos meilleurs temps dans le mode contre la montre. Chaque circuit comporte un certain nombre de virages, que ce soit à l'envers ou à la verticale, et de nombreux obstacles se dressent sur votre chemin. Mais il n'y a pas d'armes, il n'y a que vous et la route qui s'ouvre devant vous.
AI Shougi 3 (Japan)	Le Shogi, également connu sous le nom de jeu d'échecs japonais, est un jeu à deux joueurs qui se joue sur un plateau de 9x9. Dans AI Shogi 3, les joueurs peuvent défier l'ordinateur ou jouer contre un ami dans une partie de Shogi. Le jeu propose plusieurs modes, dont les modes Entraînement, Jeu libre et Tournoi. En mode Entraînement, les joueurs peuvent améliorer leurs compétences en jouant contre l'ordinateur à différents niveaux de difficulté. En mode libre, les joueurs peuvent choisir leur adversaire et jouer une partie décontractée de Shogi. Le mode Tournoi permet aux joueurs de s'affronter dans une série de matchs contre l'ordinateur pour devenir le champion de Shogi. AI Shogi 3 comprend une variété de fonctions de jeu, telles que des options de déplacement multiples, la capture de pièces et la promotion de pions en pièces puissantes, permettant aux joueurs d'exécuter diverses stratégies et tactiques pour déjouer leurs adversaires. Le jeu propose également une vaste bibliothèque de didacticiels et de guides qui aident les joueurs à apprendre les règles et les stratégies du jeu.
Aidyn Chronicles - The First Mage (USA)	Les Chroniques d'Aidyn : The First Mage suit l'histoire d'Alaron, empoisonné par de mystérieux gobelins lors d'une patrouille dans les terres du royaume du roi Loyd. Sans remède ordinaire pour sa maladie, Alaron doit partir en voyage avec une sélection de compagnons à la recherche de l'antidote. Alaron est loin de se douter que le voyage est encore plus dangereux qu'il ne le pensait, car une force maléfique mystérieuse se prépare au loin. Dans ce jeu de rôle fantastique en 3D, vous devez accomplir une série de quêtes, en utilisant des objets et de la magie, tout en suivant un scénario légèrement non linéaire, en choisissant l'ordre dans lequel vous embarquez les tâches.
