#key	synopsis
007 - The World Is Not Enough (USA)	The World Is Not Enough è un videogioco sparatutto in prima persona sviluppato da Eurocom e basato sull'omonimo film di James Bond del 1999. È stato pubblicato da Electronic Arts e rilasciato per Nintendo 64 il 17 ottobre 2000, poco prima dell'uscita della sua controparte PlayStation. Il gioco presenta una campagna per giocatore singolo in cui i giocatori assumono il ruolo dell'agente dell'MI6 James Bond mentre combatte per impedire a un terrorista di innescare una fusione nucleare nelle acque di Istanbul. Include una modalità multiplayer a schermo diviso in cui fino a quattro giocatori possono competere in diversi tipi di deathmatch e giochi basati su obiettivi.
1080 Snowboarding (Japan, USA) (En,Ja)	1080° Snowboarding è un gioco di corse di snowboard. Il giocatore troverà 6 piste da discesa e un half-pipe come percorsi, diversi personaggi tra cui scegliere e sarà in grado di eseguire più di 25 acrobazie. Dopo aver scelto un personaggio e un tabellone tra gli otto disponibili, il giocatore può competere in una varietà di eventi: Match Race: gareggia testa a testa contro un avversario controllato dal computer. Time Attack: prova a battere il miglior tempo su un pendio. Trick Attack: cerca di ottenere il miglior punteggio di trick su un pendio. Contest: Gareggia per il miglior tempo lungo una via di slalom. 2P Vs.: Gareggia contro un amico. Pratica: esercitati con i trucchi in un half-pipe o in un salto in pendenza.
40 Winks (USA) (Piko Interactive)	Nel gioco devi prendere il controllo di Ruff o Tumble, due fratelli che attraverso i sogni devono salvare i &quot;Winks&quot;, che sono piccole creature pelose bianche che creano sogni d'oro, e Hoodwinks, che sono creature verdi di massa simile ma che creano incubi, dal malvagio nemico Nitekap e dal suo scagnozzo Threadbear. Attraverso il gioco si ottengono monete, il personaggio attraversa mondi onirici, case infestate, navi, pianeti e paesi preistorici. Il personaggio può essere trasformato in diversi tipi di esseri, come ninja, cavernicoli, supereroi, ecc.
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)	Tamagotchi 64: Minna di Tamagotchi World è un gioco per Nintendo 64 pubblicato solo in Giappone nel 1997. È un gioco da tavolo virtuale basato sul giocattolo tamagotchi. Tamagotchi è un giocattolo che crea un animale domestico virtuale. Tamagotchi è stato lanciato nel 1996, lo scopo del gioco è prendersi cura dell'animale virtuale come se fosse reale, dargli affetto virtuale, cibo virtuale, bagno virtuale, cure virtuali, ecc.
64 Hanafuda - Tenshi no Yakusoku (Japan)	64 Hanafuda: Tenshi no Yakusoku (che si traduce in &quot;64 Hanafuda: Promise of an Angel&quot;) è un gioco di carte per Nintendo 64. È stato rilasciato nel 1999 solo in Giappone.
64 Oozumou (Japan)	64 Oozumau è un gioco di combattimento di sumo pubblicato solo in Giappone. La particolarità di questo gioco è che i combattenti hanno una testa molto grande. Il gioco offre un editor per cambiare l'aspetto fisico del suo lottatore.
64 Oozumou 2 (Japan)	64 Oozumau 2 è un gioco di combattimento di sumo pubblicato solo in Giappone. È la continuazione del gioco 64 Oozumau commercializzato 2 anni prima. Proprio come nella prima opera, i combattenti hanno una testa molto grande.
AeroFighters Assault (USA)	Il team di AeroFighters Assault ha bisogno del tuo aiuto per salvare la Terra dalla malvagia Phutta Morgana e dalle loro macchine del destino. Ingaggia una varietà di aerei nemici e personaggi boss in tutto il mondo in più missioni. Unisciti alla battaglia nell'unico gioco che conta!
AeroGauge (USA)	Sfreccia nei cieli mentre prendi il controllo delle tue aeromacchine in questo nuovo gioco di corse futuristico, AeroGauge. Con percorsi con curve strette e ostacoli ancora più acuti, ci vorrà un occhio attento e il massimo controllo per manovrare attraverso percorsi caratterizzati da canyon, tunnel, oceani e montagne. Immagina velocità che superano i 1000 mph mentre sfrecci sul campo in rotta verso la vittoria in questi paesaggi graficamente avanzati. Mai un gioco ha incorporato un controllo così straordinario, una grafica dettagliata e velocità da brivido come... AeroGauge!
AI Shougi 3 (Japan)	Questa è la versione N64 del classico gioco giapponese di Shogi. Shogi o scacchi giapponesi (letteralmente &quot;scacchi dei generali&quot;) è la più popolare di una famiglia di varianti di scacchi originaria del Giappone. Uniche alle forme giapponesi di scacchi sono le gocce, le mosse
Aidyn Chronicles - The First Mage (USA)	Aidyn Chronicles: The First Mage è un gioco di ruolo per Nintendo 64. Giocheremo nei panni del giovane Alaron, che è in missione per scoprire la verità su se stesso, il suo nome e la sua eredità. Viaggiando in terre lontane e lontane, inseguito da forze che non riesce a capire, il pericolo si nasconde dietro ogni angolo. Alalon e i suoi compagni cercheranno di realizzare il loro destino come il più grande mago mai conosciuto!
Airboarder 64 (Europe)	Air Boarder 64 per Nintendo 64 è un gioco di skateboard. Il titolo offre la possibilità di scegliere tra gli 8 personaggi disponibili e le 12 schede e di andare a sondare i 5 livelli offerti. Il tuo obiettivo qui sarà quello di concatenare il maggior numero possibile di acrobazie, ma anche di percorrere percorsi specifici che attraversano cerchi gialli.
All Star Tennis 99 (USA)	All Star Tennis '99 su N64 è un gioco di tennis in cui incarniamo i migliori giocatori dell'epoca come Michael Change, Gustavo Kuerten, Mark Philippoussis, Richard Krajicek, Conchita Martinez e Jana Novotna. Sono disponibili diverse modalità di gioco per garantire sia tornei in solitario che multiplayer che possono arrivare fino a 4 giocatori in una doppia partita.
All-Star Baseball 2000 (USA)	Il secondo nella serie All-Star Baseball include un'ampia gamma di miglioramenti e nuove funzionalità rispetto a ASB '99. * La tecnologia Motion Capture consente una rappresentazione realistica dei movimenti, delle oscillazioni, dei lanci e delle catture del giocatore. * La gestione del roster migliorata include la possibilità di ingaggiare giocatori della lega minore, oltre a creare nuovi giocatori con nuove statistiche da creare. * Gioca una stagione inter-lega di 162 partite o l'intera stagione programmata della MLB 1999 E tutte e 30 le squadre e i rispettivi giocatori, gli stadi di casa, le maglie da casa e quelle da trasferta e i volti, le dimensioni e gli stili di gioco fedeli alla vita.
All-Star Baseball 2001 (USA)	L'ultimo All-Star Baseball sull'N64 include ancora una volta alcune nuove funzionalità e miglioramenti alle modalità e opzioni di gioco precedenti. Per il 2001, è inclusa una nuova squadra, The Coopertown Legends, con una selezione di alcuni dei migliori giocatori in ogni grazia della MLB, tra cui Yogi Berra, Willie Stargell e Reggie Jackson. Insieme alla squadra delle leggende, puoi scegliere tra tutti i giocatori, squadre e stadi della stagione 2000 MLB. Ogni giocatore include espressioni facciali e sguardi realistici, oltre a movimenti del giocatore catturati dal movimento, posizioni di battuta e reazioni agli eventi chiave durante il gioco.
All-Star Baseball 99 (USA)	All-Star Baseball è una serie di videogiochi di baseball sviluppata e pubblicata da Acclaim Entertainment. La serie è iniziata nel 1998 con l'uscita di All-Star Baseball '99. Tutte le 30 squadre della Major League Baseball partecipano al primo titolo All-Star Baseball. Le modalità di gioco includono Allenamento, Stagione, Playoff, World Series, più un All-Star Match, Home Run Derby e Trivia MLB. Sono presenti 100 diversi stili di battuta, oltre a movimenti come fermi scorrevoli, collisioni di base, lanci in ginocchio e mazze rotte. È anche possibile iscriversi e scambiare giocatori di tutto il campionato e creare la propria squadra dall'intero roster di 700 giocatori. E se non esiste un giocatore adatto alle tue esigenze, puoi utilizzare la modalità Crea un giocatore per una maggiore versatilità.
Armorines - Project S.W.A.R.M. (USA)	In poche parole, hai due Armorine con cui giocare, ognuna con la propria selezione di armi. Devi combattere fino alla morte contro insetti di tutte le dimensioni, mentre cerchi di distruggere le possibilità dei nemici di eliminare la civiltà umana come la conosciamo (in un futuro non troppo lontano, ovviamente). Questo gioco utilizza il motore Turok 2 e presenta temi ed elementi simili al film Starship Troopers.
