#key	synopsis
007 - The World Is Not Enough (USA)	O jogo novamente possui Pierce Brosnan como protagonista, embora não seja o próprio que o dublê. A jogabilidade do jogo é semelhante a do GoldenEye 007, com alguns aprimoramentos, como a possibilidade de saltar e render inimigos.
1080 Snowboarding (Japan, USA) (En,Ja)	1080° Snowboarding é um jogo de corrida de snowboard. Os jogadores encontrarão seis pistas de downhill e um half-pipe como percursos, diversos personagens para escolher e a possibilidade de realizar mais de 25 manobras. Após escolher um personagem e uma prancha entre oito disponíveis, os jogadores podem competir em uma variedade de eventos: Corrida de Contrarrelógio: Corra frente a frente contra um oponente controlado pelo computador. Contra o Tempo: Tente bater o tempo mais rápido em uma pista. Contra Manobras: Tente obter a melhor pontuação de manobras em uma pista. Competição: Compita pelo tempo mais rápido em um percurso de slalom. 2P vs.: Compita contra um amigo. Prática: Pratique manobras em um half-pipe ou em um salto na pista.
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan)	Tamagotchi 64: Minna de Tamagotchi World é um jogo para Nintendo 64 lançado apenas no Japão em 1997. É um jogo de tabuleiro virtual baseado no brinquedo tamagotchi. Tamagotchi é um brinquedo em que se cria um animal de estimação virtual. O tamagotchi foi lançado em 1996, a motivação do jogo consiste em cuidar do animalzinho virtual como se fosse real, dando-lhe carinho virtual, comida virtual, banho virtual, cuidados virtuais etc.
64 Hanafuda - Tenshi no Yakusoku (Japan)	64 Hanafuda: Tenshi no Yakusoku é um jogo eletrônico de card game lançado para o Nintendo 64. O jogo foi desenvolvido e lançado pela Altron em 1999 somente no Japão.
64 Oozumou 2 (Japan)	64 ?zum? 2 é um jogo eletrônico de luta de sumô lançado para o Nintendo 64. O jogo foi desenvolvido e lançado pela Bottom Up em 1999 apenas no Japão. O jogo é a sequência de 64 ?zum?, lançado em 1997.
64 Trump Collection - Alice no Wakuwaku Trump World (Japan)	64 Trump Collection: Alice no Waku Waku Trump World é um jogo eletrônico de card game baseado em Alice no País das Maravilhas lançado para o Nintendo 64. O jogo foi desenvolvido e lançado pela Bottom Up em 1998 somente no Japão.
AeroFighters Assault (USA)	Aero Fighters Assault é um jogo de batalha produzido para o Nintendo 64, onde o utilizador controla um caça e tem como objetivo destruir seus inimigos. O jogo foi produzido em 1996 no Japão, onde é chamado de Sonic Wings Assault. A equipe de AeroFighters Assault precisa de sua ajuda para salvar a Terra do malvado Phutta Morgana e suas máquinas da destruição. Envolva uma variedade de aeronaves inimigas e personagens chefes ao redor do mundo em múltiplas missões. Junte-se à batalha no único jogo que importa!
AeroGauge (USA)	Incendeie-se pelos céus enquanto assume o controlo das suas próprias Aeromachines neste novo e futurista jogo de corrida, o AeroGauge. Com cursos que têm curvas fechadas e obstáculos ainda mais nítidos, vai ser preciso um olhar atento e controle final para manobrar através de cursos com canyons, túneis, oceanos e montanhas. Imagine velocidades atingindo mais de 1.000 km / h à medida que você passeia pelo campo em direção à vitória nessas paisagens graficamente avançadas. Nunca um jogo incorporou um controle tão notável, gráficos detalhados e velocidades incríveis ... AeroGauge!
AI Shougi 3 (Japan)	Esta é a versão N64 do clássico jogo japonês de Shogi. Shogi ou xadrez japonês (literalmente &quot;xadrez dos generais&quot;) é o mais popular de uma família de variantes de xadrez nativas do Japão. Exclusivo para as formas japonesas de xadrez são as gotas, movimentos
Aidyn Chronicles - The First Mage (USA)	Aidyn Chronicles: The First Mage é um jogo de videogame desenvolvido pelo estúdio canadense H2O Interactive e publicado pela THQ para o console de videogame Nintendo 64. O jovem Alaron está em busca de descobrir a verdade sobre si mesmo, seu nome e sua herança. Viajando para terras distantes e distantes, perseguido por forças que ele não consegue entender, o perigo espreita em cada esquina. Alaron e seus companheiros procurarão cumprir seu destino como o maior mago já conhecido!
