#key	name	year	genre	developer	players
'89 Dennou Kyuusei Uranai (Japan)	'89 Dennou Kyuusei Uranai	1988	Simulation	Micronics	1
10-Yard Fight (USA, Europe)	10-Yard Fight	1985	Sports / Football (American)/Sports	Irem	1-2
1942 (Japan, USA) (En)	1942	1986	Shoot'em Up / Vertical/Shoot'em Up	Micronics	1-2
1943 - The Battle of Midway (USA)	1943 : The Battle of Midway	1988	Shoot'em Up / Vertical/Shoot'em Up	Capcom	1-2
1999 - Hore, Mitakotoka! Seikimatsu (Japan)	1999 : Hore, Mitakotoka! Seikimatsu	1992	Board game	Coconuts Japan	1-4
3-D WorldRunner (USA)	3-D WorldRunner	1987	Platform / Run & Jump/Platform	Square	1
4 Nin Uchi Mahjong (Japan)	4 Nin Uchi Mahjong	1984	Mahjong/Asiatic board game	Hudson Soft	1
720 Degrees (USA)	720 Degrees	1989	Sports / Skateboard/Sports	Atari	1
8 Eyes (World) (Digital)	8 Eye's	1990	Adventure	Thinking Rabbit	1-2
A Ressha de Ikou (Japan)	A-Ressha de Ikou	1991	Build And Management/Simulation	Artdink	1
Aa Yakyuu Jinsei Icchokusen (Japan)	Aa Yakyuu Jinsei Icchokusen	1992	Board game	Sammy Corporation	1-4
Abadox - The Deadly Inner War (USA)	Abadox : The Deadly Inner War	1990	Shoot'em Up / Horizontal/Shoot'em Up	ITL	1
Addams Family, The (USA)	The Addams Family	1992	Platform	Ocean	1
Addams Family, The - Pugsley's Scavenger Hunt (USA)	The Addams Family : Pugsley's Scavenger Hunt	1993	Platform	Ocean	1
Advanced Dungeons & Dragons - Dragons of Flame (Japan)	Advanced Dungeons & Dragons : Dragons of Flame	1992	Role Playing Game	Atelier Double	1
Advanced Dungeons & Dragons - DragonStrike (USA)	Advanced Dungeons & Dragons : DragonStrike	1992	Shooter	Westwood Studios	1-2
Advanced Dungeons & Dragons - Heroes of the Lance (USA)	Heroes Of The Lance	1991	Role Playing Game	Strategic Simulations	1
Advanced Dungeons & Dragons - Hillsfar (USA)	Hillsfar	1993	Role Playing Game	Westwood Associates	1
Advanced Dungeons & Dragons - Pool of Radiance (USA)	Pool of Radiance	1992	Role Playing Game	Strategic Simulations	1
Adventure Island (USA)	Adventure Island	1988	Platform	Hudson Soft	1
Adventure Island 3 (USA)	Adventure Island 3	1992	Platform	Hudson Soft	1
Adventure Island II (USA)	Adventure Island II	1991	Platform	Now Production	1
Adventures in the Magic Kingdom (USA)	Disney Adventures in the Magic Kingdom	1990	Platform	Capcom	1
Adventures of Bayou Billy, The (USA)	The Adventures of Bayou Billy	1989	Beat'em Up	Konami	1
Adventures of Dino Riki (USA)	Adventures of Dino Riki	1989	Shoot'em Up	Hudson Soft	1
Adventures of Dr. Franken, The (USA) (Proto)	The Adventures of Dr. Franken	1993	Platform	Cygnus Software	1
Adventures of Gilligan's Island, The (USA)	The Adventures of Gilligan's Island	1990	Adventure	Human Entertainment	1
Adventures of Lolo (Japan) (En)	Adventures of Lolo	1989	Puzzle/Strategy	HAL Laboratory	1
Adventures of Lolo (USA)	Adventures of Lolo	1989	Puzzle/Strategy	HAL Laboratory	1
Adventures of Lolo 2 (USA)	Adventures of Lolo 2	1990	Puzzle/Strategy	HAL Laboratory	1
Adventures of Lolo 3 (USA)	Adventures of Lolo 3	1991	Puzzle/Strategy	HAL Laboratory	1
