#name	crc	size	key
'89 Dennou Kyuusei Uranai (Japan)	3577ab04	262160	'89 Dennou Kyuusei Uranai (Japan)
10-Yard Fight (Japan) (En)	44aa3eeb	24592	10-Yard Fight (USA, Europe)
10-Yard Fight (Japan) (En) (Rev 1)	83146ecf	24592	10-Yard Fight (USA, Europe)
10-Yard Fight (USA) (Retro-Bit Generations)	525662b1	40976	10-Yard Fight (USA, Europe)
10-Yard Fight (USA, Europe)	c986cda2	40976	10-Yard Fight (USA, Europe)
100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan)	fccb5cea	262160	Casino Kid (USA)
1942 (Japan, USA) (En)	74d7bae1	40976	1942 (Japan, USA) (En)
1943 (Japan) (FamicomBox)	e081d937	131088	1943 - The Battle of Midway (USA)
1943 - The Battle of Midway (Japan) (Beta)	6bc1bb33	131088	1943 - The Battle of Midway (USA)
1943 - The Battle of Midway (USA)	46f660c9	131088	1943 - The Battle of Midway (USA)
1943 - The Battle of Midway (USA) (Beta 1)	2a7cf274	131088	1943 - The Battle of Midway (USA)
1943 - The Battle of Midway (USA) (Beta 2)	00c08491	131088	1943 - The Battle of Midway (USA)
1943 - The Battle of Midway (USA) (Retro-Bit Generations)	5564b222	131088	1943 - The Battle of Midway (USA)
1943 - The Battle of Valhalla (Japan)	1a724434	131088	1943 - The Battle of Midway (USA)
1999 - Hore, Mitakotoka! Seikimatsu (Japan)	0cc5efb8	393232	1999 - Hore, Mitakotoka! Seikimatsu (Japan)
2010 Street Fighter (Japan)	a311678a	262160	Street Fighter 2010 - The Final Fight (USA)
2010 Street Fighter (Japan) (Beta)	27f5c9a6	262160	Street Fighter 2010 - The Final Fight (USA)
3-D WorldRunner (USA)	426a7b5a	131088	3-D WorldRunner (USA)
4 Nin Uchi Mahjong (Japan)	f7566468	24592	4 Nin Uchi Mahjong (Japan)
4 Nin Uchi Mahjong (Japan) (Rev 1)	aaf96070	24592	4 Nin Uchi Mahjong (Japan)
720 Degrees (USA)	1e693a66	131088	720 Degrees (USA)
8 Eyes (Japan)	436cd34b	262160	8 Eyes (World) (Digital)
8 Eyes (USA)	89d3518c	262160	8 Eyes (World) (Digital)
8 Eyes (USA, Europe) (Pixel Heart)	22c0543e	524304	8 Eyes (World) (Digital)
8 Eyes (World) (Digital)	a1c16875	262160	8 Eyes (World) (Digital)
A Ressha de Ikou (Japan)	e3e40b00	147472	A Ressha de Ikou (Japan)
ASO - Armored Scrum Object (Japan) (En)	142a80b3	65552	Alpha Mission (USA)
ASO - Armored Scrum Object (Japan) (En) (Sample)	14eea3f9	65552	Alpha Mission (USA)
Aa Yakyuu Jinsei Icchokusen (Japan)	d56e626b	524304	Aa Yakyuu Jinsei Icchokusen (Japan)
Abadox (Japan) (En)	e8549ce8	262160	Abadox - The Deadly Inner War (USA)
Abadox - The Deadly Inner War (USA)	4dad1c95	262160	Abadox - The Deadly Inner War (USA)
Abarenbou Tengu (Japan)	77c3aff0	262160	Zombie Nation (USA)
Aces - Iron Eagle III (Japan)	ff6ad30c	524304	Ultimate Air Combat (USA)
Action in New York (Europe)	02b76e2c	262160	S.C.A.T. - Special Cybernetic Attack Team (USA)
Addams Family, The (Europe) (En,Fr,De)	8707e956	262160	Addams Family, The (USA)
Addams Family, The (USA)	99c84528	262160	Addams Family, The (USA)
Addams Family, The (USA) (Beta) (1991-08-02)	cff2e0e7	262160	Addams Family, The (USA)
Addams Family, The - Pugsley's Scavenger Hunt (Europe)	ae452956	262160	Addams Family, The - Pugsley's Scavenger Hunt (USA)
Addams Family, The - Pugsley's Scavenger Hunt (Europe) (Beta 1)	2915d501	262160	Addams Family, The - Pugsley's Scavenger Hunt (USA)
Addams Family, The - Pugsley's Scavenger Hunt (Europe) (Beta 2)	fb3ff1cb	262160	Addams Family, The - Pugsley's Scavenger Hunt (USA)
Addams Family, The - Pugsley's Scavenger Hunt (Europe) (Beta 3)	f085eedf	262160	Addams Family, The - Pugsley's Scavenger Hunt (USA)
Addams Family, The - Pugsley's Scavenger Hunt (Europe) (Beta 4)	74068f9a	262160	Addams Family, The - Pugsley's Scavenger Hunt (USA)
Addams Family, The - Pugsley's Scavenger Hunt (USA)	faa79dd5	262160	Addams Family, The - Pugsley's Scavenger Hunt (USA)
Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta 1)	c46352b5	262160	Addams Family, The - Pugsley's Scavenger Hunt (USA)
Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta 2)	c886db3d	262160	Addams Family, The - Pugsley's Scavenger Hunt (USA)
Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta 3)	b1e58f31	262160	Addams Family, The - Pugsley's Scavenger Hunt (USA)
Addams Family, The - Pugsley's Scavenger Hunt (USA) (Beta 4)	1ac80aed	262160	Addams Family, The - Pugsley's Scavenger Hunt (USA)
Advanced Dungeons & Dragons - DragonStrike (USA)	af14702d	524304	Advanced Dungeons & Dragons - DragonStrike (USA)
Advanced Dungeons & Dragons - Dragons of Flame (Japan)	da38e889	262160	Advanced Dungeons & Dragons - Dragons of Flame (Japan)
Advanced Dungeons & Dragons - Heroes of the Lance (Japan)	226939f9	262160	Advanced Dungeons & Dragons - Heroes of the Lance (USA)
Advanced Dungeons & Dragons - Heroes of the Lance (USA)	8d5b6370	262160	Advanced Dungeons & Dragons - Heroes of the Lance (USA)
Advanced Dungeons & Dragons - Heroes of the Lance (USA) (Beta)	fe01291c	262160	Advanced Dungeons & Dragons - Heroes of the Lance (USA)
Advanced Dungeons & Dragons - Hillsfar (Japan)	63ab8c35	262160	Advanced Dungeons & Dragons - Hillsfar (USA)
Advanced Dungeons & Dragons - Hillsfar (USA)	127e8c11	262160	Advanced Dungeons & Dragons - Hillsfar (USA)
Advanced Dungeons & Dragons - Hillsfar (USA) (Beta)	0dfb881f	262160	Advanced Dungeons & Dragons - Hillsfar (USA)
Advanced Dungeons & Dragons - Pool of Radiance (Japan)	f2d65be7	655376	Advanced Dungeons & Dragons - Pool of Radiance (USA)
Advanced Dungeons & Dragons - Pool of Radiance (USA)	1d3073d7	655376	Advanced Dungeons & Dragons - Pool of Radiance (USA)
Advanced Dungeons & Dragons - Pool of Radiance (USA) (Beta)	a2809c64	655376	Advanced Dungeons & Dragons - Pool of Radiance (USA)
Adventure Island (USA)	995b3fff	65552	Adventure Island (USA)
Adventure Island 3 (USA)	04063067	262160	Adventure Island 3 (USA)
Adventure Island Classic (Europe)	cb55d991	65552	Adventure Island (USA)
Adventure Island II (USA)	cca56a6f	262160	Adventure Island II (USA)
Adventure Island II (USA) (Beta)	371528bf	262160	Adventure Island II (USA)
Adventure Island III (Europe) (Proto)	71c39b3b	262160	Adventure Island 3 (USA)
Adventure Island Part II, The (Europe)	011c6315	262160	Adventure Island II (USA)
Adventures in the Magic Kingdom (Europe)	5301f57e	262160	Adventures in the Magic Kingdom (USA)
Adventures in the Magic Kingdom (USA)	a124ab1f	262160	Adventures in the Magic Kingdom (USA)
Adventures in the Magic Kingdom (USA) (Beta 1)	b322289f	262160	Adventures in the Magic Kingdom (USA)
Adventures in the Magic Kingdom (USA) (Beta 2)	c06e8258	262160	Adventures in the Magic Kingdom (USA)
Adventures of Bayou Billy, The (Europe)	ed805bc0	262160	Adventures of Bayou Billy, The (USA)
Adventures of Bayou Billy, The (USA)	f280923f	262160	Adventures of Bayou Billy, The (USA)
Adventures of Bayou Billy, The (USA) (Virtual Console)	168680b5	262160	Adventures of Bayou Billy, The (USA)
Adventures of Dino Riki (USA)	fa221e26	65552	Adventures of Dino Riki (USA)
Adventures of Dr. Franken, The (USA) (Proto)	efd4aeea	131088	Adventures of Dr. Franken, The (USA) (Proto)
Adventures of Gilligan's Island, The (USA)	f1b93468	131088	Adventures of Gilligan's Island, The (USA)
Adventures of Lolo (Europe)	bf879b71	65552	Adventures of Lolo (USA)
Adventures of Lolo (Europe) (Virtual Console)	72a477e0	65552	Adventures of Lolo (USA)
Adventures of Lolo (Japan) (En)	c42f6e40	65552	Adventures of Lolo (Japan) (En)
Adventures of Lolo (USA)	3d59cddd	65552	Adventures of Lolo (USA)
Adventures of Lolo (USA) (Virtual Console)	6601b119	65552	Adventures of Lolo (USA)
Adventures of Lolo 2 (Europe)	444e95bd	65552	Adventures of Lolo 2 (USA)
