#key	style	ss_system_id
'89 Dennou Kyuusei Uranai (Japan)	mixrbv2	3
10-Yard Fight (USA, Europe)	mixrbv2	3
1942 (Japan, USA) (En)	mixrbv2	3
1943 - The Battle of Midway (USA)	mixrbv2	3
1999 - Hore, Mitakotoka! Seikimatsu (Japan)	mixrbv2	3
3-D WorldRunner (USA)	mixrbv2	3
4 Nin Uchi Mahjong (Japan)	mixrbv2	3
720 Degrees (USA)	mixrbv2	3
8 Eyes (World) (Digital)	mixrbv2	3
A Ressha de Ikou (Japan)	mixrbv2	3
Aa Yakyuu Jinsei Icchokusen (Japan)	mixrbv2	3
Abadox - The Deadly Inner War (USA)	mixrbv2	3
Addams Family, The (USA)	mixrbv2	3
Addams Family, The - Pugsley's Scavenger Hunt (USA)	mixrbv2	3
Advanced Dungeons & Dragons - DragonStrike (USA)	mixrbv2	3
Advanced Dungeons & Dragons - Dragons of Flame (Japan)	mixrbv2	3
Advanced Dungeons & Dragons - Heroes of the Lance (USA)	mixrbv2	3
Advanced Dungeons & Dragons - Hillsfar (USA)	mixrbv2	3
Advanced Dungeons & Dragons - Pool of Radiance (USA)	mixrbv2	3
Adventure Island (USA)	mixrbv2	3
Adventure Island 3 (USA)	mixrbv2	3
Adventure Island II (USA)	mixrbv2	3
Adventures in the Magic Kingdom (USA)	mixrbv2	3
Adventures of Bayou Billy, The (USA)	mixrbv2	3
Adventures of Dino Riki (USA)	mixrbv2	3
Adventures of Dr. Franken, The (USA) (Proto)	mixrbv2	3
Adventures of Gilligan's Island, The (USA)	mixrbv2	3
Adventures of Lolo (USA)	mixrbv2	3
Adventures of Lolo 2 (USA)	mixrbv2	3
Adventures of Lolo 3 (USA)	mixrbv2	3
Adventures of Lolo II (Japan)	mixrbv2	3
Adventures of Rad Gravity, The (USA)	mixrbv2	3
Adventures of Rocky and Bullwinkle and Friends, The (USA)	mixrbv2	3
Adventures of Tom Sawyer (USA)	mixrbv2	3
After Burner (Japan) (En)	mixrbv2	3
Ai Sensei no Oshiete - Watashi no Hoshi (Japan)	mixrbv2	3
Aigina no Yogen - Balubalouk no Densetsu Yori (Japan)	mixrbv2	3
Air Fortress (USA)	mixrbv2	3
Airwolf (Japan) (Kyugo)	mixrbv2	3
Airwolf (USA) (Acclaim)	mixrbv2	3
Akagawa Jirou no Yuurei Ressha (Japan)	mixrbv2	3
Akira (Japan)	mixrbv2	3
Akuma-kun - Makai no Wana (Japan)	mixrbv2	3
Akumajou Special - Boku Dracula-kun (Japan)	mixrbv2	3
Al Unser Jr. Turbo Racing (USA)	mixrbv2	3
Aladdin (Europe)	mixrbv2	3
Alex DeMeo's Race America (USA)	mixrbv2	3
Alfred Chicken (USA)	mixrbv2	3
Alien 3 (USA)	mixrbv2	3
Alien Syndrome (Japan) (En)	mixrbv2	3
All-Pro Basketball (USA)	mixrbv2	3
Alpha Mission (USA)	mixrbv2	3
Amagon (USA)	mixrbv2	3
America Daitouryou Senkyo (Japan)	mixrbv2	3
America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan)	mixrbv2	3
American Dream (Japan)	mixrbv2	3
American Gladiators (USA)	mixrbv2	3
Ankoku Shinwa - Yamato Takeru Densetsu (Japan)	mixrbv2	3
Anticipation (USA)	mixrbv2	3
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	mixrbv2	3
Arcadia VI (USA) (Proto)	mixrbv2	3
Arch Rivals - A Basketbrawl! (USA)	mixrbv2	3
Archon (USA)	mixrbv2	3
Arctic (Japan) (En)	mixrbv2	3
Argus (Japan) (En)	mixrbv2	3
Arkanoid (USA)	mixrbv2	3
Arkanoid II (Japan) (En)	mixrbv2	3
Arkista's Ring (USA)	mixrbv2	3
Armadillo (Japan)	mixrbv2	3
Artelius (Japan)	mixrbv2	3
Asmik-kun Land (Japan)	mixrbv2	3
Asterix (Europe) (En,Fr,De,Es,It)	mixrbv2	3
Astro Fang - Super Machine (Japan)	mixrbv2	3
Astro Robo Sasa (Japan) (En)	mixrbv2	3
Astyanax (USA)	mixrbv2	3
Athena (USA)	mixrbv2	3
Athletic World (USA)	mixrbv2	3
Atlantis no Nazo (Japan) (En)	mixrbv2	3
Attack Animal Gakuen (Japan) (En) (Famicom 3D System)	mixrbv2	3
Attack of the Killer Tomatoes (USA)	mixrbv2	3
Aussie Rules Footy (Australia)	mixrbv2	3
B-Wings (Japan) (En)	mixrbv2	3
Babel no Tou (Japan) (En)	mixrbv2	3
Back to the Future (USA)	mixrbv2	3
Back to the Future Part II & III (USA)	mixrbv2	3
Bad Dudes (USA)	mixrbv2	3
Bad News Baseball (USA)	mixrbv2	3
Bad Street Brawler (USA)	mixrbv2	3
Baken Hisshou Gaku - Gate In (Japan)	mixrbv2	3
Bakushou! Star Monomane Shitennou (Japan)	mixrbv2	3
Bakushou!! Ai no Gekijou (Japan)	mixrbv2	3
Bakushou!! Jinsei Gekijou (Japan)	mixrbv2	3
Bakushou!! Jinsei Gekijou 2 (Japan)	mixrbv2	3
Bakushou!! Jinsei Gekijou 3 (Japan)	mixrbv2	3
Ballblazer (Japan) (En)	mixrbv2	3
Balloon Fight (USA)	mixrbv2	3
Baltron (Japan) (En)	mixrbv2	3
Banana (Japan) (En)	mixrbv2	3
Bananan Ouji no Daibouken (Japan)	mixrbv2	3
Bandai Golf - Challenge Pebble Beach (USA)	mixrbv2	3
Bandit Kings of Ancient China (USA)	mixrbv2	3
Barbie (USA)	mixrbv2	3
Barcode World (Japan)	mixrbv2	3
Bard's Tale II, The - The Destiny Knight (Japan)	mixrbv2	3
Bard's Tale, The (USA)	mixrbv2	3
Barker Bill's Trick Shooting (USA)	mixrbv2	3
Baseball (USA, Europe)	mixrbv2	3
Baseball Fighter (Japan)	mixrbv2	3
Baseball Simulator 1.000 (USA)	mixrbv2	3
Baseball Stars (USA)	mixrbv2	3
Baseball Stars II (USA)	mixrbv2	3
Bases Loaded (USA)	mixrbv2	3
Bases Loaded 3 (USA)	mixrbv2	3
Bases Loaded 4 (USA)	mixrbv2	3
Bases Loaded II - Second Season (USA)	mixrbv2	3
Batman - Return of the Joker (USA)	mixrbv2	3
Batman - The Video Game (USA)	mixrbv2	3
Batman Returns (USA)	mixrbv2	3
Batsu & Terry - Makyou no Tetsujin Race (Japan) (En)	mixrbv2	3
Battle Baseball (Japan)	mixrbv2	3
Battle Chess (USA)	mixrbv2	3
Battle Fleet (Japan)	mixrbv2	3
Battle Rush - Build Up Robot Tournament (Japan) (Datach)	mixrbv2	3
Battle Stadium - Senbatsu Pro Yakyuu (Japan)	mixrbv2	3
Battle Storm (Japan)	mixrbv2	3
Battle of Olympus, The (USA)	mixrbv2	3
BattleCity (World) (Star Fox - Assault)	mixrbv2	3
Battleship (USA)	mixrbv2	3
Battletoads (USA)	mixrbv2	3
Battletoads-Double Dragon (USA)	mixrbv2	3
Be-Bop-Highschool - Koukousei Gokuraku Densetsu (Japan)	mixrbv2	3
Beauty and the Beast (Europe)	mixrbv2	3
Beetlejuice (USA)	mixrbv2	3
Best Keiba - Derby Stallion (Japan)	mixrbv2	3
Best Play Pro Yakyuu '90 (Japan)	mixrbv2	3
Best Play Pro Yakyuu (Japan)	mixrbv2	3
Best Play Pro Yakyuu II (Japan)	mixrbv2	3
Best Play Pro Yakyuu Special (Japan)	mixrbv2	3
Best of the Best - Championship Karate (USA)	mixrbv2	3
Bigfoot (USA)	mixrbv2	3
Bikkuriman World - Gekitou Sei Senshi (Japan)	mixrbv2	3
Bill & Ted's Excellent Video Game Adventure (USA)	mixrbv2	3
Bill Elliott's NASCAR Challenge (USA)	mixrbv2	3
Binary Land (Japan) (En)	mixrbv2	3
Bio Force Ape (USA) (Proto)	mixrbv2	3
Bio Miracle Bokutte Upa (Japan) (En)	mixrbv2	3
Bio Senshi Dan - Increaser Tono Tatakai (Japan)	mixrbv2	3
Bionic Commando (USA)	mixrbv2	3
Bird Week (Japan) (En)	mixrbv2	3
Black Bass, The (Japan)	mixrbv2	3
Black Bass, The (USA)	mixrbv2	3
Blades of Steel (USA)	mixrbv2	3
Blaster Master (USA)	mixrbv2	3
Block Out (USA) (Proto)	mixrbv2	3
Blodia Land - Puzzle Quest (Japan) (En)	mixrbv2	3
Bloody Warriors - Shan-Go no Gyakushuu (Japan)	mixrbv2	3
Blue Marlin, The (USA)	mixrbv2	3
Blues Brothers, The (USA)	mixrbv2	3
Bo Jackson Baseball (USA)	mixrbv2	3
Bokosuka Wars (Japan) (En)	mixrbv2	3
Bomberman (USA)	mixrbv2	3
Bomberman II (USA)	mixrbv2	3
Bonk's Adventure (USA)	mixrbv2	3
Booby Kids (Japan) (En)	mixrbv2	3
Boulder Dash (USA)	mixrbv2	3
Bram Stoker's Dracula (USA)	mixrbv2	3
Break Time - The National Pool Tour (USA)	mixrbv2	3
BreakThru (USA)	mixrbv2	3
Bubble Bobble (USA)	mixrbv2	3
Bubble Bobble Part 2 (USA)	mixrbv2	3
Bucky O'Hare (USA)	mixrbv2	3
Bugs Bunny Birthday Blowout, The (USA)	mixrbv2	3
Bugs Bunny Crazy Castle, The (USA)	mixrbv2	3
Bump 'n' Jump (USA)	mixrbv2	3
Burai Fighter (USA)	mixrbv2	3
BurgerTime (USA)	mixrbv2	3
Business Wars (Japan)	mixrbv2	3
Cabal (USA)	mixrbv2	3
Cadillac (Japan)	mixrbv2	3
Caesars Palace (USA)	mixrbv2	3
California Games (USA)	mixrbv2	3
California Raisins - The Grape Escape (USA) (Proto 1)	mixrbv2	3
Capcom's Gold Medal Challenge '92 (USA)	mixrbv2	3
Captain America and the Avengers (USA)	mixrbv2	3
Captain ED (Japan)	mixrbv2	3
Captain Planet and the Planeteers (USA)	mixrbv2	3
Captain Silver (Japan)	mixrbv2	3
Captain Skyhawk (USA)	mixrbv2	3
Captain Tsubasa II - Super Striker (Japan)	mixrbv2	3
Casino Derby (Japan)	mixrbv2	3
Casino Kid (USA)	mixrbv2	3
Casino Kid II (USA)	mixrbv2	3
Castelian (USA)	mixrbv2	3
Castle Quest (Japan)	mixrbv2	3
Castle of Dragon (USA)	mixrbv2	3
Castlequest (USA)	mixrbv2	3
Castlevania (World) (Konami Collector's Series)	mixrbv2	3
Castlevania II - Simon's Quest (World) (Konami Collector's Series)	mixrbv2	3
Castlevania III - Dracula's Curse (World) (Konami Collector's Series)	mixrbv2	3
Cat Ninden Teyandee (Japan)	mixrbv2	3
Caveman Games (USA)	mixrbv2	3
Chack'n Pop (Japan) (En)	mixrbv2	3
Challenger (Japan) (En)	mixrbv2	3
Championship Bowling (USA)	mixrbv2	3
Championship Lode Runner (Japan) (En)	mixrbv2	3
Championship Pool (USA)	mixrbv2	3
Championship Rally (Europe)	mixrbv2	3
Chaos World (Japan)	mixrbv2	3
Chessmaster, The (USA)	mixrbv2	3
Chester Field - Ankoku Shin e no Chousen (Japan)	mixrbv2	3
Chibi Maruko-chan - Uki Uki Shopping (Japan)	mixrbv2	3
Chiisana Obake - Acchi Socchi Kocchi (Japan) (En)	mixrbv2	3
Chip 'n Dale - Rescue Rangers (USA)	mixrbv2	3
Chip 'n Dale - Rescue Rangers 2 (USA)	mixrbv2	3
Chip's Challenge (USA) (Proto)	mixrbv2	3
Chiyonofuji no Ooichou (Japan)	mixrbv2	3
Choplifter (Japan) (En)	mixrbv2	3
Chou Fuyuu Yousai - Exed Exes (Japan) (En)	mixrbv2	3
Choujikuu Yousai - Macross (Japan) (En)	mixrbv2	3
Choujin Sentai - Jetman (Japan) (En)	mixrbv2	3
Chris Evert & Ivan Lendl in Top Players' Tennis (USA)	mixrbv2	3
Chubby Cherub (USA)	mixrbv2	3
Chuck Yeager's Fighter Combat (USA) (Proto)	mixrbv2	3
Chuugoku Janshi Story - Tonfuu (Japan)	mixrbv2	3
Chuugoku Senseijutsu (Japan)	mixrbv2	3
Chuuka Taisen (Japan)	mixrbv2	3
Circus Caper (USA)	mixrbv2	3
Circus Charlie (Japan) (En)	mixrbv2	3
City Adventure Touch - Mystery of Triangle (Japan)	mixrbv2	3
City Connection (USA)	mixrbv2	3
Clash at Demonhead (USA)	mixrbv2	3
Classic Concentration (USA)	mixrbv2	3
Cliffhanger (USA)	mixrbv2	3
Clu Clu Land (World)	mixrbv2	3
Cobra Command (USA)	mixrbv2	3
Cobra Triangle (USA)	mixrbv2	3
Cocoron (Japan)	mixrbv2	3
Code Name - Viper (USA)	mixrbv2	3
Color a Dinosaur (USA)	mixrbv2	3
Columbus - Ougon no Yoake (Japan)	mixrbv2	3
Commando (USA)	mixrbv2	3
Conan (USA)	mixrbv2	3
Conflict (USA)	mixrbv2	3
Conquest of the Crystal Palace (USA)	mixrbv2	3
Contra (World) (Konami Collector's Series)	mixrbv2	3
Contra Force (USA)	mixrbv2	3
Cool World (USA)	mixrbv2	3
Cosmic Epsilon (Japan) (Famicom 3D System)	mixrbv2	3
Cosmic Wars (Japan)	mixrbv2	3
Cosmo Police Galivan (Japan)	mixrbv2	3
Cowboy Kid (USA)	mixrbv2	3
Crackout (Europe)	mixrbv2	3
Crash 'n' the Boys - Street Challenge (USA)	mixrbv2	3
Crayon Shin-chan - Ora to Poi Poi (Japan)	mixrbv2	3
Crazy Climber (Japan) (En)	mixrbv2	3
Crisis Force (Japan) (En)	mixrbv2	3
CrossFire (Japan) (En)	mixrbv2	3
Crystalis (USA)	mixrbv2	3
Cyber Stadium Series - Base Wars (USA)	mixrbv2	3
Cyberball (USA)	mixrbv2	3
Cybernoid - The Fighting Machine (USA)	mixrbv2	3
Cycle Race - Road Man (Japan) (En)	mixrbv2	3
Dai-2-ji Super Robot Taisen (Japan)	mixrbv2	3
Daikaijuu Deburas (Japan)	mixrbv2	3
Daisenryaku (Japan)	mixrbv2	3
Daiva - Imperial of Nirsartia (Japan)	mixrbv2	3
Dance Aerobics (USA)	mixrbv2	3
Danny Sullivan's Indy Heat (USA)	mixrbv2	3
Dark Lord (Japan)	mixrbv2	3
Darkman (USA)	mixrbv2	3
Darkwing Duck (USA)	mixrbv2	3
Dash Galaxy in the Alien Asylum (USA)	mixrbv2	3
Data East All-Star Collection (USA) (Retro-Bit)	mixrbv2	3
David Crane's A Boy and His Blob - Trouble on Blobolonia (USA)	mixrbv2	3
Day Dreamin' Davey (USA)	mixrbv2	3
Days of Thunder (USA)	mixrbv2	3
De-Block (Japan)	mixrbv2	3
Deadly Towers (USA)	mixrbv2	3
Deep Dungeon III - Yuushi e no Tabi (Japan)	mixrbv2	3
Deep Dungeon IV - Kuro no Youjutsushi (Japan)	mixrbv2	3
Defender II (USA)	mixrbv2	3
Defender of the Crown (USA)	mixrbv2	3
Defenders of Dynatron City (USA)	mixrbv2	3
Deja Vu (USA)	mixrbv2	3
Demon Sword (USA)	mixrbv2	3
Derby Stallion - Zenkoku Ban (Japan)	mixrbv2	3
Desert Commander (USA)	mixrbv2	3
Destination Earthstar (USA)	mixrbv2	3
Destiny of an Emperor (USA)	mixrbv2	3
Devil Man (Japan)	mixrbv2	3
Devil World (Europe)	mixrbv2	3
Dick Tracy (USA)	mixrbv2	3
Die Hard (USA)	mixrbv2	3
Dig Dug (Japan) (En)	mixrbv2	3
Dig Dug II - Trouble in Paradise (USA)	mixrbv2	3
Digger T. Rock - The Legend of the Lost City (USA)	mixrbv2	3
Digital Devil Story - Megami Tensei (Japan)	mixrbv2	3
Digital Devil Story - Megami Tensei II (Japan)	mixrbv2	3
Dino Hockey (USA) (Proto 2)	mixrbv2	3
Dirty Harry (USA)	mixrbv2	3
Dokuganryuu Masamune (Japan)	mixrbv2	3
Don Doko Don (Japan)	mixrbv2	3
Don Doko Don 2 (Japan)	mixrbv2	3
Donald Land (Japan) (En)	mixrbv2	3
Donkey Kong (Japan) (En)	mixrbv2	3
Donkey Kong 3 (World)	mixrbv2	3
Donkey Kong Classics (USA, Europe)	mixrbv2	3
Donkey Kong Jr. (Japan) (En)	mixrbv2	3
Donkey Kong Jr. + Jr. Lesson (Japan) (En)	mixrbv2	3
Donkey Kong Jr. Math (USA, Europe)	mixrbv2	3
Door Door (Japan) (En)	mixrbv2	3
Doraemon (Japan)	mixrbv2	3
Doraemon - Giga Zombie no Gyakushuu (Japan)	mixrbv2	3
Double Dare (USA)	mixrbv2	3
Double Dragon (USA)	mixrbv2	3
Double Dragon II - The Revenge (USA)	mixrbv2	3
Double Dragon III - The Sacred Stones (USA)	mixrbv2	3
Double Dribble (USA)	mixrbv2	3
Double Moon Densetsu (Japan)	mixrbv2	3
Dough Boy (Japan) (En)	mixrbv2	3
Downtown - Nekketsu Koushinkyoku - Soreyuke Daiundoukai (Japan)	mixrbv2	3
Downtown Special - Kunio-kun no Jidaigeki Da yo Zenin Shuugou! (Japan)	mixrbv2	3
Dr. Chaos (USA)	mixrbv2	3
Dr. Jekyll and Mr. Hyde (USA)	mixrbv2	3
Dr. Mario (Japan, USA) (En)	mixrbv2	3
Drac's Night Out (USA) (Proto)	mixrbv2	3
Dragon Ball - Daimaou Fukkatsu (Japan)	mixrbv2	3
Dragon Ball 3 - Gokuu Den (Japan)	mixrbv2	3
Dragon Ball Z - Gekitou Tenkaichi Budoukai (Japan) (Datach)	mixrbv2	3
Dragon Ball Z - Kyoushuu! Saiya Jin (Japan)	mixrbv2	3
Dragon Ball Z Gaiden - Saiya Jin Zetsumetsu Keikaku (Japan)	mixrbv2	3
Dragon Ball Z II - Gekishin Freeza!! (Japan)	mixrbv2	3
Dragon Ball Z III - Ressen Jinzou Ningen (Japan)	mixrbv2	3
Dragon Buster (Japan) (En)	mixrbv2	3
Dragon Buster II - Yami no Fuuin (Japan) (En)	mixrbv2	3
Dragon Fighter (USA)	mixrbv2	3
Dragon Power (USA)	mixrbv2	3
Dragon Scroll - Yomigaerishi Maryuu (Japan)	mixrbv2	3
Dragon Spirit - The New Legend (USA)	mixrbv2	3
Dragon Warrior (USA)	mixrbv2	3
Dragon Warrior II (USA)	mixrbv2	3
Dragon Warrior III (USA)	mixrbv2	3
Dragon Warrior IV (USA)	mixrbv2	3
Dragon Wars (Japan)	mixrbv2	3
Dragon's Lair (USA)	mixrbv2	3
Dreamworld Pogie (USA, Europe) (Proto)	mixrbv2	3
Dropzone (Europe)	mixrbv2	3
Druaga no Tou (Japan)	mixrbv2	3
Duck Hunt (World)	mixrbv2	3
DuckTales (USA)	mixrbv2	3
DuckTales 2 (USA)	mixrbv2	3
Dungeon Kid (Japan)	mixrbv2	3
Dungeon Magic - Sword of the Elements (USA)	mixrbv2	3
Dusty Diamond's All-Star Softball (USA)	mixrbv2	3
Dynamite Bowl (Japan) (En)	mixrbv2	3
Dynowarz - The Destruction of Spondylus (USA)	mixrbv2	3
Eggerland - Meikyuu no Fukkatsu (Japan)	mixrbv2	3
Egypt (Japan)	mixrbv2	3
Elevator Action (USA)	mixrbv2	3
Eliminator Boat Duel (USA)	mixrbv2	3
Elite (Europe) (En,Fr,De)	mixrbv2	3
Elnark no Zaihou (Japan)	mixrbv2	3
Elysion (Japan)	mixrbv2	3
Emoyan no 10 Bai Pro Yakyuu (Japan)	mixrbv2	3
Empereur, L' (USA)	mixrbv2	3
Erika to Satoru no Yume Bouken (Japan)	mixrbv2	3
Esper Bouken Tai (Japan)	mixrbv2	3
Esper Dream 2 - Aratanaru Tatakai (Japan)	mixrbv2	3
Excitebike (Japan, USA) (En)	mixrbv2	3
Exciting Boxing (Japan) (En)	mixrbv2	3
Exerion (Japan) (En)	mixrbv2	3
Exploding Fist (World) (Digital)	mixrbv2	3
F-117A Stealth Fighter (USA)	mixrbv2	3
F-15 Strike Eagle (USA)	mixrbv2	3
F1 Circus (Japan)	mixrbv2	3
F1 Race (Japan) (En)	mixrbv2	3
Fairyland Story, The (Japan) (En) (Proto)	mixrbv2	3
Famicom Doubutsu Seitai Zukan! - Katte ni Shirokuma - Mori o Sukue no Maki! (Japan)	mixrbv2	3
Famicom Igo Nyuumon (Japan)	mixrbv2	3
Famicom Jump - Eiyuu Retsuden (Japan)	mixrbv2	3
Famicom Jump II - Saikyou no 7 Nin (Japan)	mixrbv2	3
Famicom Meijin Sen (Japan)	mixrbv2	3
Famicom Shougi - Ryuuousen (Japan)	mixrbv2	3
Famicom Top Management (Japan)	mixrbv2	3
Famicom Wars (Japan)	mixrbv2	3
Famicom Yakyuu Ban (Japan)	mixrbv2	3
Family BASIC (Japan)	mixrbv2	3
Family Circuit '91 (Japan) (En)	mixrbv2	3
Family Circuit (Japan)	mixrbv2	3
Family Feud (USA)	mixrbv2	3
Family Jockey (Japan)	mixrbv2	3
Family Mahjong (Japan)	mixrbv2	3
Family Mahjong II - Shanghai e no Michi (Japan)	mixrbv2	3
Family Quiz - 4-nin wa Rival (Japan)	mixrbv2	3
Family School (Japan)	mixrbv2	3
