#key	synopsis
'89 Dennou Kyuusei Uranai (Japan)	Dieses Spiel ist eine Simulation des Horoskops / Wahrsagens. Zu Beginn des Spiels geben Sie Ihren Namen ein und wählen dann Ihren Geburtstag und Ihr Geschlecht. Abhängig von Ihrer Wahl sehen Sie einen Planeten, der von nun an Ihr Schicksal regiert. Danach durchlaufen Sie eine Vielzahl von Menüs und Untermenüs, um mehr über Ihr Leben zu erfahren. Sie können herausfinden, was Sie im Allgemeinen im Leben erwartet, oder einfach ein genaues Datum eingeben und Ihr Horoskop dafür lesen. Sie können den Status Ihrer Gesundheit und Ihrer Glücksbringer überprüfen und herausfinden, was für eine Person Sie sind. Natürlich können Sie auch die Daten einer anderen Person hinzufügen und prüfen, ob die Möglichkeit einer romantischen Beziehung zwischen Ihnen beiden besteht.
10-Yard Fight (USA, Europe)	10-Yard Fight ist ein einfaches Arcade-Spiel, das auf American Football basiert. Ein Spieler kann gegen den Computer oder gegen einen anderen Spieler spielen und zwischen fünf Schwierigkeitsstufen wählen (High School, College, Pro, Playoffs und Super Bowl). Wenn Sie ein Spiel mit einem niedrigeren Schwierigkeitsgrad gewinnen, wird das folgende Spiel automatisch mit dem nächsthöheren Schwierigkeitsgrad gespielt. Das Spiel läuft von oben nach unten und vertikal. Es gibt keine Stücke oder Formationen, aus denen Sie auswählen können, bevor die Aktion beginnt. Der Spieler kann den Snap als Quarterback nehmen oder einen von zwei verteidigenden Spielern auswählen. In der Offensive kann der Spieler den Ball entweder auf der Flucht halten, ihn auf einen der beiden Rückläufe werfen oder lange auf den Empfänger werfen. Ein Abfangen übergibt den Ball an die andere Mannschaft. Wenn ein Touchdown nicht erzielt werden kann, kann das Trittsystem verwendet werden, um den Ball zu stoßen oder ein Feldtor zu erzielen. Ein Spiel besteht aus (in Echtzeit beschleunigten) 30-minütigen Spielhälften, um zu entscheiden, wer diesen 10-Yard-Kampf gewinnt.
1942 (Japan, USA) (En)	Ein Umbau des Arcade-Spiels von 1942 ist ein vertikal scrollender Shooter für ein oder zwei Spieler. Wir schreiben das Jahr 1942 und Sie sind ein mutiger Kampfpilot &quot;Super Ace&quot;. Sie beginnen und beenden jedes der zahlreichen Level auf einem Flugzeugträger und fliegen dann mit Ihrem Flugzeug über Meer und Land in den Kampf gegen den Feind. Nachdem Sie bestimmte Flugzeugformationen zerstört haben, können Sie verschiedene Power-Ups sammeln, um Ihre Feuerkraft und Überlebenschancen zu erhöhen.
1943 - The Battle of Midway (USA)	In der Fortsetzung von 1942, bei der es sich immer noch um einen vertikal scrollenden Shooter handelt, kämpft der Spieler während des Zweiten Weltkriegs erneut um die Wolken, diesmal in einem intensiven Kampf vor der Küste der Midway-Inseln. Zu den Weiterentwicklungen des Spiels gehört ein Energiebalken, der entweder durch einen Treffer durch ein ankommendes Feuer oder mithilfe einer speziellen Waffe heruntergefahren werden kann. Der Energiebalken kann durch Aufnehmen von Power-Ups wieder aufgefüllt werden, während spezielle Waffen (Blitz, Zyklone und Wellen) alle Kämpfer auf dem Bildschirm gleichzeitig niederschlagen können.
1999 - Hore, Mitakotoka! Seikimatsu (Japan)	Vier japanische Schüler geraten unerwartet in ein Abenteuer, als ein UFO landet und ein geheimnisvoller Außerirdischer das außergewöhnliche Jahr 1999 ankündigt. Spieler übernehmen die Rolle eines oder zweier Schüler im 2-Spieler-Modus und navigieren durch ein einzigartiges, kartenbasiertes Brettspiel. Verdienen Sie Geld, treffen Sie Entscheidungen und meistern Sie Ereignisse wie Unfälle, Romanzen oder Beförderungen, während Sie sich auf das bevorstehende Ende des Jahrhunderts vorbereiten. Minispiele, darunter Casino-Automaten, sorgen für zusätzliche Herausforderungen und Unterhaltung.
3-D WorldRunner (USA)	Irgendwo an einem Ort, der als Sonnensystem Nr. 517 bekannt ist, terrorisieren der böse Grax und seine Horde von Schlangenbestien die Menschen der acht Welten. Es wird ein Held benötigt, der rennen und zwischen Welten springen kann. Dieser Held ist der WorldRunner. 3-D WorldRunner ist ein 3rd-Person-Spiel indem sich der Spieler vorwärts und von Ihnen weg auf Bildschirm bewegt. Ihre einzige Fähigkeit ist die Fähigkeit zu springen. Springe über Löcher, Feinde und über Säulen. Bonusgegenstände liegen in der Luft, auf Säulen und auf dem Boden. Zusätzlich kann das Spiel mit einer 3D-Brille (im Originalkarton enthalten) in 3D angezeigt werden.
4 Nin Uchi Mahjong (Japan)	Dies ist ein generisches und sehr primitives Mahjong-Spiel. Es ist Nintendos zweites Mahjong-Spiel für das Famicom. Dieses Spiel hat kleinere Kacheln als das erste, aber es erlaubt den Spielern, gegen drei Computergegner anstatt gegen einen zu spielen. Beide Spiele wurden mit einem einzigen 16-KByte-PROM und einem 8-KByte-CHROM erstellt und verwenden daher keine speziellen Mapper-Chips.
720 Degrees (USA)	Sie sind ein Skateboarder in Skate City, einem der größten Skateparks, die je gebaut wurden. Fahren Sie Ollies von Rampen, grinden Sie auf Rails und weichen Sie Fußgängern aus, während Sie Tricks ausführen. Besuchen Sie die im Park verstreuten Skate-Shops, um Ihre Ausrüstung aufzurüsten und Ihre Fähigkeiten zu verbessern. Nimm an Wettbewerben teil, um Medaillen und Geld zu verdienen, das du in den Shops einlösen kannst. Aber wenn du nicht rechtzeitig zu einem Wettbewerb kommst, erscheint die berüchtigte &quot;Skate Or Die&quot;-Nachricht, und dann musst du dich beeilen!
8 Eyes (World) (Digital)	8 Eyes erzählt die Abenteuer von Orin, dem Falkner, der 8 verschiedene Häuser in 8 verschiedenen Ländern besuchen und 8 verschiedene Wächter besiegen muss, um 8 verschiedene Juwelen, genannt Augen, zu sammeln. Es ist ein seitlich scrollendes Action/Adventure-Spiel, in dem die Hauptfigur mit einem Schwert mit etwas begrenzter Reichweite angreifen kann. Das ist jedoch nicht das mächtigste Werkzeug, das ihm zur Verfügung steht - Orin hat auch seinen treuen Falken, den er durch den Raum schicken kann, um Gegner anzugreifen oder Fernschalter auszulösen. Im Einzelspielermodus steuert der Spieler sowohl den Falkner als auch den Falken. Das Spiel bietet jedoch auch einen kooperativen Modus, in dem der erste Spieler Orin steuert und der zweite Spieler seinen Falken in einem Modus, der größere Flugfähigkeiten bietet.
A Ressha de Ikou (Japan)	A Ressha de Ikou ist ein Aufbausimulationsspiel. Der Titel bedeutet übersetzt &quot;Lass uns den A-Zug nehmen&quot;. Die Spieler müssen die ihnen zur Verfügung stehenden Ressourcen nutzen, um ein belebtes Eisenbahnzentrum zu errichten und dabei ihren Gewinn zu steigern.
