#key	synopsis
'89 Dennou Kyuusei Uranai (Japan)	Este juego es una simulación de horóscopo / adivinación. Al comienzo del juego, ingresa su nombre, luego elige su cumpleaños y sexo. Dependiendo de tu elección, verás un planeta que rige tu destino de ahora en adelante. Después de eso, vas a través de una variedad de menús y submenús para aprender sobre tu vida. Puedes descubrir lo que generalmente te espera en la vida o simplemente ingresar una fecha exacta y leer su horóscopo. Puedes consultar el estado de tu salud y tus artículos de la suerte, así como aprender qué tipo de persona eres. Naturalmente, también puedes agregar los datos de otra persona y ver si existe la posibilidad de una relación romántica entre ustedes dos.
10-Yard Fight (USA, Europe)	10-Yard Fight es un juego arcade de fútbol americano. El jugador puede enfrentarse a la computadora o a otro jugador en encuentros uno contra uno, eligiendo entre cinco niveles de dificultad: High School, College, Pro, Playoffs y Super Bowl. Al ganar un partido en un nivel bajo, el siguiente juego se juega en una dificultad mayor. La jugabilidad se desarrolla en desplazamiento vertical, sin selección de jugadas o alineaciones. El jugador controla al portador del balón en ataque, pudiendo correr, pasar a un compañero o lanzar un pase largo. Si el pase es interceptado, la ofensiva pierde la posesión. Si no se logra un touchdown, se puede optar por un intento de gol de campo. Cada partida dura dos mitades de 30 minutos con tiempo acelerado. El objetivo es superar al rival en estrategia y precisión para alcanzar la victoria.
1942 (Japan, USA) (En)	1942 es shoot 'em up desarrollado por Capcom que fue lanzado para máquinas recreativas en 1984. Fue el primer juego de la serie 19XX. La serie siguió posteriormente con &quot;1943: The Battle of Midway&quot;. 1942 se ambienta en la Guerra del Pacífico, que enfrentó a los Estados Unidos con Japón durante la Segunda Guerra Mundial. Pilotas un P-38 Lightning del ejército americano y tienes que derribar un máximo de aviones enemigos decididos a acabar con tu incursión. Tu objetivo final, tras atravesar varias localizaciones a lo largo de 32 intensos niveles, es llegar a Okinawa para asestar un golpe mortal a la moral del Imperio del Sol Naciente.
1943 - The Battle of Midway (USA)	Secuela de 1942 nos sitúa en 1943 durante las batallas en las costas de las islas de Midway en plena II Guerra Mundial. En cada fase empezaremos en los cielos enfrentándonos a las fuerzas aéreas japonesas, tras lo cual volaremos a casi el nivel del mar contra los navíos enemigos, ademas de poder recoger items para restaurar la energía y armas especiales.
1999 - Hore, Mitakotoka! Seikimatsu (Japan)	Cuatro estudiantes japoneses de secundaria estaban acampando en el campo, cuando de repente vieron a un ovni aterrizando cerca. Antes de que pudieran comprender algo, un pequeño extraterrestre rosado con una cara de aspecto estricto salió de la nave espacial y anunció que se acercaba el fin de siglo, y que ocurrirá algo extraordinario en el año 1999. Ahí es donde comienza el juego. Puedes jugar como uno (o dos, en modo de 2 jugadores) de los estudiantes, compitiendo contra los demás. Debe prepararse para el próximo fin de siglo, ganar suficiente dinero y, en general, administrar bien su vida. Este es un juego de mesa parecido a un monopolio, solo en lugar de dados usas cartas. Los personajes están representados por pequeños coches en un mapa de la ciudad. El número que aparece en la tarjeta que sacas de la baraja representa la cantidad de cuadrados que tu auto puede mover en el mapa. Cada cuadro lleva a un evento diferente: accidente, reunión romántica, promoción, etc. Algunos de los eventos le permiten hacer una elección adicional. Por ejemplo, si aterriza en un casino, se le preguntará si desea apostar. Responder &quot;sí&quot; conducirá a un mini-juego de tragamonedas.
3-D WorldRunner (USA)	Este fue el primer juego que SQUARE desarrollo para America en 1987, pero el que lo publico fue Acclaim Entertainment, Inc; la cosa es, que para todas las personas que aman Final Fantasy este juego deberia de ser un tesoro, ya que con los ingresos que genero este juego, SQUARE se salvo de la banca rota y contrato aHironobu Sakaguchi, un wey que mas adelante hiciera el proyecto mas grande de SQUARE Final Fantasy en 1988
4 Nin Uchi Mahjong (Japan)	Este es un juego de mahjong genérico y muy primitivo. Es el segundo juego de mahjong de Nintendo creado para la Famicom, y el primero titulado simplemente Mahjong. Este juego tiene fichas más pequeñas que la primera, pero permite a las personas jugar contra tres oponentes de la computadora en lugar de uno. Ambos juegos están hechos con una sola PROM de 16kbyte y CHROM de 8kbyte, por lo que no utilizan ningún chip de mapeador especial.
720 Degrees (USA)	Tú eres un skater en Skate City, uno de los mayores parques de patinaje jamás construido. Visita las tiendas de skate repartidas por todo el parque para mejorar tu equipo y mejorar tus habilidades. Participa en concursos para ganar medallas y dinero en efectivo para usar en las tiendas. Pero, si no se llega a un concurso a tiempo, El mensaje &quot;Skate or Die&quot; aparece, y entonces tienes que darte prisa!
8 Eyes (World) (Digital)	Bienvenidos todos al mundo del futuro. Un futuro muy lejano, separado cientos de años de nuestra epoca, y lo que encontramos no es precisamente lo que nos cuentan las películas de ciencia ficción, o eso es más o menos lo que nos intentan decir con 8 eyes, un juego ambientado en nuestro planeta pero cientos y cientos de años después, tras haber sido devastado por guerras y demás desastres, en el que los humanos están tratando de salir a flote tras cientos de años de penurias... pero como ya se sabe, el instinto humano consiste siempre en conseguir el máximo poder, y cuando las cosas están más turbias, mejor es el momento para apoderarse de todo; y así aparecieron las fuerzas del mal. Encarnaremos a un héroe de carne y hueso que deberá encontrar la forma de conseguir que el mundo pueda subsistir sin la tiranía de los poderes del mal.
A Ressha de Ikou (Japan)	A Ressha de Ikou es un juego de simulación de construcción. El título se traduce como &quot;Tomemos el tren A&quot;. Los jugadores deben usar los recursos disponibles para crear un bullicioso centro ferroviario y aumentar sus ganancias a medida que avanzan.
