#key	synopsis
'89 Dennou Kyuusei Uranai (Japan)	Este jogo é uma simulador de horóscopo / previsão do futuro. No começo do jogo você digita seu nome, sua data de nascimento e sexo. Dependendo da sua escolha, você verá o planeta que governa seu destino a partir de agora. Depois disso, você passa por uma variedade de menus e submenus para aprender sobre sua vida. Você pode descobrir o que a vida te reserva ou apenas digitar uma data exata e ler o seu horóscopo. Você pode conferir o status de sua saúde e seus itens de sorte, bem como saber que tipo de pessoa você é. Você também pode acrescentar os dados de outra pessoa e ver se existe a possibilidade de um relacionamento romântico entre vocês dois.
10-Yard Fight (USA, Europe)	10-Yard Fight é um simples jogo de arcade baseado em futebol americano. Um jogador pode jogar contra o computador ou contra um segundo jogador e pode escolher entre cinco níveis de dificuldade (ensino médio, faculdade, profissional, playoffs e Super Bowl). Se você vencer um jogo em um nível de dificuldade mais baixo, a partida seguinte automaticamente será no próximo nível de difivuldade. A jogabilidade é de cima e de rolagem vertical. Não há jogadas ou formações para selecionar antes da ação começar; o jogador pode pegar o Snap como Quarterback ou escolher um dos dois jogadores na defesa. Na ofensiva, o jogador pode manter a bola em movimento, arremessá-la para um dos dois Running Backs ou fazer um arremesso para receptor; uma interceptação dá a bola para o outro time. Se um touchdown não puder ser marcado, o sistema de chute direcional pode ser usado para chutar a bola ou tentar um Field Goal. Um jogo consiste (em tempo real acelerado) de 30 minutos de partida para decidir quem vence esta luta de 10 jardas.
1942 (Japan, USA) (En)	Uma conversão do jogo de arcade, 1942 é um shooter de rolagem vertical para um ou dois jogadores. O ano é 1942 e você é um ousado piloto de caça &quot;Super Ace&quot;. Você começa e termina cada um dos vários níveis em um porta-aviões e, em seguida, decola para a batalha sobre terra e mar. Depois de destruir certas formações de aviões inimigos, você pode coletar diferentes power-ups para aumentar seu poder de fogo e suas chances de sobrevivência.
1943 - The Battle of Midway (USA)	A sequência de 1942, que ainda é um shooter vertical, faz o jogador mais uma vez lutar nas nuvens durante a segunda guerra mundial, desta vez em uma intensa batalha perto da costa das ilhas Midway. Essa nova versão inclui uma barra de energia, que diminui quando o jogador é atingido ou por usar uma arma especial. A barra de energia pode ser reabastecida com power-ups, enquanto armas especiais (raios, ciclones e ondas) podem derrubar todos os oponentes na tela.
1999 - Hore, Mitakotoka! Seikimatsu (Japan)	1999: Hore, Mitakotoka! Seikimatsu é um jogo de plataforma inspirado no jogo de tabuleiro de mesmo nome. No jogo, nós nos movemos em uma cidade dentro de um tabuleiro de jogo. Para avançar, você usa cartas que lhe dão o número de quadrados que você pode andar. Cada quadrado leva a um evento diferente: acidente, encontro romântico, promoção, etc. Alguns dos eventos permitem que você faça uma escolha adicional.
3-D WorldRunner (USA)	Em algum lugar em um lugar conhecido como Sistema Solar #517, o malvado Grax e sua horda de Serpentbeasts estão aterrorizando os povos dos oito mundos. É necessário um herói que possa correr e saltar. Saltar entre mundos, na verdade. Esse herói é o WorldRunner. 3-D WorldRunner é um jogo de terceira pessoa. Sua única habilidade é a capacidade de pular. Salte buracos, inimigos e em cima de colunas. Itens bônus são encontrados no ar, em cima de colunas e no chão. Além disso, o jogo é visível em 3-D com um par de óculos 3-D (incluídos na caixa original).
4 Nin Uchi Mahjong (Japan)	Esse é uma versão genérica e bem primitiva de Mahjong. É o segundo jogo Mahjong da Nintendo feita para o NES (o primeiro titulo era apenas Mahjong). Esse jogo tem peças menores que a primeira mas permite jogar contra três oponentes controlados pelo computador ao invés de apenas um.
720 Degrees (USA)	Você é um skatista em Skate City, um dos maiores skateparks já construídos. Faça manobras radicais e desvie de pedestres. Visite lojas de skate espalhadas pelo parque para melhorar o seu equipamento e melhorar suas habilidades. Participe de competições para ganhar medalhas e dinheiro para usar nas lojas. Mas se você não chegar na competição a tempo, a mensagem &quot;Skate Or Die&quot; aparece!
8 Eyes (World) (Digital)	8 Eyes narra as aventuras de Orin, o falcoeiro, que deve visitar oito casas em oito terras diferentes e derrotar seus oito guardiões, a fim de coletar oito joias chamadas olhos. É um jogo de ação / aventura de rolagem lateral onde o personagem principal pode atacar com uma espada de alcance um pouco limitado. No entanto, essa não é a ferramenta mais poderosa à sua disposição - Orin também tem seu fiel falcão que ele pode mandar atacar inimigos ou acionar alavancas. No modo single-player, o jogador controla tanto o falcoeiro quanto o falcão. No entanto, o jogo também oferece um modo cooperativo onde o primeiro jogador controla Orin e o segundo jogador controla seu falcão em um modo que oferece maior capacidade de voo.
A Ressha de Ikou (Japan)	Um Ressha de Ikou é um jogo de construção de simulação. O título se traduz em &quot;Vamos pegar o A-Train&quot;. Os jogadores devem usar os recursos disponíveis para eles, a fim de criar um centro ferroviário movimentado e aumentar seus lucros à medida que vão.
