#key	name	year	genre	developer	players
'96 Zenkoku Koukou Soccer Senshuken (Japan)	'96 Zenkoku Koukou Soccer Senshuken	1996	Sports / Football (Soccer)/Sports	Magical Company	1-2
3 Ninjas Kick Back (USA)	3 Ninjas Kick Back	1994	Platform	Malibu Games	1-2
3x3 Eyes - Juuma Houkan (Japan)	3x3 Eyes : Juuma Houkan	1995	Adventure	Banpresto	1-2
3x3 Eyes - Seima Kourinden (Japan)	3x3 Eyes : Seima Kourinden	1992	Role Playing Game	Nova Games	1-2
4-nin Shougi (Japan)	4 Nin Shogi	1995	Shougi/Asiatic board game	Pow	1-4
7th Saga, The (USA)	The 7th Saga	1993	Role Playing Game	Produce	1
90 Minutes - European Prime Goal (Europe)	90 Minutes : European Prime Goal	1995	Sports / Football (Soccer)/Sports	Ocean	1-2
A.S.P. - Air Strike Patrol (USA)	A.S.P. : Air Strike Patrol	1995	Shooter	Opus	1
Aaahh!!! Real Monsters (USA)	Aaahh!!! Real Monsters	1995	Platform	Realtime Associates	1
ABC Monday Night Football (USA)	ABC Monday Night Football	1993	Sports / Football (American)/Sports	Data East	1-2
Accele Brid (Japan)	Accele Brid	1993	Shooter	Tomy	1-2
Ace o Nerae! (Japan)	Ace o Nerae!	1993	Sports / Tennis/Sports	Telenet	1-2
ACME Animation Factory (USA)	ACME Animation Factory	1994	Educational	Probe Software	1-2
Acrobat Mission (Japan) (En)	Acrobat Mission	1992	Shoot'em Up	UPL	1-2
Action Pachio (Japan)	Action Pachio	1993	Platform	C-Lab	1
ActRaiser (USA)	ActRaiser	1991	Platform	Quintet	1
ActRaiser 2 (USA)	ActRaiser 2	1993	Platform / Fighter Scrolling/Platform	Quintet	1
Addams Family Values (USA) (En,Fr,De)	Addams Family Values	1995	Adventure	Ocean	1
Addams Family, The (USA)	The Addams Family	1992	Platform	Ocean	1
Addams Family, The - Pugsley's Scavenger Hunt (USA)	The Addams Family : Pugsley's Scavenger Hunt	1993	Platform	Ocean	1
Advanced Dungeons & Dragons - Eye of the Beholder (USA)	Eye of the Beholder	1994	Dungeon Crawler RPG/Role Playing Game	Capcom	1
Adventures of Batman & Robin, The (USA)	The Adventures of Batman & Robin	1994	Platform	Konami	1
Adventures of Dr. Franken, The (USA)	The Adventures of Dr. Franken	1993	Platform	Motivetime	1
Adventures of Rocky and Bullwinkle and Friends, The (USA)	The Adventures of Rocky and Bullwinkle and Friends	1993	Platform	Imagineer	1
Adventures of Yogi Bear (USA)	Adventures of Yogi Bear	1994	Platform	Blue Turtle	1
Aero Fighters (USA)	Aero Fighters	1994	Shoot'em Up / Vertical/Shoot'em Up	Video System	1-2
Aero the Acro-Bat (World) (Evercade)	Aero the Acro-Bat	1993	Platform	Iguana Entertainment	1
Aero the Acro-Bat 2 (USA)	Aero the Acro-Bat 2	1994	Platform	Iguana Entertainment	1
Aerobiz (USA)	Aerobiz	1993	Build And Management/Simulation	Koei	1-4
Aerobiz Supersonic (USA)	Aerobiz Supersonic	1994	Build And Management/Simulation	Koei	1-4
AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan)	AIII S.V. : A Ressha de Ikou 3, Super Version	1995	Build And Management/Simulation	Artdink	1
Air Cavalry (USA)	Air Cavalry	1995	Shooter	Synergistic Software	1-2
Akagawa Jirou - Majo-tachi no Nemuri (Japan)	Akagawa Jirou : Majotachi no Nemuri	1995	Adventure	Minato Giken	1
Akazukin Chacha (Japan)	Akazukin Chacha	1996	Role Playing Game	Landwarf	1
Al Unser Jr.'s Road to the Top (USA)	Al Unser Jr.'s Road to the Top	1994	Racing, Driving	Radical Entertainment	1-2
Aladdin (World) (Disney Classic Games)	Disney's Aladdin	1993	Platform	Disney Interactive Studios	1
Albert Odyssey (Japan)	Albert Odyssey	1993	Tactical RPG/Role Playing Game	Tokai Engineering	1-2
Albert Odyssey 2 - Jashin no Taidou (Japan)	Albert Odyssey 2 : Jashin no Taidou	1994	Role Playing Game	Sunsoft	1
Alcahest (Japan)	Alcahest	1993	Role Playing Game	HAL Laboratory	1-2
Alice no Paint Adventure (Japan)	Alice no Paint Adventure	1995	Educational	SAS Sakata	1
Alien 3 (USA)	Alien 3	1993	Platform	Probe Software	1
Alien vs Predator (USA)	Alien Versus Predator	1993	Beat'em Up	Jorudan	1-2
Amazing Spider-Man, The - Lethal Foes (Japan)	The Amazing Spider-Man : Lethal Foes	1995	Platform	Agenda	1-2
America Oudan Ultra Quiz (Japan)	America Oudan Ultra Quiz	1992	Quiz	Genki	1-2
American Battle Dome (Japan)	American Battle Dome	1995	Pinball	Betop	1-2
American Gladiators (USA)	American Gladiators	1993	Sports / Wrestling/Sports	Imagitec Design	1-2
American Tail, An - Fievel Goes West (USA)	An American Tail : Fievel Goes West	1994	Platform	Shimada Kikaku	1
Ancient Magic - Bazoe! Mahou Sekai (Japan)	Ancient Magic: Bazoe! Mahou Sekai	1993	Role Playing Game	Hot-B	1
Andre Agassi Tennis (USA)	Andre Agassi Tennis	1993	Sports / Tennis/Sports	Radiance Software	1-2
Angelique (Japan)	Angelique	1994	Role Playing Game	Koei	1
Animaniacs (USA)	Animaniacs	1994	Platform	Konami	1
Aoki Densetsu Shoot! (Japan)	Aoki Densetsu Shoot!	1994	Sports / Football (Soccer)/Sports	KSS	1
Appleseed - Prometheus no Shintaku (Japan)	Appleseed : Prometheus no Shintaku	1994	Platform	Kan's	1
Arabian Nights - Sabaku no Seirei Ou (Japan)	Arabian Nights : Sabaku no Seirei-o	1996	Role Playing Game	Pandora Box	1
Araiguma Rascal (Japan)	Araiguma Rascal	1994	Puzzle	Nippon Computer Systems (NCS)	1-2
Arcade's Greatest Hits - The Atari Collection 1 (USA)	Arcade's Greatest Hits : The Atari Collection 1	1997	Compilation	Digital Eclipse	1-2
Arcana (USA)	Arcana	1992	Role Playing Game	HAL Laboratory	1
Archer Maclean's Super Dropzone (Europe)	Archer MacLean's Super Dropzone	1995	Shoot'em Up	Eurocom	1-4
Arcus Spirits (Japan)	Arcus Spirits	1993	Role Playing Game	Wolf Team	1-2
Ardy Lightfoot (USA)	Ardy Lightfoot	1994	Platform	ASCII	1
Aretha (Japan)	Aretha	1993	Role Playing Game	Japan Art Media	1
Aretha II - Ariel no Fushigi na Tabi (Japan)	Aretha II : Ariel No Fushigi Na Tabi	1994	Role Playing Game	Yanoman Games	1
Arkanoid - Doh It Again (USA)	Arkanoid : Doh It Again	1997	Action / Breakout games/Action	Taito	1-2
Armored Police - Metal Jack (Japan)	Kikou Keisatsu Metal Jack	1992	Beat'em Up	Atlus	1
Art of Fighting (USA)	Art of Fighting	1993	Fighting / Versus/Fighting	SNK	1-2
Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu (Japan)	Asahi Shimbun Rensai : Katou Hifumi Kudan Shogi Shingiryuu	1995	Shougi/Asiatic board game	Varie	1-2
Asameshimae Nyanko (Japan)	Asameshimae Nyanko	1994	Strategy	Zamuse	1-2
Ashita no Joe (Japan)	Ashita no Joe	1992	Fighting	Wave	1-2
Asterix & Obelix (Europe) (En,Fr,De,Es)	Astérix & Obélix	1995	Platform	Infogrames	1-2
Asterix (Europe) (En,Fr,De,Es)	Astérix	1993	Platform	Infogrames	1-2
Atlas, The - Renaissance Voyager (Japan)	The Atlas : Renaissance Voyager	1995	Strategy	Artdink	1
Atmosfear (USA) (Proto)	Atmosfear	1994	Platform	Beam Software	1
Axelay (USA)	Axelay	1992	Shoot'em Up	Konami	1
B.O.B. (USA)	B.O.B.	1993	Platform	Gray Matter	1
Bahamut Lagoon (Japan)	Bahamut Lagoon	1996	Role Playing Game	Squaresoft	1
Bakukyuu Renpatsu!! Super B-Daman (Japan)	Bakukyuu Renpatsu!! Super B-Daman	1997	Puzzle	Amble	1-2
Bakumatsu Kourinden Oni (Japan)	Bakumatsu Kourinden Oni	1996	Role Playing Game	Pandora Box	1
Bakutou Dochers - Bumps-jima wa Oosawagi (Japan)	Bakutou Dochers : Bumps-jima wa Oosawagi	1994	Strategy/Action / Labyrinth/Action	Genki	1-4
Ball Bullet Gun (Japan)	Ball Bullet Gun : Survival Game Simulation	1995	Simulation/Strategy	Betop	1-2
Ballz 3D - Fighting at Its Ballziest (USA)	Ballz 3D	1994	Fighting	Cave Logic Studios	1-2
Barbarossa (Japan)	Barbarossa	1992	Strategy	SystemSoft	1
Barbie - Super Model (USA)	Barbie : Super Model	1993	Adventure	Software Creations	1
Barbie - Vacation Adventure (USA) (Proto)	Barbie Vacation Adventure	1994	Adventure	Software Creations	1-2
Barkley Shut Up and Jam! (USA)	Barkley : Shut Up and Jam!	1994	Sports / Basketball/Sports	Accolade	1-4
BASS Masters Classic (USA)	Bass Masters Classic	1995	Fishing/Hunting and Fishing	Black Pearl Software	1
BASS Masters Classic - Pro Edition (USA)	Bass Masters Classic : Pro Edition	1995	Fishing/Hunting and Fishing	Black Pearl Software	1
Bassin's Black Bass (USA)	Bassin's Black Bass	1994	Fishing/Hunting and Fishing	Starfish	1
Bastard!! - Ankoku no Hakaishin (Japan)	Bastard!! : Ankoku no Hakaishin	1994	Fighting	Cobra Team	1-2
Batman (USA) (Proto)	Batman	1999	Beat'em Up	Software Creations	1
Batman - Revenge of the Joker (USA) (Proto)	Batman : Revenge of the Joker	1991	Platform	Ringler	1
Batman Forever (USA)	Batman Forever	1995	Beat'em Up	Probe Software	1-2
Batman Returns (USA)	Batman Returns	1993	Beat'em Up	Konami	1
Battle Blaze (USA)	Battle Blaze	1993	Fighting	Aircom	1-2
Battle Cars (World) (Evercade)	Battle Cars	1993	Racing, Driving	Malibu	1-2
Battle Clash (USA)	Battle Clash	1992	Lightgun Shooter	Nintendo	1-2
Battle Commander - Hachibushuu, Shura no Heihou (Japan)	Battle Commander : Hachibushu Shura no Heihou	1991	Strategy	Arc System Works	1
Battle Cross (Japan)	Battle Cross	1994	Racing, Driving	A-Max	1-5
Battle Dodge Ball (Japan)	Battle Dodge Ball	1991	Sports / Dodgeball/Sports	Banpresto	1-2
Battle Dodge Ball II (Japan)	Battle Dodge Ball II	1993	Sports / Dodgeball/Sports	Banpresto	1-2
Battle Grand Prix (USA)	Battle Grand Prix	1993	Racing, Driving	Naxat Soft	1-2
Battle Jockey (Japan)	Battle Jockey	1994	Sports with animals/Horse racing	Nova Games	1-4
Battle Master - Kyuukyoku no Senshi-tachi (Japan)	Battle Master : Kyuukyoku no Senshi-tachi	1993	Fighting	System Vision	1-2
Battle Pinball (Japan)	Battle Pinball	1995	Pinball	Banpresto	1
Battle Racers (Japan)	Battle Racers	1995	Racing, Driving	Minato Giken	1-2
Battle Robot Retsuden (Japan)	Battle Robot Retsuden	1995	Strategy	Winky Soft	1
Battle Soccer - Field no Hasha (Japan)	Battle Soccer : Field no Hasha	1992	Sports / Football (Soccer)/Sports	Pandora Box	1-2
Battle Soccer 2 (Japan)	Battle Soccer 2	1994	Sports / Football (Soccer)/Sports	Pandora Box	1-2
Battle Submarine (Japan)	Battle Submarine	1995	Simulation	Office Koukan	1
Battle Tycoon - Flash Hiders SFX (Japan)	Battle Tycoon : Flash Hiders SFX	1995	Fighting	Right Stuff	1-2
Battle Zeque Den (Japan)	Battle Zeque Den	1994	Beat'em Up	Arsys Software	1
Battletoads in Battlemaniacs (USA)	Battletoads in Battlemaniacs	1993	Beat'em Up	Rareware	1-2
Battletoads-Double Dragon (USA)	Battletoads & Double Dragon	1993	Beat'em Up	Rareware	1-2
Bazooka Blitzkrieg (USA)	Bazooka Blitzkrieg	1992	Lightgun Shooter	TOSE	1
Beauty and the Beast (USA)	Beauty and the Beast	1994	Platform	Hudson Soft	1
Beavis and Butt-Head (USA)	Beavis and Butt-Head	1994	Platform	Realtime Associates	1-2
