#name	crc	size	key
'96 Zenkoku Koukou Soccer Senshuken (Japan)	05fbb855	1572864	'96 Zenkoku Koukou Soccer Senshuken (Japan)
2020 Super Baseball (Japan)	e95a3dd7	1572864	Super Baseball 2020 (USA)
3 Ninjas Kick Back (USA)	f2ee11f9	2097152	3 Ninjas Kick Back (USA)
3-jigen Kakutou Ballz (Japan) (En)	f0810694	1048576	Ballz 3D - Fighting at Its Ballziest (USA)
3-jigen Kakutou Ballz (Japan) (En) (Sample)	fff8c139	1048576	Ballz 3D - Fighting at Its Ballziest (USA)
3x3 Eyes - Juuma Houkan (Japan)	ad4ad163	2097152	3x3 Eyes - Juuma Houkan (Japan)
3x3 Eyes - Seima Kourinden (Japan)	fbf3c0ff	1048576	3x3 Eyes - Seima Kourinden (Japan)
4-nin Shougi (Japan)	9008c18a	524288	4-nin Shougi (Japan)
46 Okunen Monogatari - Harukanaru Eden e (Japan)	b090235a	1572864	E.V.O. - Search for Eden (USA)
7th Saga, The (USA)	b3abdde6	1572864	7th Saga, The (USA)
90 Minutes - European Prime Goal (Europe)	1ad61bd0	2097152	90 Minutes - European Prime Goal (Europe)
90 Minutes - European Prime Goal (Europe) (Beta)	1bc71881	2097152	90 Minutes - European Prime Goal (Europe)
A.S.P. - Air Strike Patrol (USA)	05c0da54	1048576	A.S.P. - Air Strike Patrol (USA)
ABC Monday Night Football (Japan)	24d4cfe9	1048576	ABC Monday Night Football (USA)
ABC Monday Night Football (USA)	e0dc8ad7	1048576	ABC Monday Night Football (USA)
ACME Animation Factory (Europe)	aad3a72d	1048576	ACME Animation Factory (USA)
ACME Animation Factory (USA)	0944a5c3	1048576	ACME Animation Factory (USA)
AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan)	f953b79a	2097152	AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan)
Aaahh!!! Real Monsters (Europe)	946313fb	2097152	Aaahh!!! Real Monsters (USA)
Aaahh!!! Real Monsters (USA)	27ff5ba1	2097152	Aaahh!!! Real Monsters (USA)
Accele Brid (Japan)	4a736c38	2097152	Accele Brid (Japan)
Ace o Nerae! (Japan)	6c5f1a18	1048576	Ace o Nerae! (Japan)
Acrobat Mission (Japan) (En)	0da18a10	1048576	Acrobat Mission (Japan) (En)
ActRaiser (Europe)	09097b2b	1048576	ActRaiser (USA)
ActRaiser (France)	a27e2664	1048576	ActRaiser (USA)
