#key	style	ss_system_id
'96 Zenkoku Koukou Soccer Senshuken (Japan)	box-2D	4
3 Ninjas Kick Back (USA)	box-2D	4
3x3 Eyes - Juuma Houkan (Japan)	box-2D	4
3x3 Eyes - Seima Kourinden (Japan)	box-2D	4
4-nin Shougi (Japan)	box-2D	4
7th Saga, The (USA)	box-2D	4
90 Minutes - European Prime Goal (Europe)	box-2D	4
A.S.P. - Air Strike Patrol (USA)	box-2D	4
ABC Monday Night Football (USA)	box-2D	4
ACME Animation Factory (USA)	box-2D	4
AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan)	box-2D	4
Aaahh!!! Real Monsters (USA)	box-2D	4
Accele Brid (Japan)	box-2D	4
Ace o Nerae! (Japan)	box-2D	4
Acrobat Mission (Japan) (En)	box-2D	4
ActRaiser (USA)	box-2D	4
ActRaiser 2 (USA)	box-2D	4
Action Pachio (Japan)	box-2D	4
Addams Family Values (USA) (En,Fr,De)	box-2D	4
Addams Family, The (USA)	box-2D	4
Addams Family, The - Pugsley's Scavenger Hunt (USA)	box-2D	4
Advanced Dungeons & Dragons - Eye of the Beholder (USA)	box-2D	4
Adventures of Batman & Robin, The (USA)	box-2D	4
Adventures of Dr. Franken, The (USA)	box-2D	4
Adventures of Rocky and Bullwinkle and Friends, The (USA)	box-2D	4
Adventures of Yogi Bear (USA)	box-2D	4
Aero Fighters (USA)	box-2D	4
Aero the Acro-Bat (World) (Evercade)	box-2D	4
Aero the Acro-Bat 2 (USA)	box-2D	4
Aerobiz (USA)	box-2D	4
Aerobiz Supersonic (USA)	box-2D	4
Air Cavalry (USA)	box-2D	4
Akagawa Jirou - Majo-tachi no Nemuri (Japan)	box-2D	4
Akazukin Chacha (Japan)	box-2D	4
Al Unser Jr.'s Road to the Top (USA)	box-2D	4
Aladdin (World) (Disney Classic Games)	box-2D	4
Albert Odyssey (Japan)	box-2D	4
Albert Odyssey 2 - Jashin no Taidou (Japan)	box-2D	4
Alcahest (Japan)	box-2D	4
Alice no Paint Adventure (Japan)	box-2D	4
Alien 3 (USA)	box-2D	4
Alien vs Predator (USA)	box-2D	4
Amazing Spider-Man, The - Lethal Foes (Japan)	box-2D	4
America Oudan Ultra Quiz (Japan)	box-2D	4
American Battle Dome (Japan)	box-2D	4
American Gladiators (USA)	box-2D	4
American Tail, An - Fievel Goes West (USA)	box-2D	4
Ancient Magic - Bazoe! Mahou Sekai (Japan)	box-2D	4
Andre Agassi Tennis (USA)	box-2D	4
Angelique (Japan)	box-2D	4
Animaniacs (USA)	box-2D	4
Aoki Densetsu Shoot! (Japan)	box-2D	4
Appleseed - Prometheus no Shintaku (Japan)	box-2D	4
Arabian Nights - Sabaku no Seirei Ou (Japan)	box-2D	4
Araiguma Rascal (Japan)	box-2D	4
Arcade's Greatest Hits - The Atari Collection 1 (USA)	box-2D	4
Arcana (USA)	box-2D	4
Archer Maclean's Super Dropzone (Europe)	box-2D	4
Arcus Spirits (Japan)	box-2D	4
Ardy Lightfoot (USA)	box-2D	4
Aretha (Japan)	box-2D	4
Aretha II - Ariel no Fushigi na Tabi (Japan)	box-2D	4
Arkanoid - Doh It Again (USA)	box-2D	4
Armored Police - Metal Jack (Japan)	box-2D	4
Art of Fighting (USA)	box-2D	4
Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu (Japan)	box-2D	4
Asameshimae Nyanko (Japan)	box-2D	4
Ashita no Joe (Japan)	box-2D	4
Asterix & Obelix (Europe) (En,Fr,De,Es)	box-2D	4
Asterix (Europe) (En,Fr,De,Es)	box-2D	4
Atlas, The - Renaissance Voyager (Japan)	box-2D	4
Atmosfear (USA) (Proto)	box-2D	4
Axelay (USA)	box-2D	4
B.O.B. (USA)	box-2D	4
BASS Masters Classic (USA)	box-2D	4
BASS Masters Classic - Pro Edition (USA)	box-2D	4
Bahamut Lagoon (Japan)	box-2D	4
Bakukyuu Renpatsu!! Super B-Daman (Japan)	box-2D	4
Bakumatsu Kourinden Oni (Japan)	box-2D	4
Bakutou Dochers - Bumps-jima wa Oosawagi (Japan)	box-2D	4
Ball Bullet Gun (Japan)	box-2D	4
Ballz 3D - Fighting at Its Ballziest (USA)	box-2D	4
Barbarossa (Japan)	box-2D	4
Barbie - Super Model (USA)	box-2D	4
Barbie - Vacation Adventure (USA) (Proto)	box-2D	4
Barkley Shut Up and Jam! (USA)	box-2D	4
Bassin's Black Bass (USA)	box-2D	4
Bastard!! - Ankoku no Hakaishin (Japan)	box-2D	4
Batman (USA) (Proto)	box-2D	4
Batman - Revenge of the Joker (USA) (Proto)	box-2D	4
Batman Forever (USA)	box-2D	4
Batman Returns (USA)	box-2D	4
Battle Blaze (USA)	box-2D	4
Battle Cars (World) (Evercade)	box-2D	4
Battle Clash (USA)	box-2D	4
Battle Commander - Hachibushuu, Shura no Heihou (Japan)	box-2D	4
Battle Cross (Japan)	box-2D	4
Battle Dodge Ball (Japan)	box-2D	4
Battle Dodge Ball II (Japan)	box-2D	4
Battle Grand Prix (USA)	box-2D	4
Battle Jockey (Japan)	box-2D	4
Battle Master - Kyuukyoku no Senshi-tachi (Japan)	box-2D	4
Battle Pinball (Japan)	box-2D	4
Battle Racers (Japan)	box-2D	4
Battle Robot Retsuden (Japan)	box-2D	4
Battle Soccer - Field no Hasha (Japan)	box-2D	4
Battle Soccer 2 (Japan)	box-2D	4
Battle Submarine (Japan)	box-2D	4
Battle Tycoon - Flash Hiders SFX (Japan)	box-2D	4
Battle Zeque Den (Japan)	box-2D	4
Battletoads in Battlemaniacs (USA)	box-2D	4
Battletoads-Double Dragon (USA)	box-2D	4
Bazooka Blitzkrieg (USA)	box-2D	4
Beauty and the Beast (USA)	box-2D	4
Beavis and Butt-Head (USA)	box-2D	4
Bebe's Kids (USA)	box-2D	4
Beethoven - The Ultimate Canine Caper! (USA)	box-2D	4
Benkei Gaiden - Suna no Shou (Japan)	box-2D	4
Best Shot Pro Golf (Japan)	box-2D	4
Best of the Best - Championship Karate (USA)	box-2D	4
Big Ichigeki! Pachi-Slot Daikouryaku (Japan)	box-2D	4
Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection (Japan)	box-2D	4
Big Sky Trooper (USA)	box-2D	4
Bike Daisuki! Hashiriya Tamashii (Japan)	box-2D	4
Biker Mice from Mars (USA)	box-2D	4
Bill Laimbeer's Combat Basketball (USA)	box-2D	4
Bill Walsh College Football (USA)	box-2D	4
Bing Bing! Bingo (Japan)	box-2D	4
BioMetal (USA)	box-2D	4
Bishin Densetsu Zoku (Japan)	box-2D	4
Bishoujo Janshi Suchie-Pai (Japan)	box-2D	4
Bishoujo Senshi Sailor Moon (Japan)	box-2D	4
Bishoujo Senshi Sailor Moon - Another Story (Japan)	box-2D	4
Bishoujo Senshi Sailor Moon R (Japan)	box-2D	4
Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan)	box-2D	4
Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo!! (Japan)	box-2D	4
Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan)	box-2D	4
Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan)	box-2D	4
Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan)	box-2D	4
Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan)	box-2D	4
BlaZeon - The Bio-Cyborg Challenge (USA)	box-2D	4
Blackthorne (USA)	box-2D	4
Block Kuzushi (Japan)	box-2D	4
Blue Crystal Rod, The (Japan)	box-2D	4
Blues Brothers, The (USA)	box-2D	4
Bobby's World (USA) (Proto)	box-2D	4
Bomberman B-Daman (Japan)	box-2D	4
Bonkers (USA)	box-2D	4
Boogerman - A Pick and Flick Adventure (World) (Evercade)	box-2D	4
Bounty Sword (Japan)	box-2D	4
Boxing Legends of the Ring (USA)	box-2D	4
Brain Lord (USA)	box-2D	4
Brainies, The (USA)	box-2D	4
Bram Stoker's Dracula (USA)	box-2D	4
Brandish (USA)	box-2D	4
Brandish 2 - Expert (Japan)	box-2D	4
Brandish 2 - The Planet Buster (Japan)	box-2D	4
Brawl Brothers (World) (Evercade)	box-2D	4
BreakThru! (USA)	box-2D	4
Breath of Fire (USA)	box-2D	4
Breath of Fire II (USA)	box-2D	4
Brett Hull Hockey (USA)	box-2D	4
Brett Hull Hockey 95 (USA)	box-2D	4
Bronkie the Bronchiasaurus (USA) (En,Es)	box-2D	4
Brunswick World - Tournament of Champions (USA)	box-2D	4
Brutal - Paws of Fury (USA)	box-2D	4
Bubsy II (World) (Steam)	box-2D	4
Bubsy in - Claws Encounters of the Furred Kind (World) (Steam)	box-2D	4
Bugs Bunny - Rabbit Rampage (USA)	box-2D	4
Bulls vs Blazers and the NBA Playoffs (USA)	box-2D	4
Burai - Hachigyoku no Yuushi Densetsu (Japan)	box-2D	4
Bushi Seiryuuden - Futari no Yuusha (Japan)	box-2D	4
Bust-A-Move (USA)	box-2D	4
CB Chara Wars - Ushinawareta Gag (Japan)	box-2D	4
Cacoma Knight in Bizyland (USA)	box-2D	4
Cal Ripken Jr. Baseball (USA)	box-2D	4
California Games II (USA)	box-2D	4
Cannon Fodder (Europe)	box-2D	4
Cannondale Cup (USA)	box-2D	4
Capcom's MVP Football (USA)	box-2D	4
Capcom's Soccer Shootout (USA)	box-2D	4
Captain America and the Avengers (USA)	box-2D	4
Captain Commando (USA)	box-2D	4
Captain Novolin (USA) (En,Fr,Es)	box-2D	4
Captain Tsubasa III - Koutei no Chousen (Japan)	box-2D	4
Captain Tsubasa IV - Pro no Rival-tachi (Japan)	box-2D	4
Captain Tsubasa J - The Way to World Youth (Japan)	box-2D	4
Captain Tsubasa V - Hasha no Shougou Campione (Japan)	box-2D	4
Caravan Shooting Collection (Japan) (En)	box-2D	4
Carrier Aces (USA)	box-2D	4
Casper (Japan)	box-2D	4
Casper (USA)	box-2D	4
Castlevania - Dracula X (USA)	box-2D	4
Champions - World Class Soccer (USA) (En,Fr,De,Es)	box-2D	4
Championship Pool (USA)	box-2D	4
Championship Soccer '94 (USA) (En,Fr,De,It)	box-2D	4
Chaos Drop (Europe) (Proto 1)	box-2D	4
Chaos Engine, The (World) (Evercade)	box-2D	4
Chaos Seed - Fuusui Kairouki (Japan)	box-2D	4
Chessmaster, The (USA)	box-2D	4
Chester Cheetah - Too Cool to Fool (USA)	box-2D	4
Chester Cheetah - Wild Wild Quest (USA)	box-2D	4
Chibi Maruko-chan - Harikiri 365-nichi no Maki (Japan)	box-2D	4
Chibi Maruko-chan - Mezase! Minami no Island!! (Japan)	box-2D	4
Chinhai (Japan)	box-2D	4
Choplifter III - Rescue-Survive (USA)	box-2D	4
Chou Aniki - Bakuretsu Rantou Hen (Japan)	box-2D	4
Chou Mahou Tairiku WOZZ (Japan)	box-2D	4
Choujikuu Yousai Macross - Scrambled Valkyrie (Japan) (En)	box-2D	4
Chrono Trigger (USA)	box-2D	4
Chuck Rock (USA)	box-2D	4
Classic Road (Japan)	box-2D	4
Classic Road II (Japan)	box-2D	4
Clay Fighter (World) (Evercade)	box-2D	4
Clay Fighter - Tournament Edition (USA)	box-2D	4
Clay Fighter 2 - Judgment Clay (World) (Evercade)	box-2D	4
Claymates (World) (Evercade)	box-2D	4
Cliffhanger (USA)	box-2D	4
Clock Tower (Japan)	box-2D	4
ClockWerx (Japan)	box-2D	4
Clue (USA)	box-2D	4
College Football USA 97 (USA)	box-2D	4
College Slam (USA)	box-2D	4
Columns (Japan) (NP)	box-2D	110
Combatribes, The (USA)	box-2D	4
Computer Nouryoku Kaiseki - Ultra Baken (Japan)	box-2D	4
Congo - The Movie - Secret of Zinj (USA) (Proto)	box-2D	4
Congo's Caper (USA)	box-2D	4
Contra III - The Alien Wars (USA)	box-2D	4
Conveni Wars Barcode Battler Senki - Super Senshi Shutsugeki seyo! (Japan)	box-2D	4
Cool Spot (USA)	box-2D	4
Cool World (USA)	box-2D	4
Coron Land (Japan)	box-2D	4
Cosmo Gang - The Puzzle (Japan)	box-2D	4
Cosmo Gang - The Video (Japan)	box-2D	4
Cosmo Police Galivan II - Arrow of Justice (Japan)	box-2D	4
Crayon Shin-chan - Arashi o Yobu Enji (Japan)	box-2D	4
Crayon Shin-chan 2 - Daimaou no Gyakushuu (Japan)	box-2D	4
Crystal Beans from Dungeon Explorer (Japan)	box-2D	4
Cu-On-Pa SFC (Japan)	box-2D	4
CutThroat Island (USA)	box-2D	4
Cyber Knight (Japan)	box-2D	4
Cyber Knight II - Chikyuu Teikoku no Yabou (Japan)	box-2D	4
Cyber Spin (USA)	box-2D	4
Cyborg 009 (Japan)	box-2D	4
D-Force (USA)	box-2D	4
Daffy Duck - The Marvin Missions (USA)	box-2D	4
Dai-3-ji Super Robot Taisen (Japan)	box-2D	4
Dai-4-ji Super Robot Taisen (Japan)	box-2D	4
Daibakushou Jinsei Gekijou (Japan)	box-2D	4
Daibakushou Jinsei Gekijou - Dokidoki Seishun Hen (Japan)	box-2D	4
Daibakushou Jinsei Gekijou - Ooedo Nikki (Japan)	box-2D	4
Daibakushou Jinsei Gekijou - Zukkoke Salaryman Hen (Japan)	box-2D	4
Daikaijuu Monogatari (Japan)	box-2D	4
Daikaijuu Monogatari II (Japan)	box-2D	4
Daisenryaku Expert (Japan)	box-2D	4
Daisenryaku Expert WWII - War in Europe (Japan)	box-2D	4
Darius Twin (USA)	box-2D	4
Dark Half (Japan)	box-2D	4
Dark Kingdom (Japan)	box-2D	4
Dark Law - Meaning of Death (Japan)	box-2D	4
Date Kimiko no Virtual Tennis (Japan)	box-2D	4
David Crane's Amazing Tennis (USA)	box-2D	4
Daze Before Christmas (World) (Evercade)	box-2D	4
Deae Tonosama Appare Ichiban (Japan)	box-2D	4
Dear Boys (Japan)	box-2D	4
Death Brade (Japan)	box-2D	4
Death and Return of Superman, The (USA)	box-2D	4
Dekitate High School (Japan)	box-2D	4
Demolition Man (USA)	box-2D	4
Demon's Crest (USA)	box-2D	4
Dennis the Menace (USA)	box-2D	4
Derby Jockey - Kishu Ou e no Michi (Japan)	box-2D	4
Derby Jockey 2 (Japan)	box-2D	4
Derby Stallion 96 (Japan)	box-2D	4
Derby Stallion 98 (Japan) (NP)	box-2D	110
Derby Stallion II (Japan)	box-2D	4
Derby Stallion III (Japan)	box-2D	4
Desert Strike - Return to the Gulf (USA)	box-2D	4
Dezaemon (Japan)	box-2D	4
Dharma Doujou (Japan)	box-2D	4
Dig & Spike Volleyball (USA)	box-2D	4
Dino Dini's Soccer! (Europe) (En,Fr,De)	box-2D	4
DinoCity (USA)	box-2D	4
Dirt Racer (Europe) (En,Fr,De)	box-2D	4
Dirt Trax FX (USA)	box-2D	4
DoReMi Fantasy - Milon no Dokidoki Daibouken (Japan)	box-2D	4
Dokapon 3-2-1 - Arashi o Yobu Yuujou (Japan)	box-2D	4
Dokapon Gaiden - Honoo no Audition (Japan)	box-2D	4
Dolucky no A.League Soccer (Japan)	box-2D	4
Dolucky no Kusayakiu (Japan)	box-2D	4
Dolucky no Puzzle Tour '94 (Japan)	box-2D	4
Donald Duck no Mahou no Boushi (Japan)	box-2D	4
Donkey Kong Country (USA)	box-2D	4
Donkey Kong Country 2 - Diddy's Kong Quest (USA) (En,Fr)	box-2D	4
Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA) (En,Fr)	box-2D	4
Doom (USA)	box-2D	4
Doom Troopers (USA)	box-2D	4
Doomsday Warrior (USA)	box-2D	4
Doraemon - Nobita to Yousei no Kuni (Japan)	box-2D	4
Doraemon 2 - Nobita no Toys Land Daibouken (Japan)	box-2D	4
Doraemon 3 - Nobita to Toki no Hougyoku (Japan)	box-2D	4
Doraemon 4 - Nobita to Tsuki no Oukoku (Japan)	box-2D	4
Dossun! Ganseki Battle (Japan)	box-2D	4
