#key	synopsis
'96 Zenkoku Koukou Soccer Senshuken (Japan)	Das Spiel hat einige Ähnlichkeiten mit Hat Trick Hero, Aoki Densetsu Shoot! oder jedem anderen Fußballspiel mit der Links-Rechts-Perspektive und Top Striker oder Libero Grande, da man nur mit einem einzigen Spieler spielen kann, anstatt das gesamte Team zu kontrollieren. Dieses Feature würde als Modell für den &quot;Karrieremodus&quot; der meisten modernen EA Sports Spiele dienen, da es viele weitere Verbesserungen gegenüber den beiden Originalversionen gab. Eines der wichtigsten ist die Möglichkeit, einen eigenen Charakter/Fußballspieler zu erstellen und anzupassen und mit dem Trainer vor jedem Spiel zu trainieren, unter anderem durch Optionen. Coaches geben mündliche Berichte heraus, die zwischen &quot;perfekt&quot; und &quot;verbesserungswürdig&quot; liegen.
3 Ninjas Kick Back (USA)	In 3 Ninjas Kick Back musst Du einem alten Samurai helfen seinen Dolch zu holen, den er einst als Auszeichnung für seine Leistungen im Kampfsport erhalten hat. Der Dolch wurde von jemandem gestohlen, der den alten Krieger beneidete - jetzt kann er diesen Preis nicht an die Krieger der nächsten Generation weitergeben. Wähle einen der drei jungen Ninjas, um dem alten Mann zu helfen! Dies ist ein traditionelles Plattformspiel basierend auf dem Film 3 Ninjas Kick Back. Jeder der drei Ninjas hat einzigartige Waffen und Fähigkeiten. Alle drei können rennen, ducken, kriechen, klettern, springen und sich an Bäumen, Seilen usw. festhalten. Du wirst viele Hindernisse und Feinde kennenlernen, sowohl normale als auch boshafte, die du überwinden und besiegen musst.
3x3 Eyes - Juuma Houkan (Japan)	3X3 Eyes: Juuma Houkan ist eine Mischung aus Rätseladventure und Plattform-Action, wobei der Schwerpunkt auf dem ersten liegt. Yakumo bewegt sich durch die Spielwelt, sammelt Objekte und manipuliert sie, um Rätsel zu lösen und mit Charakteren zu sprechen. Aber er kann auch springen, auf Leitern klettern, rennen und manchmal Feinde im Plattform-Stil bekämpfen.
3x3 Eyes - Seima Kourinden (Japan)	Basierend auf der Manga-Serie 3x3 Eyes (original japanischer Name Sazan Eyes) von Yuzo Takada, erzählt das Spiel die Geschichte eines jungen Mannes namens Yakumo Fujii. Er lebt in Tokio und genießt das Leben eines durchschnittlichen Teenagers: studiert in der Schule, arbeitet als Kellner in einem Teilzeitjob, hängt mit Freunden rum und so weiter. Aber eines Tages trifft er ein mysteriöses Mädchen namens Pai. Pai ist die einzige Überlebende einer alten Rasse, die San Zhi Yan genannt wird - Chinesisch für &quot;Drei Augen&quot;. Vor langer Zeit entdeckten sie das Geheimnis der Unsterblichkeit, aber dadurch verloren sie ihre menschliche Gestalt, und einige von ihnen mutierten zu schrecklichen Dämonen. Pais Traum ist es, wieder Mensch zu werden. Yakumos Vater war ihr treuer Freund, aber er starb, und wünschte, sein Sohn würde Pai weiterhin helfen. Zuerst ist Yakumo nicht sehr begeistert davon, aber durch einen bizarren Unfall wird seine Natur untrennbar mit Pais verbunden, und er wird selbst unsterblich! Er hat keine andere Wahl, als Pai zu helfen. Sie reisen um die Welt, von Hongkong bis Mexiko, suchen ihre verlorene Menschlichkeit und kämpfen gegen die Überreste der dämonischen Rasse. Das Spiel ist ein RPG im Konsolen-Stil, das in der Neuzeit spielt. Du kannst mit dem Flugzeug von Ort zu Ort reisen oder Pais geflügelten Dämon reiten. Auf deiner Reise treffen Yakumo und Pai andere Charaktere, die sich der Gruppe anschließen, und besuchen Städte und Verliese, wo sie Feinde im rundenbasierten Stil bekämpfen. Kämpfe werden aus der First-Person Perspektive betrachtet. Jeder Charakter hat verschiedene Zauber und Techniken, die in Kämpfen eingesetzt werden können.
4-nin Shougi (Japan)	4 Nin Shogi (&quot;4 Personen Shogi&quot;) ist ein Shogi-Spiel für das Super Famicom, das auf einer Vier-Spieler-Variante des Spiels basiert. Jeder Spieler beginnt auf einer Seite des Brettes und hat weniger Figuren als im normalen Zwei-Spieler-Spiel. Jede Seite hat ihren König, einen Turm, zwei Gold Generäle, zwei Silber Generäle und drei Bauern. Die Spieler haben die Möglichkeit, sich vorübergehend mit anderen Spielern zusammenzuschließen, um andere aus dem Spiel zu werfen.
7th Saga, The (USA)	Ihr Charakter begibt sich auf die Suche nach den sieben Kristallen, die im ganzen Land von Ticondera versteckt sind. Es stehen sieben verschiedene Charaktere zur Auswahl, jeder mit unterschiedlichen Anfangswerten und Besonderheiten. Das Spiel wird in einer 2,5D-Perspektive präsentiert, wechselt aber zu einer über der Schulter liegenden Semi-3D-Ansicht, wenn der Kampf beginnt. Der Kampf ist rundenbasiert, je nachdem, welchen Charakter du wählst, wird dein Kampf entweder fast vollständig auf Nahkampf oder Magie basieren. Potentielle Feinde, die um die Welt wandern, sind nicht zu sehen, aber eine Radarkarte hilft, Feinde als weiße Punkte anzuzeigen.
90 Minutes - European Prime Goal (Europe)	90 Minuten: European Prime Goal ist ein Fußballspiel mit den 14 Mannschaften der japanischen Erstliga (J. League) zum Spielen. In der europäischen Version wurden sie durch Nationalmannschaften ersetzt, aber die Spielmodi erinnern immer noch an den Ursprung. Die verfügbaren Modi sind Ausstellungskämpfe, Turnier, Liga, Pokal und All-Star (die Mannschaften sind in zwei Ligen aufgeteilt und der Gesamtsieger wird mit Playoffs entschieden). Mit der Option &quot;Du bist ein Held&quot; kann der Spieler einen neuen Athleten erstellen, seine Statistik mit ein paar Trainingslektionen ändern und ihn gegen einen bestehenden austauschen. Der Spieler kontrolliert entweder den Athleten, der den Ball hat, oder, wenn er sich in der Verteidigung befindet, denjenigen, der ihm am nächsten ist. Das Feld wird von einer leicht abgewinkelten Seitenperspektive gezeigt. In den meisten Modi können alle Teams von menschlichen Spielern übernommen werden, aber nur zwei können gleichzeitig spielen.
A.S.P. - Air Strike Patrol (USA)	Als Jet Pilot der &quot;Coalition&quot; übernimmt der Spieler die Kontrolle über einen F-15 Eagle oder einen A-10 Tankbuster Jet. Die Mission besteht darin, die Offensivkräfte der Zarak-Armee zu neutralisieren, die vor kurzem in ein kleineres Nachbarland eingedrungen sind. Die Zarak-Armee hat viele Bodeneinheiten, darunter Panzer, Stinger-Raketenwerfer, SCUD-Raketen und gepanzerte Fahrzeuge. Um das ultimative Ziel zu erreichen, die Zarak-Armee zu besiegen, wagen sich die Spieler auf zahlreiche Missionen, die unterschiedliche und spezifische Ziele haben. Typischerweise sind verschiedene Einrichtungen wie Radarstandorte, Luftstützpunkte oder Bodeneinheiten das Ziel. Andere Missionen schließen die Deaktivierung einer Ölpipeline und die Zerstörung von SCUD-Raketenwerfern ein, bevor sie feuern.
Aaahh!!! Real Monsters (USA)	In diesem Spiel, das auf beliebten Nickelodeon-Comics basiert, kontrollierst du drei Monster: Ickis, Oblina und Krumm. Der Gromble, ein Schulleiter in der Monsterschule, muss den letzten Test machen - Monster-Zwischenprüfung -, um zu beweisen, dass es sich um echte Monster handelt. Du solltest Müll sammeln, auf Leute werfen und sie erschrecken! Dies ist ein Plattformspiel, in dem du drei Charaktere kontrollierst. Jeder von ihnen hat einen besonderen Zug, der oft benutzt wird, um Rätsel zu lösen und Hindernisse zu überwinden: Ickis kann für kurze Zeit fliegen, Oblina kann hohe Leisten erreichen und Krumm kann Off-Screen-Bereiche scannen. Sie können auch Monsterbücher sammeln, die ihnen beibringen, Menschen zu erschrecken. Helfen Sie den drei Monstern zu graduieren!
ABC Monday Night Football (USA)	ABC Sports und Data East kommen zusammen, um dich auf den Grill zu schicken! Schnall dir deinen Helm an, lege das schwarze Zeug unter deine Augen und bereite dich auf den Football vor, Frank Gifford Style! Sie können im Handumdrehen den Spieler wechseln, verrückte Blitz-Spiele im QB spielen und die drallen Cheerleader ausdruckslos anstarren. Es ist alles das Gleiche ... es ist Football.
