#key	synopsis
'96 Zenkoku Koukou Soccer Senshuken (Japan)	El videojuego incluye equipos de las escuelas secundarias japonesas de las islas además del continente. Uno de los jugadores más notables en el juego es Shunsuke Nakamura, que jugó para T?k? Gakuen High School. El juego tiene algunas similitudes con Hat Trick Hero, Aoki Densetsu Shoot! o cualquier otro juego de fútbol con la perspectiva izquierda-derecha, y Top Striker o Libero Grande por la posibilidad de jugar como un solo jugador, en lugar de controlar a todo el equipo. Esta función serviría como modelo para el &quot;modo carrera&quot; que se ofrece en la mayoría de los juegos modernos de EA Sports. Hubo muchas otras mejoras sobre las dos versiones originales. Una de las más importantes es la disponibilidad de crear y personalizar un personaje / jugador de fútbol y entrenar con el instructor antes de cada partido, entre otras opciones. Los entrenadores dan informes verbales que oscilan entre &quot;perfecto&quot; y &quot;necesita mejorar&quot;.
3 Ninjas Kick Back (USA)	Primero viste a Rocky, Colt y Tum Tum en la pantalla de plata cuando sus habilidades en artes marciales y hazañas extremas salvaron el honor del abuelo Mori y derrotaron a un traficante de armas malvado. ¡Ahora depende de ti! En esta aventura llena de acción, te conviertes en cualquiera de los 3 Ninjas. Y ahí es cuando comienza la diversión. ¡Animales salvajes e incluso ninjas más salvajes atacan! Un trío de rockeros de metal pesado espaciados unen sus fuerzas con el malvado Koga en un esfuerzo total para ensuciarte. Pero si rescatas al abuelo Mori y su daga ceremonial, tendrás la última risa ... ¡y desbloquearás una habitación secreta llena de más oro que Fort Knox!
3x3 Eyes - Juuma Houkan (Japan)	Lingling descubre una carta que dejó Fujii, donde informa sobre una extraña tribu que puede controlar bestias. A Yakumo se le ordena viajar a Nepal, pero primero tiene que encontrar más información sobre la misteriosa tribu contactando a personas en Hong-Kong.
3x3 Eyes - Seima Kourinden (Japan)	Takumo Fujii vive en Tokio y disfruta de la vida de un adolescente promedio: estudia en la escuela, trabaja como mesero en un trabajo a tiempo parcial, anda con amigos, etc. Pero un día, conoce a una chica misteriosa llamada Pai. Pai es el único superviviente de una antigua raza llamada &quot;sanzhiyan&quot;. Hace mucho tiempo, descubrieron el secreto de la inmortalidad, pero como resultado perdieron su forma humana, y algunos de ellos se transformaron en horribles demonios. El sueño de Pai es volver a ser humano. El padre de Yakumo era su fiel amigo, pero murió y deseó que su hijo continuara ayudando a Pai. Al principio Yakumo no se siente muy entusiasmado con eso, pero a través de un extraño accidente, su naturaleza se vuelve inseparable de la de Pai, y él mismo se inmortaliza. Él no tiene más remedio que ayudar a Pai. Viajan por todo el mundo, desde Hong Kong a México, buscando su humanidad perdida y luchando contra los restos de la raza demoníaca.
4-nin Shougi (Japan)	Yonin sh?gi, (?? ? ',' ajedrez de cuatro personas '), es una variante de cuatro personas de shogi (ajedrez japonés). Se puede jugar con un conjunto dedicado de yonin shogi o con dos conjuntos de piezas de shogi estándar, y se juega en un tablero shogi de tamaño estándar. El objetivo del juego es capturar los reyes de tus oponentes como individuo o con la opción de formar equipo con uno o dos jugadores. Las coincidencias rápidas son comunes.
7th Saga, The (USA)	El jugador elige uno de los siete personajes jugables, todos los cuales se embarcan por separado en una búsqueda para localizar siete runas mágicas. A medida que el jugador avanza a través del juego de una ciudad a la siguiente, se encontrará con los otros seis personajes en múltiples ocasiones. El jugador puede asociarse con uno de los otros personajes jugables para luchar como un equipo, y también pueden luchar contra otros personajes jugables para las runas.
90 Minutes - European Prime Goal (Europe)	El jugador es uno de los catorce equipos de fútbol europeos. El juego de Super Nintendo ofrece varios modos: copa, liga o entrenamiento. Puedes crear tu propio jugador e incorporarle a la selección europea de tu elección. También es posible compartir la diversión con un amigo en el modo multijugador.
A.S.P. - Air Strike Patrol (USA)	Zarak ha invadido Sweit!. Como comandante de la Fuerza Aérea, debes gestionar todos tus recursos para derrotarlo. Usando inteligencia militar de alta tecnología, localiza tus objetivos, arma tu avión y destruye plantas de armas químicas, radares, vehículos enemigos y más. Así que sube a la cabina y vuela hacia el desafío de tu vida.
Aaahh!!! Real Monsters (USA)	En este juego, basado en los populares cómics de Nickelodeon, controlas tres monstruos: Ickis, Oblina y Krumm. El Gromble, un director de la escuela de monstruos, necesita que hagas la prueba final, el examen de mitad de monstruo, para demostrar que eres un monstruo real. ¡Deberías recoger basura, tirarla a las personas y asustarlas!
ABC Monday Night Football (USA)	¡ABC Sports y Data East se unen para llevarte a la parrilla! Ponte el casco, ponte esas cosas negras debajo de los ojos y prepárate para el fútbol, estilo Frank Gifford. Cuenta con tecnología de síntesis de voz AFB.
Accele Brid (Japan)	Los jugadores avanzan en el juego como un robot corriendo por una tubería, disparando todo lo que se mueve. El robot puede disparar desde ambos brazos, saltar, patear y golpear. También hay potenciadores y bonos que se pueden recoger para mejorar las armas y armaduras del robot. Hay tres tipos diferentes de robots para elegir: Silver Mare, Beliws y Nitika. Las armas se eligen antes de cada etapa y cada nivel tiene gráficos de Modo 7. Se pueden elegir tres niveles de dificultad; que van desde fácil, medio y difícil.
Ace o Nerae! (Japan)	En su primer día en Nishi High School, Hiromi Oka, de 15 años, está inspirada por la jugadora de alto nivel Reika &quot;Ochoufujin&quot; Ryuuzaki para tomar el tenis. Poco después de unirse al club de tenis de la escuela, se encuentra con Jin Munakata, el nuevo entrenador del club. Munakata pone a todos bajo un entrenamiento riguroso que incluso avergüenza a Ochoufujin. A pesar de las dificultades, la determinación de Hiromi incita al entrenador a seleccionarla como parte de los jugadores principales del club. Debido a esto, Hiromi debe soportar la presión de grupo de sus mayores para convertirse en una jugadora de tenis.
ACME Animation Factory (USA)	En ACME Animation Factory, el jugador recibe una serie de herramientas para crear sus propias caricaturas, utilizando los personajes más famosos de Looney Tunes, incluyendo gráficos, animación y música. Cuando se creó la caricatura, se puede guardar y luego volver a reproducir.
Acrobat Mission (Japan) (En)	En el año 2100, el medio ambiente de la Tierra es devastado por sus habitantes, que desarrollan su tecnología espacial para vivir en Marte. Antes de irse, los humanos crearon una Bio-computadora asignada para reponer el ecosistema de la Tierra con la esperanza de regresar a la Tierra. 50 años después de terra formar partes de Marte, los colonos humanos fueron atacados por OVNIS misteriosos, pero hostiles. Los líderes militares entre los colonos establecieron una fuerza de ataque para defender a los colonos usando naves de combate de última generación identificadas como Ícaro
Action Pachio (Japan)	El jugador toma el control de un Pachio blanco y trata de abrirse paso en todos los niveles de desplazamiento lateral. Entre cada nivel hay una escena de corte que actualiza la historia del jugador. Los jugadores pueden recoger monedas en el juego; recolectar 100 de ellos resulta en una vida extra. También reciben una barra de vida con tres colores diferentes (que simbolizan qué tan &quot;saludable&quot; es el personaje), un límite de tiempo y un indicador de puntaje relativamente genérico que sube a 99 millones de puntos.
ActRaiser (USA)	¡Restaura la paz y el orden en el mundo de tu gente! Hace mucho tiempo, tú y tu gente construyeron una tierra pacífica. Desde entonces, tu mundo ha sido dominado y habitado por el malvado Tanzra y sus guardianes. Tu tierra que una vez fue tranquila se ha convertido en un caldo de cultivo para monstruos. Herido, te has retirado a tu Sky Palace y has caído en un sueño profundo. Ahora, han pasado muchos años y te has recuperado de tus heridas y tu sueño. Debes castigar a Tanzra y restaurar el mundo a tu gente o perder su fe para siempre. Modo de acciónnnInhala vida en la estatua modelada según tu semejanza para limpiar la tierra y derrotar a los monstruos conquistados. Modo de simulaciónnnAyude a su gente a desarrollar una nueva tierra a partir de lo que se ha purificado y construya ciudades con sus poderes.
ActRaiser 2 (USA)	Después de escuchar su difícil situación, el Maestro desciende al mundo de abajo para luchar contra los monstruos y librar a la tierra del mal. Al igual que el original, cada área contiene dos &quot;actos&quot;; el primer acto de un área consiste en monstruos engendrados por un demonio menor nombrado después de una condición desfavorable, mientras que el segundo acto consiste en monstruos engendrados del mal primario, nombrado después de uno de los siete pecados capitales, con mayor desafío y peligro.
Addams Family Values (USA) (En,Fr,De)	Baby Pubert, la incorporación más reciente a la familia Addams, ha sido secuestrada por Debbie Jellinski, su antigua niñera. Como tío Fester, es tu trabajo rescatar al pequeño Pubert. Debe buscar en las áreas circundantes (bosques, pantanos, jardines y demás) de la mansión Addams, evitando trampas, resolviendo acertijos y matando monstruos. Te enfrentarás a criaturas tan infernales como buitres, gárgolas, murciélagos, fantasmas y demonios.
Addams Family, The (USA)	La familia Addams es un juego de plataformas. La historia tiene lugar hacia el final de la película de La Familia Addams, cuando la familia es desalojada de su mansión por un celoso abogado. Como si eso no fuera suficiente, nos enteramos de que Morticia, Pugsley, Miércoles y los otros han desaparecido! Así que juegas como Gómez, que debe buscar a su familia y derrotar a todos sus enemigos hasta llegar al último: el abogado!
