#key	synopsis
'96 Zenkoku Koukou Soccer Senshuken (Japan)	'96 Zenkoku koukou Soccer Senshuken est un jeu ou l'on dirige des équipes de football académique japonaise. Le mode de jeu principale nous propose de créer et de personnaliser le capitaine en répondant à des questions ce qui déterminera ces caractéristiques. Puis le tournoi commence mais avant chaque match on doit suivre plusieurs jours d'entraînement avec l'instructeur. En fonction du choix de formation cela augmentera la capacité des joueurs à dribbler, tirer et tacler... Lorsque le match commence nous n'avons que la possibilité de diriger qu'un seul joueur avec un point de vue de gauche à droite.
3 Ninjas Kick Back (USA)	3 Ninjas Kick Back est un jeu de plates-formes tiré du film d'action éponyme. Le joueur incarne l'un des trois jeunes ninjas et doit aider un samouraï à retrouver une dague, volée par son plus grand rival. Chacun des 3 personnages possède ses propres caractéristiques et correspond à un style de jeu particulier.
3x3 Eyes - Juuma Houkan (Japan)	3x3 Eyes : Juuma Houkan sur Super Nintendo est un jeu qui mélange de l'action/plates-formes et la résolution d'énigmes. Basé sur le manga du même nom, cet épisode se concentre sur les volumes 8 à 11 de la série. Alors que Lingling découvre une lettre laissée par Fujii, Yakumo doit rentrer en contact avec les bonnes personnes à Hong Kong concernant une mystérieuse tribu capable de contrôler les bêtes.
3x3 Eyes - Seima Kourinden (Japan)	3x3 Eyes : Seima Kourinden sur Super Nintendo est un jeu de rôle qui se déroule dans un univers moderne. Basé sur le manga du même nom, cet épisode de permet de partir à l'aventure avec Yakumo et Pai. Pendant le voyage d'autres personnages issus de la série pourront se joindre au groupe et les aider pendant des combats au tour par tour. Chaque protagoniste dispose de différents sorts et techniques pour assister le groupe.
4-nin Shougi (Japan)	4 nin Shôgi sur Super Nintendo est une adaptation du jeu de société japonais souvent comparé au jeu d'échec occidental. Contrairement à la version originale du shôgi se jouant à deux, ici quatre joueurs s'affrontent autour du plateau. Il est d'ailleurs possible de jouer à 4 en se passant la manette.
7th Saga, The (USA)	The 7th Saga sur Super Nintendo est un jeu de rôle vous embarquant sur les terres de Ticondera. Prenez le contrôle de l'un des 7 personnages disponibles et rejoignez leur quête pour trouver 7 cristaux et ainsi sauver le monde. Le jeu est en vue de dessus, et passe à une caméra placée au-dessus de l'épaule lors des combats.
90 Minutes - European Prime Goal (Europe)	Dans 90 Minutes European Prime Goal, le joueur incarne l'une des quatorze équipes européennes de football. Le jeu disponible sur Super Nintendo propose plusieurs modes : coupe, ligue ou encore entraînement. On peut créer son propre joueur et le faire intégrer la sélection européenne de son choix. Il est également possible de partager le plaisir avec un ami grâce au mode multijoueur.
A.S.P. - Air Strike Patrol (USA)	En incarnant un pilote de chasse de la « Coalition », les joueurs prennent les commandes d'un F-15 Eagle ou d'un A-10 Tankbuster. La mission consiste à neutraliser les forces offensives de l'armée de Zarak, qui a récemment envahi un petit pays voisin. L'armée de Zarak dispose de nombreuses unités terrestres, notamment des chars, des lanceurs de missiles Stinger, des missiles SCUD et des véhicules blindés. Pour atteindre l'objectif ultime, à savoir vaincre l'armée de Zarak, les joueurs se lancent dans de nombreuses missions (appelées « sorties ») aux objectifs variés et spécifiques. En général, diverses installations telles que des sites radar, des bases aériennes ou des unités terrestres constituent la cible. D'autres missions consistent à mettre hors service un oléoduc et à détruire les lanceurs SCUD avant qu'ils ne tirent.
Aaahh!!! Real Monsters (USA)	Aaahh!!! Real Monsters vous permet d'évoluer dans le monde de la bande dessinée de Nickelodeon du même nom. Ickis, Oblina et Krumm doivent passer leurs examens afin de devenir de vrais monstres. Chacun dispose de sa propre technique spéciale et il est possible de contrôler le monstre de son choix à tout moment. Il faut user d'astuce pour résoudre les puzzles et effrayer un maximum d'ennemis !
ABC Monday Night Football (USA)	Ce jeu vous fera vivre des parties de football américain comme vous n'en avez jamais vues ! créez votre propre équipe, participez à des championnats, jouez avec vos amis afin de leurs montrer que le ballon n'est pas seulement rond et surtout, marquez les plus beau touchdown de tous les temps ! (jeu recommandé surtout pour les fans de ce sport car beaucoup de techniques et des plans à mettre au point pour avancer avec le ballon mais aussi pour défendre votre zone).
