#key	name	year	genre	developer	players
3-ji no Wide Shou - 5 Gatsugou (Japan) (Magazine)	3 Ji No Wide Shou	1998	Various	St.GIGA	1
3-ji no Wide Shou - 6 Gatsugou (Japan) (Magazine)	3 Ji No Wide Shou	1998	Various	St.GIGA	1
Actraiser (Japan) (5-14)	Actraiser	1991	Platform	Quintet	1
AK LIVE Hit Gang (1995-4-28) + Game Tora no Ooana (1995-4-28) (Japan) (SoundLink Magazine)	AK Live Hit Gang	1995	Various	St.GIGA	
AK LIVE Hit Gang (Japan) (1995-5-30) (Magazine)	AK Live Hit Gang	1995	Various	St.GIGA	
Albert Odyssey (Japan) (5-31)	Albert Odyssey	1998	Tactical RPG/Role Playing Game	Sunsoft	
Arkanoid - Doh It Again (Japan) (En) (4-10)	Arkanoid - Doh It Again	1997	Action / Breakout games/Action	Taito	1-2
B Dash - 2 Gatsugou (Japan) (Magazine)	B Dash	1988	Various	St.GIGA	
B Dash - 3 Gatsugou (Japan) (Magazine)	B Dash	1988	Various	St.GIGA	
Bakushow Mondai no Silicon Chounaikai (1996-9-14) + Super Formation Soccer (9-22) (Japan) (SoundLink Magazine, Game)	Bakusho Mondai No Shirikon Chounaikai	1996	Various		
Bakushow Mondai no Silicon Chounaikai (1997-2-1) + Bakushow Mondai no Silicon Chounaikai (1997-2-8) (Japan) (SoundLink Magazine)	Bakusho Mondai No Shirikon Chounaikai	1996	Various		
Bakushow Mondai no Silicon Chounaikai (Japan) (1997-2-8) (SoundLink Magazine)	Bakusho Mondai No Shirikon Chounaikai	1996	Various		
Bakushow Mondai no Totsugeki! Star Pirates - Dai-1-wa (Japan) (SoundLink)	Bakusho Mondai no Totsugeki! StarPirates	1997	Various	St.GIGA	
Bakushow Mondai no Totsugeki! Star Pirates - Dai-3-wa (Japan) (SoundLink) [b]	Bakusho Mondai no Totsugeki! StarPirates	1997	Various	St.GIGA	
Bokujou Monogatari (Japan) (Demo) (1996-7-25)	BS Bokujou Monogatari	1996	Simulation / Life/Simulation	St.GIGA	1
Bokujou Monogatari - Dai-2-wa (Japan) (1996-9-9) (SoundLink)	BS Bokujou Monogatari	1996	Simulation / Life/Simulation	St.GIGA	1
Bokujou Monogatari - Dai-4-wa (Japan) (1996-11-16) (SoundLink)	BS Bokujou Monogatari	1996	Simulation / Life/Simulation	St.GIGA	1
Bounty Sword - Satellaview Special Time Attack Version (Japan)	Bounty Sword : Satellaview Special Time Attack Version				
BS Dragon Quest I (Japan) (SoundLink)	BS Dragon Quest I	1996	Role Playing Game	Chunsoft	1
BS F-Zero Grand Prix - Dai-1-shuu - Knight League (Japan) (11-1) (SoundLink)	BS F-Zero Grand Prix	1996	Racing, Driving	Nintendo	1
BS F-Zero Grand Prix - Dai-2-shuu - Queen League (Japan) (SoundLink)	BS F-Zero Grand Prix	1996	Racing, Driving	Nintendo	1
BS F-Zero Grand Prix - Dai-3-shuu - King League (Japan) (3-20) (SoundLink)	BS F-Zero Grand Prix	1996	Racing, Driving	Nintendo	1
BS F-Zero Grand Prix - Dai-4-shuu - Ace League (Japan) (11-25) (SoundLink)	BS F-Zero Grand Prix	1996	Racing, Driving	Nintendo	1
BS F-Zero Grand Prix 2 - Dai-1-shuu (Japan) (SoundLink)	BS F-Zero Grand Prix 2	1997	Racing, Driving	St.GIGA	1
BS F-Zero Grand Prix 2 - Practice (Japan) (6-7)	BS F-Zero Grand Prix 2	1997	Racing, Driving	St.GIGA	1
BS Famitsu Magazine Kawara-ban 4-27 Gou (Japan) (Magazine)	Famitsu Magazine Karara Ban				
BS Famitsu Magazine Kawara-ban 5-24 Gou (Japan) (Magazine)	ZZZ(notgame):#NONGAME				
BS Fire Emblem - Akaneia Senki Hen - Dai-1-wa - Palace Kanraku (Japan) (4-4) (SoundLink)	BS Fire Emblem: Akaneia Senki	1997	Tactical RPG/Role Playing Game	Intelligent Systems	1
BS Fire Emblem - Akaneia Senki Hen - Dai-2-wa - Akai Ryuu Kishi (Japan) (4-13) (SoundLink)	BS Fire Emblem: Akaneia Senki	1997	Tactical RPG/Role Playing Game	Intelligent Systems	1
BS Fire Emblem - Akaneia Senki Hen - Dai-3-wa - Seigi no Touzokudan (Japan) (4-21) (SoundLink)	BS Fire Emblem: Akaneia Senki	1997	Tactical RPG/Role Playing Game	Intelligent Systems	1
BS Fire Emblem - Akaneia Senki Hen - Dai-4-wa - Hajimari no Toki (Japan) (4-28) (SoundLink)	BS Fire Emblem: Akaneia Senki	1997	Tactical RPG/Role Playing Game	Intelligent Systems	1
BS Fuurai no Shiren - Surara o Sukue - Dai-2-shuu (Japan) (SoundLink)	BS Fuurai no Shiren: Surara wo Sukue	1996	Role Playing Game	Enix	1
BS Fuurai no Shiren - Surara o Sukue - Dai-3-shuu (Japan) (SoundLink)	BS Fuurai no Shiren: Surara wo Sukue	1996	Role Playing Game	Enix	1
BS Fuurai no Shiren - Surara o Sukue - Dai-4-shuu (Japan) (SoundLink)	BS Fuurai no Shiren: Surara wo Sukue	1996	Role Playing Game	Enix	1
BS Ihatovo Monogatari - Dai-2-wa (Japan) (SoundLink)	Ihatov Monogatari		Adventure	HectorSoft	1
BS KureKure Mou Race - 2 Tsuki-Gou (2-3) + RPG Tsukuru 2 (Japan) (Data Pack)	Ryouma De Yuku				
