#key	style	ss_system_id
3-ji no Wide Shou - 5 Gatsugou (Japan) (Magazine)	mixrbv2	107
AK LIVE Hit Gang (Japan) (1995-5-30) (Magazine)	mixrbv2	107
Actraiser (Japan) (5-14)	mixrbv2	107
Albert Odyssey (Japan) (5-31)	mixrbv2	107
Arkanoid - Doh It Again (Japan) (En) (4-10)	mixrbv2	107
B Dash - 2 Gatsugou (Japan) (Magazine)	mixrbv2	107
BS Dragon Quest I (Japan) (SoundLink)	mixrbv2	107
BS F-Zero Grand Prix - Dai-2-shuu - Queen League (Japan) (SoundLink)	mixrbv2	107
BS F-Zero Grand Prix 2 - Practice (Japan) (6-7)	mixrbv2	107
BS Famitsu Magazine Kawara-ban 4-27 Gou (Japan) (Magazine)	mixrbv2	107
BS Fire Emblem - Akaneia Senki Hen - Dai-1-wa - Palace Kanraku (Japan) (4-4) (SoundLink)	mixrbv2	107
BS Fuurai no Shiren - Surara o Sukue - Dai-2-shuu (Japan) (SoundLink)	mixrbv2	107
BS Ihatovo Monogatari - Dai-2-wa (Japan) (SoundLink)	mixrbv2	107
BS Marvelous - Camp Arnold Course - Dai-1-shuu (Japan) (SoundLink)	mixrbv2	107
BS Marvelous - Time Athletic Course - Dai-1-shuu (Japan) (SoundLink)	mixrbv2	107
BS Nichibutsu Mahjong - Mahjong Taikai (Japan) (4-19)	mixrbv2	107
BS Nintendo HP - 5-17 Gou (Japan) (Magazine)	mixrbv2	107
BS Parlor! Parlor! - Dai-2-shuu (Japan) (3-13) (SoundLink)	mixrbv2	107
BS Shin Onigashima - Dai-2-wa (Japan) (SoundLink)	mixrbv2	107
BS Sim City - Scenario 3 (Japan) (SoundLink)	mixrbv2	107
BS St. Giga PG - 10 Gatsugou (Japan) (Magazine)	mixrbv2	107
BS Super Mario Collection - Dai-3-shuu (Japan) (3-17) (SoundLink)	mixrbv2	107
BS Super Mario USA - Power Challenge - Dai-1-kai (Japan) (SoundLink)	mixrbv2	107
BS Tantei Club - Yuki ni Kieta Kako - Zenpen (Japan) (SoundLink)	mixrbv2	107
BS Zelda no Densetsu - Dai-2-wa (Japan) (SoundLink)	mixrbv2	107
BS Zelda no Densetsu - Inishie no Sekiban - Dai-1-wa (Japan) (SoundLink)	mixrbv2	107
Bakushow Mondai no Silicon Chounaikai (Japan) (1997-2-8) (SoundLink Magazine)	mixrbv2	107
Bakushow Mondai no Totsugeki! Star Pirates - Dai-1-wa (Japan) (SoundLink)	mixrbv2	107
Bokujou Monogatari - Dai-2-wa (Japan) (1996-9-9) (SoundLink)	mixrbv2	107
Bounty Sword - Satellaview Special Time Attack Version (Japan)	mixrbv2	107
Chaos Seed BS Ban (Japan) (1996-3-11)	mixrbv2	107
Cheap de Gorgeous Vol. 1 (Japan) (Magazine)	mixrbv2	107
Chou Aniki - Bakuretsu Rantou Hen (Japan)	mixrbv2	107
Chrono Trigger - Jet Bike Special (Japan)	mixrbv2	107
Cock-A-Doodle-Do (Japan) (4-27) (Data Pack)	mixrbv2	107
Columbus no Tamagoyaki - Dai-1-kai (Japan) (7-5) (Magazine)	mixrbv2	107
Cu-On-Pa BS Ban (Japan) (6-7)	mixrbv2	107
Daibakushou Jinsei Gekijou (Japan)	mixrbv2	107
Dandan Belt Conveyor - Gyuunyuu no Maki (Japan) (Magazine)	mixrbv2	107
Dandan Belt Conveyor - Ukulele no Maki (Japan) (Magazine) [b]	mixrbv2	107
Darius Force (Japan) (En) (3-3)	mixrbv2	107
Derby Stallion 96 - Nintendo Breeders' Cup National Betting Championship - Tournament 3 (Japan) (1996-9-15) (SoundLink) [b]	mixrbv2	107
DerbyStal 96 - Taiou 97-nendo Ban (Japan) (12-3) (Data Pack)	mixrbv2	107
Dezaemon BSX Version - BS-X Shooting (Japan) (En) (4-30)	mixrbv2	107
Dezaemon BSX Version - Sugoi STG - Jintai (Japan) (En)	mixrbv2	107
