#key	synopsis
3-ji no Wide Shou - 5 Gatsugou (Japan) (Magazine)	3 Ji no WIDE Shou ist ein herunterladbares digitales Magazin, das zwischen dem 31. Mai 1998 und dem 19. Dezember 1998 in mindestens 8 Segmenten für das Satellaview ausgestrahlt wurde. Dieser Titel war beim Standort des Bahnhofs zum Download verfügbar, wenn das BS-X-Modul verwendet wurde.
3-ji no Wide Shou - 6 Gatsugou (Japan) (Magazine)	3 Ji no WIDE Shou ist ein herunterladbares digitales Magazin, das zwischen dem 31. Mai 1998 und dem 19. Dezember 1998 in mindestens 8 Segmenten für das Satellaview ausgestrahlt wurde. Dieser Titel war beim Standort des Bahnhofs zum Download verfügbar, wenn das BS-X-Modul verwendet wurde.
Actraiser (Japan) (5-14)	ActRaiser (BS) ist Byte für Byte identisch mit der veröffentlichten japanischen Version. Der Spieler übernimmt die Rolle des &quot;The Master&quot;, des Hauptprotagonisten des Spiels, der nicht direkt vom Spieler kontrolliert wird. Der Spieler steuert einen Engel während der Simulationsphasen und eine animierte Statue während der Aktionssequenzen, um mit &quot;The Master&quot; zu interagieren. Der von oben betrachtete Modus wird verwendet, um die neue Zivilisation des Meisters zu führen und zu schützen, die mit 2 Menschen beginnt. Diese Phase des Spiels fordert den Spieler auf, Maßnahmen zu ergreifen, um das Bevölkerungswachstum zu fördern, was die Planung von Routen mit Licht, Regen, Sonne, Wind und Erdbeben erfordert. Der Engel kann mit den Monstern mit den Pfeilen interagieren, um sie zu besiegen, er kann auch sagen, wo er Wunder bauen und bewirken kann.
AK LIVE Hit Gang (1995-4-28) + Game Tora no Ooana (1995-4-28) (Japan) (SoundLink Magazine)	AK Live Hit Gang-Übertragungen bestanden aus verschiedenen Medien (Grafik, Songs usw.) im Zusammenhang mit der japanischen Band, AK LIVE, und sie sollten die Band und ihre Musik fördern.
AK LIVE Hit Gang (Japan) (1995-5-30) (Magazine)	AK Live Hit Gang-Übertragungen bestanden aus verschiedenen Medien (Grafik, Songs usw.) im Zusammenhang mit der japanischen Band, AK LIVE, und sie sollten die Band und ihre Musik fördern.
Albert Odyssey (Japan) (5-31)	Albert Odyssey ist ein Rollenspiel auf SNES. Du spielst Albert, einen tapferen Krieger, und hilfst der Magierin Sophia, den Tod ihrer Eltern zu rächen. Auf diese Weise verfolgst du Oswald, den bösen Magier und seine Armee von Drachen und Goblins. Kämpfe werden wie in einem rundenbasierten Strategiespiel gespielt und du musst dein ganzes Team leiten, um zu gewinnen.
Arkanoid - Doh It Again (Japan) (En) (4-10)	Arkanoid: Doh It Again wurde zwischen dem 21. August 1997 und dem 31. März 1998 ausgestrahlt. Der Spieler steuert ein Schiff entweder mit einem Standard-Controller oder der Super NES-Maus. Runden sind abgeschlossen, wenn alle Farb- und Silberblöcke auf dem Bildschirm entfernt wurden. Feinde treten von den Türen oben im Spielbereich ein. Alle elf Runden muss ein Boss-Feind bekämpft werden. Einige der Blöcke enthalten Power-Ups, die Sie mit Ihrem Paddel fangen müssen, um sie zu verwenden. Das Spiel hat insgesamt 99 Levels, einen Bearbeitungsmodus, in dem Benutzer ihre eigenen Levels, Power-Ups und Zwei-Spieler-Fähigkeiten erstellen können.
B Dash - 2 Gatsugou (Japan) (Magazine)	B Dash ist ein herunterladbares digitales Magazin für den Satellaview, das zwischen dem 15. November 1998 und Anfang 1999 in 5 Ausgaben veröffentlicht wurde. Die Zahlen von B Dash tragen alle einen Romaji-Index &quot;X-Gatsu-Go&quot;, der den Monat anzeigt. Zum Beispiel kann das Februar-Volumen in Kanji mit &quot;2 Gatsu Gou&quot; oder &quot;February Issue&quot; (&quot;February Issue&quot;) ins Englische übertragen werden.
B Dash - 3 Gatsugou (Japan) (Magazine)	B Dash ist ein herunterladbares digitales Magazin für den Satellaview, das zwischen dem 15. November 1998 und Anfang 1999 in 5 Ausgaben veröffentlicht wurde. Die Zahlen von B Dash tragen alle einen Romaji-Index &quot;X-Gatsu-Go&quot;, der den Monat anzeigt. Zum Beispiel kann das Februar-Volumen in Kanji mit &quot;2 Gatsu Gou&quot; oder &quot;February Issue&quot; (&quot;February Issue&quot;) ins Englische übertragen werden.
Bakushow Mondai no Silicon Chounaikai (1996-9-14) + Super Formation Soccer (9-22) (Japan) (SoundLink Magazine, Game)	Bakushō Mondai ist ein japanisches Comedy-Duo aus Yūji Tanaka und Hikari Ōta unter der Unterhaltungsagentur Titan Inc. Die Komiker lernten sich kennen, als sie Studenten der Abteilung für Bildende Künste der Nihon-Universität waren, und bildeten 1988 nach dem Schulabtritt Bakushō Mondai ab. Der Name des Duos bedeutet wörtlich &quot;in Lachen explodieren&quot;, &quot;Problem / Frage&quot;. Dem Tsukkomi der beiden, Tanaka, wurde wegen Hodenkrebs ein Hoden entfernt, und das führt oft zu Witzen aus dem Boke der Gruppe, Ōta, sowie von anderen Persönlichkeiten, mit denen sie auftreten könnten. Ōta ist im Allgemeinen das höchste Profil der beiden und dominiert oft die von ihnen veranstalteten Shows mit ihren ausführlichen Reden.
Bakushow Mondai no Silicon Chounaikai (1997-2-1) + Bakushow Mondai no Silicon Chounaikai (1997-2-8) (Japan) (SoundLink Magazine)	Bakushō Mondai ist ein japanisches Comedy-Duo aus Yūji Tanaka und Hikari Ōta unter der Unterhaltungsagentur Titan Inc. Die Komiker lernten sich kennen, als sie Studenten der Abteilung für Bildende Künste der Nihon-Universität waren, und bildeten 1988 nach dem Schulabtritt Bakushō Mondai ab. Der Name des Duos bedeutet wörtlich &quot;in Lachen explodieren&quot;, &quot;Problem / Frage&quot;. Dem Tsukkomi der beiden, Tanaka, wurde wegen Hodenkrebs ein Hoden entfernt, und das führt oft zu Witzen aus dem Boke der Gruppe, Ōta, sowie von anderen Persönlichkeiten, mit denen sie auftreten könnten. Ōta ist im Allgemeinen das höchste Profil der beiden und dominiert oft die von ihnen veranstalteten Shows mit ihren ausführlichen Reden.
