#key	synopsis
3-ji no Wide Shou - 5 Gatsugou (Japan) (Magazine)	3 Ji no WIDE Shou is a Downloadable Digital Magazine that was broadcast in at least 8 segments for the Satellaview between May 31, 1998 and December 19, 1998. This title was available for download from the Train Station location when using the BS-X cartridge.
3-ji no Wide Shou - 6 Gatsugou (Japan) (Magazine)	3 Ji no WIDE Shou is a Downloadable Digital Magazine that was broadcast in at least 8 segments for the Satellaview between May 31, 1998 and December 19, 1998. This title was available for download from the Train Station location when using the BS-X cartridge.
Actraiser (Japan) (5-14)	ActRaiser (BS) is byte-for-byte (sans header) identical to the Japanese retail version (Although it seems it's saving system is not as functional on a real hardware setup. The player plays as &quot;The Master,&quot; the main protagonist of the game. Although the Master is never directly controlled, the player interacts with the world by controlling an angel and an animated statue. The player plays as an angel during the simulation sequences of the game, and as the statue during the action sequences. The overhead-view simulation mode involves protecting and guiding the Master's new civilization towards prosperity, beginning with two humans. This portion of the game requires the player to take actions that encourage the growth of the population, including road planning and using lightning, rain, sunlight, wind, and earthquakes as miracles. The Angel can interact with the monsters in the area by shooting them with arrows as well as aid the Master by indicating where to build and use miracles. Each area has two side-scrolling action sequences, one before the building simulation and near the end. In the action sequences, the player controls a human-shaped statue brought to life by the Master. The player must jump from platform to platform while defeating monsters to accrue a score. At the end of each action sequence, the player must defeat a boss. Among many things, the game is recognized for its score, which was composed by Yuzo Koshiro. Its release within six months of the launch of the console demonstrated the compositional potential it represented to future projects, underscoring its ability to use and manipulate comparatively high quality samples.
AK LIVE Hit Gang (1995-4-28) + Game Tora no Ooana (1995-4-28) (Japan) (SoundLink Magazine)	AK Live Hit Gang broadcasts consisted of various media (graphics, songs, etc.) related to the Japanese band, AK LIVE, and they were intended to promote the band and their music
AK LIVE Hit Gang (Japan) (1995-5-30) (Magazine)	AK Live Hit Gang broadcasts consisted of various media (graphics, songs, etc.) related to the Japanese band, AK LIVE, and they were intended to promote the band and their music
Albert Odyssey (Japan) (5-31)	Albert Odyssey is a tactical role-playing video game developed and published by Sunsoft and originally released in Japan in March 1993. The game features strategy-based combat in addition to traditional role-playing game elements in two-dimensional environments. The game was later re-released for Satellaview in March 1998. Players assume the role of Albert, the young heroic swordsman who lives in a fantasy world filled with monsters and mythical creatures. While much of the world remains in relative peace following a great war many years before, a military faction led by the dark magician Globus has emerged to conquer the newly pacified nations and expand their empire. With the help of Albert's friends as well as hired mercenaries, the player must travel the world and eventually confront Golbus and his forces to prevent another large-scale conflict.
Arkanoid - Doh It Again (Japan) (En) (4-10)	Arkanoid: Doh It Again was broadcast between August 21, 1997 and March 31, 1998. The player controls a ship using either a standard controller or the Super NES Mouse. Rounds are completed when all the color and silver blocks on the screen have been eliminated. Enemies enter from the doors at the top of the play area. Every eleven rounds a boss enemy will have to be fought. Some of the blocks contain power-ups that you must catch with your paddle to use. The game has a total of 99 levels, an edit mode in which users can create their own levels, power-ups, and two-player capabilities.
B Dash - 2 Gatsugou (Japan) (Magazine)	B Dash is a Downloadable Digital Magazine for the Satellaview that ran for 5 issues between November 15, 1998 and early 1999. Issues of B Dash all bore a Romaji &quot;X-Gatsu-Go&quot; subscript that indicates the month. For example, the February volume can be re-translated into kanji as &quot;2 Gatsu Gou&quot; or &quot;February Issue&quot; (&quot;Number February&quot;) in English.
B Dash - 3 Gatsugou (Japan) (Magazine)	B Dash is a Downloadable Digital Magazine for the Satellaview that ran for 5 issues between November 15, 1998 and early 1999. Issues of B Dash all bore a Romaji &quot;X-Gatsu-Go&quot; subscript that indicates the month. For example, the February volume can be re-translated into kanji as &quot;2 Gatsu Gou&quot; or &quot;February Issue&quot; (&quot;Number February&quot;) in English.
Bakushow Mondai no Silicon Chounaikai (1996-9-14) + Super Formation Soccer (9-22) (Japan) (SoundLink Magazine, Game)	SoundLink Magazine (April 1996 - March 1997)
