#key	synopsis
3-ji no Wide Shou - 5 Gatsugou (Japan) (Magazine)	3 Ji no WIDE Shou es una revista digital descargable que se transmitió en al menos 8 segmentos para Satellaview entre el 31 de mayo de 1998 y el 19 de diciembre de 1998. Este título estaba disponible para descargar desde la ubicación de la estación de tren cuando se usaba el cartucho BS-X .
3-ji no Wide Shou - 6 Gatsugou (Japan) (Magazine)	3 Ji no WIDE Shou es una revista digital descargable que se transmitió en al menos 8 segmentos para Satellaview entre el 31 de mayo de 1998 y el 19 de diciembre de 1998. Este título estaba disponible para descargar desde la ubicación de la estación de tren cuando se usaba el cartucho BS-X .
Actraiser (Japan) (5-14)	ActRaiser (BS) es byte por byte (sin encabezado) idéntico a la versión minorista japonesa (aunque parece que su sistema de ahorro no funciona en una configuración de hardware real. El jugador juega como &quot;The Master&quot;, el protagonista principal de el juego, aunque el jugador nunca se controla directamente, el jugador interactúa con el mundo controlando un ángel y una estatua animada. El modo de simulación de vista aérea implica proteger y guiar a la nueva civilización del Maestro hacia la prosperidad, comenzando con dos humanos. Esta parte del juego requiere que el jugador tome medidas que fomenten el crecimiento de la población, incluida la planificación de carreteras y los rayos, la lluvia, la luz solar, el viento, los terremotos y los milagros. El ángel puede interactuar con los monstruos en el área disparándoles con la ayuda del maestro. Cada área tiene dos secuencias de acción de desplazamiento lateral, una antes de la simulación del edificio y cerca del final. En las secuencias de acción, el jugador controla una estatua con forma humana que el Maestro le da vida. El jugador debe saltar de plataforma en plataforma mientras derrota a los monstruos para aumentar la puntuación. Al final de cada secuencia de acción, el jugador debe derrotar a un jefe. Entre muchas cosas, el juego es reconocido por su puntuación, que está compuesto por Yuzo Koshiro. Su lanzamiento dentro de los seis meses posteriores al lanzamiento de la consola se muestra en las siguientes páginas:
AK LIVE Hit Gang (1995-4-28) + Game Tora no Ooana (1995-4-28) (Japan) (SoundLink Magazine)	AK Live Hit Gang transmite varios medios (gráficos, canciones, etc.) relacionados con la banda japonesa, AK LIVE, y estaban destinados a promover la banda y su música.
AK LIVE Hit Gang (Japan) (1995-5-30) (Magazine)	AK Live Hit Gang transmite varios medios (gráficos, canciones, etc.) relacionados con la banda japonesa, AK LIVE, y estaban destinados a promover la banda y su música.
Albert Odyssey (Japan) (5-31)	Albert Odyssey es un videojuego de rol táctico desarrollado y publicado por Japón en marzo de 1993. El juego presenta combate basado en la estrategia además de elementos tradicionales del juego de rol en entornos bidimensionales. El juego fue relanzado para Satellaview en marzo de 1998. Players asume el papel de Albert, el joven espadachín heroico que vive en un mundo de fantasía lleno de monstruos y criaturas míticas. Si bien gran parte del mundo permanece después de un mundo de guerra, el mundo se ha convertido en un mundo de guerra. Con la ayuda de los amigos de Albert y los mercenarios contratados,
Arkanoid - Doh It Again (Japan) (En) (4-10)	Arkanoid: Doh It Again se transmitió entre el 21 de agosto de 1997 y el 31 de marzo de 1998. El reproductor controla mediante un controlador estándar o el Super NES Mouse. Las rondas se completan cuando se eliminan todos los colores. Los enemigos entran desde las puertas en la parte superior del área de juego. Cada once rondas tiene un jefe enemigo tendrá que ser combatido. Algunos de los bloques contienen potenciadores que debes atrapar con tu pala para usar. El juego tiene un total de 99 niveles, un modo de edición en el que los usuarios pueden crear sus propios niveles, potenciadores y capacidades para dos jugadores.
B Dash - 2 Gatsugou (Japan) (Magazine)	B Dash es una revista digital descargable para Satellaview que tuvo 5 ediciones entre el 15 de noviembre de 1998 y principios de 1999. Todas las ediciones de B Dash llevaban un subtítulo en romaji “X-Gatsu-Go” que indicaba el mes. Por ejemplo, el volumen de febrero puede retraducirse al kanji como “2 Gatsu Gou” o “Edición de Febrero” (“Número de Febrero”) en inglés.
B Dash - 3 Gatsugou (Japan) (Magazine)	B Dash es una revista digital descargable para Satellaview que tuvo 5 ediciones entre el 15 de noviembre de 1998 y principios de 1999. Todas las ediciones de B Dash llevaban un subtítulo en romaji “X-Gatsu-Go” que indicaba el mes. Por ejemplo, el volumen de febrero puede retraducirse al kanji como “2 Gatsu Gou” o “Edición de Febrero” (“Número de Febrero”) en inglés.
Bakushow Mondai no Silicon Chounaikai (1996-9-14) + Super Formation Soccer (9-22) (Japan) (SoundLink Magazine, Game)	Bakusho Mondai no Shirikon Chounaikai es un programa de radio transmitido en Satellaview en Japón (Super Famicom) protagonizado por un dúo cómico. Bakushō Mondai es un dúo de comedia japonés formado por Yūji Tanaka y Hikari Ōta bajo la agencia de entretenimiento Titan Inc. Los comediantes se conocieron mientras estudiaban en el departamento de bellas artes de la Universidad Nihon y formaron Bakushō Mondai en 1988 después de abandonar la escuela. El nombre del dúo significa literalmente “estallido de risa” y “problema” o “pregunta”. Tanaka fue sometido a la extirpación de un testículo debido a un cáncer testicular, hecho que con frecuencia genera bromas por parte del boke del grupo, Ōta, así como de otras personalidades con quienes se presentan. Ōta suele ser el más destacado de los dos y con frecuencia domina los programas que conducen gracias a sus discursos extensos.
Bakushow Mondai no Silicon Chounaikai (1997-2-1) + Bakushow Mondai no Silicon Chounaikai (1997-2-8) (Japan) (SoundLink Magazine)	Bakusho Mondai no Shirikon Chounaikai es un programa de radio transmitido en Satellaview en Japón (Super Famicom) protagonizado por un dúo cómico. Bakushō Mondai es un dúo de comedia japonés formado por Yūji Tanaka y Hikari Ōta bajo la agencia de entretenimiento Titan Inc. Los comediantes se conocieron mientras estudiaban en el departamento de bellas artes de la Universidad Nihon y formaron Bakushō Mondai en 1988 después de abandonar la escuela. El nombre del dúo significa literalmente “estallido de risa” y “problema” o “pregunta”. Tanaka fue sometido a la extirpación de un testículo debido a un cáncer testicular, hecho que con frecuencia genera bromas por parte del boke del grupo, Ōta, así como de otras personalidades con quienes se presentan. Ōta suele ser el más destacado de los dos y con frecuencia domina los programas que conducen gracias a sus discursos extensos.
Bakushow Mondai no Silicon Chounaikai (Japan) (1997-2-8) (SoundLink Magazine)	Bakusho Mondai no Shirikon Chounaikai es un programa de radio transmitido en Satellaview en Japón (Super Famicom) protagonizado por un dúo cómico. Bakushō Mondai es un dúo de comedia japonés formado por Yūji Tanaka y Hikari Ōta bajo la agencia de entretenimiento Titan Inc. Los comediantes se conocieron mientras estudiaban en el departamento de bellas artes de la Universidad Nihon y formaron Bakushō Mondai en 1988 después de abandonar la escuela. El nombre del dúo significa literalmente “estallido de risa” y “problema” o “pregunta”. Tanaka fue sometido a la extirpación de un testículo debido a un cáncer testicular, hecho que con frecuencia genera bromas por parte del boke del grupo, Ōta, así como de otras personalidades con quienes se presentan. Ōta suele ser el más destacado de los dos y con frecuencia domina los programas que conducen gracias a sus discursos extensos.
Bakushow Mondai no Totsugeki! Star Pirates - Dai-1-wa (Japan) (SoundLink)	Bakusho Mondai no Totsugeki! StarPirates es un juego SoundLink descargable de 4 partes para Satellaview que fue transmitido en al menos 2 emisiones distintas entre el 22 de junio de 1997 y el 29 de noviembre de 1997. El juego cuenta con narración de voz del dúo de comedia japonés Bakushō Mondai.
Bakushow Mondai no Totsugeki! Star Pirates - Dai-3-wa (Japan) (SoundLink) [b]	Bakusho Mondai no Totsugeki! StarPirates es un juego SoundLink descargable de 4 partes para Satellaview que fue transmitido en al menos 2 emisiones distintas entre el 22 de junio de 1997 y el 29 de noviembre de 1997. El juego cuenta con narración de voz del dúo de comedia japonés Bakushō Mondai.
Bokujou Monogatari (Japan) (Demo) (1996-7-25)	BS Bokujou Monogatari es un juego Soundlink descargable de 4 partes para Satellaview que se transmitió en al menos 2 sesiones entre el 2 de septiembre de 1996 y el 30 de noviembre de 1996. El juego es un juego de simulación de vida y se presenta como una secuela posterior a el lanzamiento anterior (julio de 1996) / lanzamiento minorista Bokujou Monogatari comúnmente conocido internacionalmente como &quot;Harvest Moon&quot;; este apodo de fanático &quot;BS Harvest Moon&quot; como resultado. Junto con el juego (generalmente inmediatamente antes y después), Bokujou Monogatari Torisetsu (un manual de instrucciones digital) y Bokujou Monogatari no Kekka (un programa de puntuación / resultados).
Bokujou Monogatari - Dai-2-wa (Japan) (1996-9-9) (SoundLink)	BS Bokujou Monogatari es un juego Soundlink descargable de 4 partes para Satellaview que se transmitió en al menos 2 sesiones entre el 2 de septiembre de 1996 y el 30 de noviembre de 1996. El juego es un juego de simulación de vida y se presenta como una secuela posterior a el lanzamiento anterior (julio de 1996) / lanzamiento minorista Bokujou Monogatari comúnmente conocido internacionalmente como &quot;Harvest Moon&quot;; este apodo de fanático &quot;BS Harvest Moon&quot; como resultado. Junto con el juego (generalmente inmediatamente antes y después), Bokujou Monogatari Torisetsu (un manual de instrucciones digital) y Bokujou Monogatari no Kekka (un programa de puntuación / resultados).
Bokujou Monogatari - Dai-4-wa (Japan) (1996-11-16) (SoundLink)	BS Bokujou Monogatari es un juego Soundlink descargable de 4 partes para Satellaview que se transmitió en al menos 2 sesiones entre el 2 de septiembre de 1996 y el 30 de noviembre de 1996. El juego es un juego de simulación de vida y se presenta como una secuela posterior a el lanzamiento anterior (julio de 1996) / lanzamiento minorista Bokujou Monogatari comúnmente conocido internacionalmente como &quot;Harvest Moon&quot;; este apodo de fanático &quot;BS Harvest Moon&quot; como resultado. Junto con el juego (generalmente inmediatamente antes y después), Bokujou Monogatari Torisetsu (un manual de instrucciones digital) y Bokujou Monogatari no Kekka (un programa de puntuación / resultados).
Bounty Sword - Satellaview Special Time Attack Version (Japan)	Versión especial de Bounty Sword para Satellaview que adapta el RPG táctico original a un formato reducido de desafío contrarreloj. Esta edición elimina gran parte del contenido completo para centrarse en completar escenarios específicos lo más rápido posible, ofreciendo una experiencia estratégica condensada diseñada para descargas por emisión satelital. Conserva su sistema híbrido de estrategia en tiempo real y pausas tácticas, pero orientado a partidas más cortas y competitivas.
BS Dragon Quest I (Japan) (SoundLink)	BS Dragon Quest es esencialmente lo mismo que Dragon Quest I de Dragon Quest I + II Recovery con múltiples peculiaridades específicas de Satellaview. Por ejemplo, las preguntas tienen un límite de tiempo, a diferencia del original. Las misiones se originan principalmente de Dragon Quest I, con algunos originales. Los fanáticos de la serie Dragon Quest / Dragon Warrior serán uno de los aspectos más populares de la película.
BS F-Zero Grand Prix - Dai-1-shuu - Knight League (Japan) (11-1) (SoundLink)	BS F-Zero Grand Prix era un juego Soundlink de cuatro partes basado en el F-Zero original. Se lanzó solo en Japón para el accesorio Satellaview de la Super Famicom. BS F-Zero Grand Prix te sumerge en un mundo futurista, donde los vehículos vuelan por la pista a casi 500 km/h, compitiendo por el primer lugar. Contenía cuatro vehículos jugables diferentes y cuatro pistas nuevas al final de cada emisión, además de las 15 pistas del juego original. Los comentarios corrieron a cargo de Bucky Koba, Tsutomu Tareki y Seiichi Hirai. Más tarde se distribuyó una secuela del juego con el nombre de BS F-Zero Grand Prix 2.
BS F-Zero Grand Prix - Dai-2-shuu - Queen League (Japan) (SoundLink)	BS F-Zero Grand Prix era un juego Soundlink de cuatro partes basado en el F-Zero original. Se lanzó solo en Japón para el accesorio Satellaview de la Super Famicom. BS F-Zero Grand Prix te sumerge en un mundo futurista, donde los vehículos vuelan por la pista a casi 500 km/h, compitiendo por el primer lugar. Contenía cuatro vehículos jugables diferentes y cuatro pistas nuevas al final de cada emisión, además de las 15 pistas del juego original. Los comentarios corrieron a cargo de Bucky Koba, Tsutomu Tareki y Seiichi Hirai. Más tarde se distribuyó una secuela del juego con el nombre de BS F-Zero Grand Prix 2.
