#key	synopsis
3-ji no Wide Shou - 5 Gatsugou (Japan) (Magazine)	3 Ji no WIDE Shou est un magazine numérique téléchargeable qui a été diffusé en 8 partie sur Satellaview en le 31 Mai 1998 et le 19 Décembre 1998. Ce titre était disponible dans la &quot;Trains station&quot; et utilisait une cartouche BS-X.
3-ji no Wide Shou - 6 Gatsugou (Japan) (Magazine)	3 Ji no WIDE Shou est un magazine numérique téléchargeable qui a été diffusé en 8 partie sur Satellaview en le 31 Mai 1998 et le 19 Décembre 1998. Ce titre était disponible dans la &quot;Trains station&quot; et utilisait une cartouche BS-X.
Actraiser (Japan) (5-14)	ActRaiser (BS) est octet pour octet identique à la version japonaise sortie. Le joueur joue le rôle de &quot;The Master&quot;, le principal protagoniste du jeu qui n'est pas controlé directement par le joueur. Le joueur contrôle un ange pendant les phases de simulation et une statue animé pendant les séquences d'action afin d'interagir &quot;The Master&quot;. Le mode vue du dessus est utilisé pour guider et protéger la nouvelle civilisation du Master, qui commence avec 2 humains. Cette phase de jeu demande au joueur d'entreprendre des actions pour encourager l'augmentation de la population, il faut pour cela plannifier des routes, utiliser la lumière, la pluie, le soleil, le vent et les tremblements de terre. L'ange peut interagir avec les monstres en utilisant des flèches pour les vaincre, il peut aussi indiquer où construire et utiliser des miracles.
AK LIVE Hit Gang (1995-4-28) + Game Tora no Ooana (1995-4-28) (Japan) (SoundLink Magazine)	Le broadcast d' AK Live Hit Gang consiste en une variété de médias (visuel, musiques, etc...), en rapport avec le groupe AK LIVE, afin de promouvoir ce dernier et sa musique.
AK LIVE Hit Gang (Japan) (1995-5-30) (Magazine)	Le broadcast d' AK Live Hit Gang consiste en une variété de médias (visuel, musiques, etc...), en rapport avec le groupe AK LIVE, afin de promouvoir ce dernier et sa musique.
Albert Odyssey (Japan) (5-31)	Albert Odyssey est un RPG tactique. Le jeu propose des phases de combat stratégique en plus d'un traditionnel mode de jeu de rôle dans un environnement 2D. Le jour joue le rôle d'Albert, un jeune chevalier héroïque qui vit dans un monde fantastique avec des monstres et des créatures mystiques. Alors que la grande partie de ce monde vit dans une paix relative à la suite de la grande guerre survenue quelques années auparavant, une faction militaire mené par le magicien noir Globus, a émergé pour conquérir les nations fraichement pacifiées et ainsi étendre son empire. Avec l'aide des amis d'Albert qui ont été engagé comme mercenaires, le joueur doit voyager dans ce monde et doit arrêter Globus pour prévenir d'un autre conflit d'une grande ampleur.
Arkanoid - Doh It Again (Japan) (En) (4-10)	Arkanoid: Doh It Again a été diffusé du 21 août 1997 au 31 mars 1998. Le joueur contrôle un navire à l'aide d'un contrôleur standard ou de la souris Super NES. Les tours sont terminés lorsque tous les blocs de couleur et d'argent de l'écran ont été éliminés. Les ennemis entrent par les portes en haut de l'aire de jeu. Tous les onze rounds, un boss ennemi devra être combattu. Certains blocs contiennent des bonus que vous devez utiliser avec votre pagaie. Le jeu comporte 99 niveaux au total, un mode édition dans lequel les utilisateurs peuvent créer leurs propres niveaux, des bonus et des capacités pour deux joueurs.
B Dash - 2 Gatsugou (Japan) (Magazine)	B Dash est un magazine numérique téléchargeable pour le Satellaview qui a été publié pendant 5 numéros entre le 15 novembre 1998 et début 1999. Les numéros de B Dash portent tous un indice Romaji &quot;X-Gatsu-Go&quot; qui indique le mois. Par exemple, le volume de février peut être retraduit en kanji par &quot;2 Gatsu Gou&quot; ou &quot;February Issue&quot; (&quot;Numéro février&quot;) en anglais.
B Dash - 3 Gatsugou (Japan) (Magazine)	B Dash est un magazine numérique téléchargeable pour le Satellaview qui a été publié pendant 5 numéros entre le 15 novembre 1998 et début 1999. Les numéros de B Dash portent tous un indice Romaji &quot;X-Gatsu-Go&quot; qui indique le mois. Par exemple, le volume de février peut être retraduit en kanji par &quot;2 Gatsu Gou&quot; ou &quot;February Issue&quot; (&quot;Numéro février&quot;) en anglais.
Bakushow Mondai no Silicon Chounaikai (1996-9-14) + Super Formation Soccer (9-22) (Japan) (SoundLink Magazine, Game)	Bakusho Mondai no Shirikon Chounaikai est une émission de radio, diffusée sur le Satelliview au Japon (SFamicom) d'un duo comique. Bakushō Mondai est un duo comique japonais composé de Yūji Tanaka et Hikari Ōta sous l'agence de divertissement Titan Inc. Les humoristes se sont rencontrés lorsqu'ils étaient étudiants au département des beaux-arts de l'université de Nihon et ont formé Bakushō Mondai en 1988 après avoir abandonné l'école. Le nom du duo signifie littéralement &quot;éclater de rire&quot;, &quot;problème/question&quot;. Tanaka, a subi l'ablation d'un testicule en raison d'un cancer des testicules, ce qui suscite souvent des blagues de la part du boke du groupe, Ōta, ainsi que d'autres personnalités avec lesquelles ils peuvent se produire. Ōta est généralement le plus en vue des deux, et domine souvent les émissions qu'ils animent avec ses discours prolixes.
