#key	synopsis
3-ji no Wide Shou - 5 Gatsugou (Japan) (Magazine)	3 Ji no WIDE Shou è una rivista digitale scaricabile trasmessa in almeno 8 segmenti per Satellaview tra il 31 maggio 1998 e il 19 dicembre 1998. Questo titolo era disponibile per il download dalla posizione della stazione ferroviaria quando si utilizzava la cartuccia BS-X .
3-ji no Wide Shou - 6 Gatsugou (Japan) (Magazine)	3 Ji no WIDE Shou è una rivista digitale scaricabile trasmessa in almeno 8 segmenti per Satellaview tra il 31 maggio 1998 e il 19 dicembre 1998. Questo titolo era disponibile per il download dalla posizione della stazione ferroviaria quando si utilizzava la cartuccia BS-X .
Actraiser (Japan) (5-14)	ActRaiser (BS) è byte per byte identico alla versione giapponese rilasciata. Il giocatore assume il ruolo di &quot;The Master&quot;, il protagonista principale del gioco che non è direttamente controllato dal giocatore. Il giocatore controlla un angelo durante le fasi di simulazione e una statua animata durante le sequenze d'azione per interagire con &quot;The Master&quot;. nnLa modalità vista dall'alto viene utilizzata per guidare e proteggere la nuova civiltà del Maestro, che inizia con 2 umani. Questa fase del gioco chiede al giocatore di intraprendere azioni per incoraggiare la crescita della popolazione, ciò richiede la pianificazione di percorsi, utilizzando luce, pioggia, sole, vento e terremoti. L'angelo può interagire con i mostri usando le frecce per sconfiggerli, può anche dire dove costruire e usare miracoli.
AK LIVE Hit Gang (1995-4-28) + Game Tora no Ooana (1995-4-28) (Japan) (SoundLink Magazine)	Le trasmissioni di AK Live Hit Gang consistevano in vari media (grafica, canzoni, ecc.) Relativi alla band giapponese, AK LIVE, e avevano lo scopo di promuovere la band e la loro musica
AK LIVE Hit Gang (Japan) (1995-5-30) (Magazine)	Le trasmissioni di AK Live Hit Gang consistevano in vari media (grafica, canzoni, ecc.) Relativi alla band giapponese, AK LIVE, e avevano lo scopo di promuovere la band e la loro musica
Albert Odyssey (Japan) (5-31)	Albert Odyssey è un videogioco di ruolo tattico sviluppato e pubblicato dal Giappone nel marzo 1993. Il gioco presenta combattimenti basati sulla strategia oltre ai tradizionali elementi di gioco di ruolo in ambienti bidimensionali. Il gioco è stato ripubblicato per Satellaview nel marzo 1998. I giocatori assumono il ruolo di Albert, l'eroico giovane spadaccino che vive in un mondo fantastico pieno di mostri e creature mitiche. Mentre gran parte del mondo rimane dopo un mondo di guerra, il mondo è diventato un mondo di guerra. Con l'aiuto degli amici di Albert e dei mercenari assoldati.
Arkanoid - Doh It Again (Japan) (En) (4-10)	Arkanoid: Doh It Again è stato trasmesso tra il 21
B Dash - 2 Gatsugou (Japan) (Magazine)	B Dash è una rivista digitale scaricabile per Satellaview che è stata pubblicata per 5 numeri tra il 15 novembre 1998 e l'inizio del 1999. I numeri di B Dash portavano tutti un pedice Romaji &quot;X-Gatsu-Go&quot; che indica il mese. Ad esempio, il volume di febbraio può essere ritradotto in kanji come &quot;2 Gatsu Gou&quot; o &quot;Numero di febbraio&quot; (&quot;Numero di febbraio&quot;) in inglese.
B Dash - 3 Gatsugou (Japan) (Magazine)	B Dash è una rivista digitale scaricabile per Satellaview che è stata pubblicata per 5 numeri tra il 15 novembre 1998 e l'inizio del 1999. I numeri di B Dash portavano tutti un pedice Romaji &quot;X-Gatsu-Go&quot; che indica il mese. Ad esempio, il volume di febbraio può essere ritradotto in kanji come &quot;2 Gatsu Gou&quot; o &quot;Numero di febbraio&quot; (&quot;Numero di febbraio&quot;) in inglese.
Bakushow Mondai no Silicon Chounaikai (1996-9-14) + Super Formation Soccer (9-22) (Japan) (SoundLink Magazine, Game)	Bakushō Mondai è un duo comico giapponese composto da Yūji Tanaka e Hikari Ōta sotto l'agenzia di intrattenimento Titan Inc. I comici si sono incontrati quando erano studenti al Dipartimento di Belle Arti della Nihon University e hanno formato Bakushō Mondai nel 1988 dopo aver abbandonato la scuola. Il nome del duo significa letteralmente &quot;scoppiare a ridere&quot;, &quot;problema/domanda&quot;. Allo tsukkomi dei due, Tanaka, è stato rimosso un testicolo a causa di un cancro ai testicoli, e questo spesso provoca battute da parte del boke del gruppo, Ōta, così come da altre personalità con cui potrebbero esibirsi. Ōta è solitamente il profilo più alto dei due e spesso domina gli spettacoli che ospitano con i suoi discorsi prolissi.
