#key	synopsis
Albert Odyssey (Japan) (5-31)	Os jogadores assumem o papel de Albert, o espadachim jovem e heróico que vive em um mundo de fantasia cheio de monstros e criaturas míticas. Enquanto grande parte do mundo permanece em relativa paz após uma grande guerra muitos anos antes, uma facção militar liderada pelo mágico sombrio Globus emergiu para conquistar as nações recém-pacificadas e expandir seu império. Com a ajuda dos amigos de Albert e dos mercenários contratados, o jogador deve viajar pelo mundo e finalmente enfrentar Golbus e suas forças para evitar outro conflito em grande escala.
Arkanoid - Doh It Again (Japan) (En) (4-10)	Arkanoid: Doh It Again foi transmitido entre 21 de agosto de 1997 e 31 de março de 1998. O jogador controla uma nave usando um controle padrão ou o Super NES Mouse. As rodadas são concluídas quando todas as cores e blocos de prata na tela foram eliminados. Os inimigos entram pelas portas na parte superior da área de jogo. A cada onze rodadas, um inimigo chefe terá que ser combatido. Alguns dos blocos contêm power-ups que você deve pegar com o remo para usar. O jogo possui um total de 99 níveis, um modo de edição no qual os usuários podem criar seus próprios níveis, power-ups e recursos para dois jogadores.
Bakushow Mondai no Silicon Chounaikai (1996-9-14) + Super Formation Soccer (9-22) (Japan) (SoundLink Magazine, Game)	Bakushō Mondai é uma dupla de comédia japonesa composta por Yūji Tanaka e Hikari Ōta sob a agência de entretenimento Titan Inc. Os comediantes se conheceram quando eram estudantes no Departamento de Belas Artes da Universidade Nihon e formaram a Bakushō Mondai em 1988 depois de abandonar a escola. O nome da dupla significa literalmente &quot;explodir em gargalhadas&quot;, &quot;problema / pergunta&quot;. O tsukkomi dos dois, Tanaka, teve um testículo removido por causa de um câncer testicular, e isso frequentemente provoca piadas do boke do grupo, Ōta, bem como de outras personalidades com quem eles possam estar se apresentando. Ōta é geralmente o perfil mais alto dos dois, e freqüentemente domina os shows que eles hospedam com seus discursos prolixos.
Bakushow Mondai no Silicon Chounaikai (1997-2-1) + Bakushow Mondai no Silicon Chounaikai (1997-2-8) (Japan) (SoundLink Magazine)	Bakushō Mondai é uma dupla de comédia japonesa composta por Yūji Tanaka e Hikari Ōta sob a agência de entretenimento Titan Inc. Os comediantes se conheceram quando eram estudantes no Departamento de Belas Artes da Universidade Nihon e formaram a Bakushō Mondai em 1988 depois de abandonar a escola. O nome da dupla significa literalmente &quot;explodir em gargalhadas&quot;, &quot;problema / pergunta&quot;. O tsukkomi dos dois, Tanaka, teve um testículo removido por causa de um câncer testicular, e isso frequentemente provoca piadas do boke do grupo, Ōta, bem como de outras personalidades com quem eles possam estar se apresentando. Ōta é geralmente o perfil mais alto dos dois, e freqüentemente domina os shows que eles hospedam com seus discursos prolixos.
Bakushow Mondai no Silicon Chounaikai (Japan) (1997-2-8) (SoundLink Magazine)	Bakushō Mondai é uma dupla de comédia japonesa composta por Yūji Tanaka e Hikari Ōta sob a agência de entretenimento Titan Inc. Os comediantes se conheceram quando eram estudantes no Departamento de Belas Artes da Universidade Nihon e formaram a Bakushō Mondai em 1988 depois de abandonar a escola. O nome da dupla significa literalmente &quot;explodir em gargalhadas&quot;, &quot;problema / pergunta&quot;. O tsukkomi dos dois, Tanaka, teve um testículo removido por causa de um câncer testicular, e isso frequentemente provoca piadas do boke do grupo, Ōta, bem como de outras personalidades com quem eles possam estar se apresentando. Ōta é geralmente o perfil mais alto dos dois, e freqüentemente domina os shows que eles hospedam com seus discursos prolixos.
BS F-Zero Grand Prix 2 - Dai-1-shuu (Japan) (SoundLink)	BS F-Zero Grand Prix 2 é a sequência direta do jogo F-Zero original lançado para o Super Famicom via Satellaview. Duas versões foram lançadas - um jogo não SoundLink e um jogo SoundLink. A versão original sem SoundLink foi lançada como BSF-Zero 2 Practice em 1º de junho de 1997 (embora a tela de título permanecesse a mesma). Continha os quatro percursos vistos pela primeira vez no BS F-Zero Grand Prix (um remake do Satellaview do original), junto com um novo percurso chamado Mute City IV. Pouco se sabe sobre a versão posterior do SoundLink fora dos vídeos sobreviventes, mas foi distribuído em duas metades em agosto de 1997 e tinha um locutor semelhante e trilha sonora refeita como a entrada anterior do Satellaview. Pelo menos a primeira semana reorganizou alguns cursos e substituiu dois por novos locais chamados &quot;Floresta I&quot; e &quot;Floresta II&quot;. Presumindo que nenhuma área foi repetida, isso provavelmente significa que a versão do SoundLink tinha o dobro do total de cursos. Além disso, pode-se perceber que o jogador não pode escolher entre os modos Grand Prix e Practice na versão SoundLink; como se tratava de uma transmissão ao vivo, o jogador é forçado a jogar cada percurso em um modo de treino cronometrado e, em seguida, a corrida do Grande Prêmio.
BS F-Zero Grand Prix 2 - Practice (Japan) (6-7)	BS F-Zero Grand Prix 2 é a sequência direta do jogo F-Zero original lançado para o Super Famicom via Satellaview. Duas versões foram lançadas - um jogo não SoundLink e um jogo SoundLink. A versão original sem SoundLink foi lançada como BSF-Zero 2 Practice em 1º de junho de 1997 (embora a tela de título permanecesse a mesma). Continha os quatro percursos vistos pela primeira vez no BS F-Zero Grand Prix (um remake do Satellaview do original), junto com um novo percurso chamado Mute City IV. Pouco se sabe sobre a versão posterior do SoundLink fora dos vídeos sobreviventes, mas foi distribuído em duas metades em agosto de 1997 e tinha um locutor semelhante e trilha sonora refeita como a entrada anterior do Satellaview. Pelo menos a primeira semana reorganizou alguns cursos e substituiu dois por novos locais chamados &quot;Floresta I&quot; e &quot;Floresta II&quot;. Presumindo que nenhuma área foi repetida, isso provavelmente significa que a versão do SoundLink tinha o dobro do total de cursos. Além disso, pode-se perceber que o jogador não pode escolher entre os modos Grand Prix e Practice na versão SoundLink; como se tratava de uma transmissão ao vivo, o jogador é forçado a jogar cada percurso em um modo de treino cronometrado e, em seguida, a corrida do Grande Prêmio.
BS Fire Emblem - Akaneia Senki Hen - Dai-1-wa - Palace Kanraku (Japan) (4-4) (SoundLink)	BS Fire Emblem: Akaneia Senki é um jogo Soundlink de 4 partes para download para o Satellaview que foi transmitido em pelo menos três séries distintas entre 28 de setembro de 1997 e 1º de maio de 1999. Os quatro capítulos de BS Fire Emblem estavam no mesmo universo de Emblema de Fogo: Ankoku Ryu para Hikari no Tsurugi e Monshou no Nazo. Cada segmento foi definido antes dos eventos do capítulo 1 de ambos os jogos.
BS Fire Emblem - Akaneia Senki Hen - Dai-2-wa - Akai Ryuu Kishi (Japan) (4-13) (SoundLink)	BS Fire Emblem: Akaneia Senki é um jogo Soundlink de 4 partes para download para o Satellaview que foi transmitido em pelo menos três séries distintas entre 28 de setembro de 1997 e 1º de maio de 1999. Os quatro capítulos de BS Fire Emblem estavam no mesmo universo de Emblema de Fogo: Ankoku Ryu para Hikari no Tsurugi e Monshou no Nazo. Cada segmento foi definido antes dos eventos do capítulo 1 de ambos os jogos.
BS Fire Emblem - Akaneia Senki Hen - Dai-3-wa - Seigi no Touzokudan (Japan) (4-21) (SoundLink)	BS Fire Emblem: Akaneia Senki é um jogo Soundlink de 4 partes para download para o Satellaview que foi transmitido em pelo menos três séries distintas entre 28 de setembro de 1997 e 1º de maio de 1999. Os quatro capítulos de BS Fire Emblem estavam no mesmo universo de Emblema de Fogo: Ankoku Ryu para Hikari no Tsurugi e Monshou no Nazo. Cada segmento foi definido antes dos eventos do capítulo 1 de ambos os jogos.
BS Fire Emblem - Akaneia Senki Hen - Dai-4-wa - Hajimari no Toki (Japan) (4-28) (SoundLink)	BS Fire Emblem: Akaneia Senki é um jogo Soundlink de 4 partes para download para o Satellaview que foi transmitido em pelo menos três séries distintas entre 28 de setembro de 1997 e 1º de maio de 1999. Os quatro capítulos de BS Fire Emblem estavam no mesmo universo de Emblema de Fogo: Ankoku Ryu para Hikari no Tsurugi e Monshou no Nazo. Cada segmento foi definido antes dos eventos do capítulo 1 de ambos os jogos.
