#key	name	year	genre	developer	players
3-D Tetris (USA)	3D Tetris	1996	Puzzle	T&E Soft	1
Bound High (World) (Proto 2)	Bound High!	1996	Various	Japan System Supply	1
Dragon Hopper (Japan, USA) (En,Ja) (Switch Online)	Dragon Hopper	2026	Platform / Run & Jump/Platform	Intelligent Systems	1
Galactic Pinball (Japan, USA) (En)	Galactic Pinball	1995	Pinball	Intelligent Systems	1
Golf (USA)	Golf	1995	Sports / Golf/Sports	Technical Engineering Support	1
Innsmouth no Yakata (Japan)	Insmouse No Yakata	1995	Shooter / FPV/Shooter	Betop	1
Jack Bros. (USA)	Jack Bros.	1995	Adventure	Atlus	1
Mario Clash (Japan, USA) (En)	Mario Clash	1995	Platform	Nintendo	1
Mario's Tennis (Japan, USA) (En)	Mario's Tennis	1995	Sports / Tennis/Sports	Nintendo	1
Nester's Funky Bowling (USA)	Nester's Funky Bowling	1996	Sports / Bowling/Sports	Saffire	1-2
Niko-chan Battle (Japan) (Proto)	Faceball	1996	Shooter / FPV/Shooter	Bullet Proof Software	1
Panic Bomber (USA)	Panic Bomber	1995	Puzzle / Fall/Puzzle	Hudson Soft	1
Red Alarm (USA)	Red Alarm	1995	Simulation	Technical Engineering Support	1
SD Gundam - Dimension War (Japan)	SD Gundam: Dimension War	1995	Strategy	Bandai	1
Space Invaders - Virtual Collection (Japan)	Space Invaders - Virtual Collection	1995	Compilation/Shooter / Space Invaders Like/Shooter/Shoot'em Up	Taito	1
Space Squash (Japan)	Space Squash	1995	Sports	Tomcat System	1
Teleroboxer (Japan, USA) (En)	Teleroboxer	1995	Sports / Boxing/Sports	Nintendo	1
V-Tetris (Japan) (En)	V-Tetris	1995	Puzzle	Locomotive	1
Vertical Force (USA)	Vertical Force	1995	Shoot'em Up / Vertical/Shoot'em Up	Hudson Soft	1
Virtual Bowling (Japan) (En)	Virtual Bowling	1995	Sports / Bowling/Sports	Athena	1
Virtual Boy Wario Land (Japan, USA) (En)	Virtual Boy Wario Land	1995	Platform	Nintendo	1
Virtual Fishing (Japan)	Virtual Fishing	1995	Fishing/Hunting and Fishing	Locomotive	1
Virtual Lab (Japan)	Virtual Lab	1995	Puzzle	Nacoty	1
Virtual League Baseball (USA)	Virtual League Baseball	1995	Sports / Baseball/Sports	Kemco	1
Virtual League Baseball 2 (USA) (Proto)	Virtual League Baseball 2				
Waterworld (USA)	Waterworld	1995	Shooter / Vehicle, TPV/Shooter	Ocean	1
Zero Racers (Japan, USA) (En) (Switch Online)	Zero Racers	2026	Racing, Driving	Nintendo	1
