#name	crc	size	key
3-D Tetris (USA)	bb71b522	1048576	3-D Tetris (USA)
Bound High (World) (Proto 1) [b]	e81a3703	2097152	Bound High (World) (Proto 2)
Bound High (World) (Proto 2)	e365ddd3	2097152	Bound High (World) (Proto 2)
Dragon Hopper (Japan, USA) (En,Ja) (Switch Online)	193c1a2f	2097152	Dragon Hopper (Japan, USA) (En,Ja) (Switch Online)
Galactic Pinball (Japan, USA) (En)	c9710a36	1048576	Galactic Pinball (Japan, USA) (En)
Golf (USA)	2199af41	2097152	Golf (USA)
Innsmouth no Yakata (Japan)	83cb6a00	1048576	Innsmouth no Yakata (Japan)
Jack Bros. (USA)	a44de03c	1048576	Jack Bros. (USA)
Jack Bros. no Meiro de Hiihoo! (Japan)	cab61e8b	1048576	Jack Bros. (USA)
Mario Clash (Japan, USA) (En)	a47de78c	1048576	Mario Clash (Japan, USA) (En)
Mario's Tennis (Japan, USA) (En)	7ce7460d	524288	Mario's Tennis (Japan, USA) (En)
Nester's Funky Bowling (USA)	df4d56b4	2097152	Nester's Funky Bowling (USA)
Niko-chan Battle (Japan) (Proto)	f3cd40dd	1048576	Niko-chan Battle (Japan) (Proto)
Panic Bomber (USA)	19bb2dfb	524288	Panic Bomber (USA)
Red Alarm (Japan)	7e85c45d	1048576	Red Alarm (USA)
Red Alarm (USA)	aa10a7b4	1048576	Red Alarm (USA)
SD Gundam - Dimension War (Japan)	44788197	1048576	SD Gundam - Dimension War (Japan)
Space Invaders - Virtual Collection (Japan)	fa44402d	524288	Space Invaders - Virtual Collection (Japan)
Space Pinball (Japan) (En) (Proto)	44c2b723	2097152	Galactic Pinball (Japan, USA) (En)
Space Squash (Japan)	60895693	524288	Space Squash (Japan)
T&E Virtual Golf (Japan)	6ba07915	2097152	Golf (USA)
Teleroboxer (Japan, USA) (En)	36103000	1048576	Teleroboxer (Japan, USA) (En)
Tobidase! Panibon (Japan)	40498f5e	524288	Panic Bomber (USA)
V-Tetris (Japan) (En)	3ccb67ae	524288	V-Tetris (Japan) (En)
Vertical Force (Japan)	9e9b8b92	1048576	Vertical Force (USA)
Vertical Force (USA)	4c32ba5e	1048576	Vertical Force (USA)
Virtual Bowling (Japan) (En)	20688279	1048576	Virtual Bowling (Japan) (En)
Virtual Boy Wario Land (Japan, USA) (En)	133e9372	2097152	Virtual Boy Wario Land (Japan, USA) (En)
Virtual Fishing (Japan)	526cc969	1048576	Virtual Fishing (Japan)
Virtual Lab (Japan)	8989fe0a	1048576	Virtual Lab (Japan)
Virtual League Baseball (USA)	736b40d6	1048576	Virtual League Baseball (USA)
Virtual League Baseball 2 (USA) (Proto)	8daea1bf	2097152	Virtual League Baseball 2 (USA) (Proto)
Virtual Pro Yakyuu '95 (Japan)	9ba8bb5e	1048576	Virtual League Baseball (USA)
Waterworld (USA)	82a95e51	2097152	Waterworld (USA)
Zero Racers (Japan, USA) (En) (Switch Online)	71553796	1048576	Zero Racers (Japan, USA) (En) (Switch Online)
