#key	synopsis
3-D Tetris (USA)	3D Tetris ist ein 3D-Tetris-Spiel auf Virtual Boy mit 3 Modi. Die erste besteht aus fünf Schichten von Tetris-Blöcke. Jedes Mal, wenn Sie füllen eine Schicht die Blöcke fallen, verschwinden und Sie werden mit Punkten belohnt. In der zweiten, legen Sie die Blöcke rund um das Zentrum von einem Brunnen, das Ziel, sie verschwinden zu lassen ist. Im dritten Modus wird eine Form vor dem Beginn des Spiels veröffentlicht. Sie werden diese Form perfekt reproduzieren müssen.
Bound High (World) (Proto 2)	Bound High eintaucht Spieler in mehreren 3D-Spiel Herausforderung Ebenen.
Galactic Pinball (Japan, USA) (En)	Galactic Pinball ist ein Flipper-Videospiel im Jahr 1995 auf Virtual Boy veröffentlicht. Zusätzlich zu den hohen Noten, können Sie zwischen vier Flippertische wählen. Diese werden genannt Alien, UFO, Colony und kosmisch.
Golf (USA)	Golf ist ein Golf-Videospiel im Jahr 1995 auf Virtual Boy veröffentlicht. Golf kommt in einer 3D-Perspektive und enthält zwei Modi &quot;Turnier&quot; und &quot;Bärenspiel&quot; sowie 18 Löcher während des Kurses.
Innsmouth no Yakata (Japan)	Innsmouth no Yakata ist ein Videospiel -Shooter im Jahr 1995 auf Virtual Boy veröffentlicht. Das Ziel ist es, den Ausgang aus einem Labyrinth von Gängen mit festen Türen Monster in einem bestimmten Zeitraum zu finden. Zur Verteidigung gegen Monster, wird unser Held mit einer Pistole bewaffnet.
Jack Bros. (USA)	Jack Bros., ist ein Abenteuer-Videospiel im Jahr 1995 auf Virtual Boy veröffentlicht. Einmal im Jahr, an Halloween, die Tür zwischen unserem Land und die Feen öffnet. Alle Fee sollte Fairieland 23.00 Uhr, Rückkehr andernfalls werden sie für immer verbannt werden. Sie müssen eine von drei Jack Bros. als Charakter wählen. Jeder hat seine eigene Attribute und Waffen und Spezialattacken .
Mario Clash (Japan, USA) (En)	Mario Clash ist ein Spiel von Out-Plattformen auf Virtual Boy. Der Spieler verkörpert Mario. The Clash Haus-Turm wurde von Monstern überfallen . Dies ist Mario, um die Aufgabe zu evakuieren ihnen anvertrauten. Aber der Turm ist schwer zugänglich und Mario ist gezwungen, in großen Räumen zu kämpfen bestehen aus langen Plattformen und in den Schlauch.
Mario's Tennis (Japan, USA) (En)	Mario Tennis Tennis ist ein Spiel im Jahr 1995 auf Virtual Boy veröffentlicht. Sieben Figuren aus dem Mario-Universum vorhanden sind: Mario, Luigi, Toad, Pfirsich, Koopa, Yoshi und Donkey Kong Jr. nur auf einem kurzen Rohr umgeben von einer Landschaft spielen.
Nester's Funky Bowling (USA)	Nester Funky Bowling ist ein Bowling-Spiel im Jahr 1996 auf Virtual Boy veröffentlicht. Funky Bowling Nester ist ein klassisches Bowling-Simulation. Sie können den Modus Bowl-Spiel wählen: Wenn Sie für die Punkte spielen wollen, um in der Highscore -Liste einschreiben, Praktisch: wenn Sie nur einmal üben wollen, und die letzte Herausforderung: Wenn Sie spielen möchten mit vordefinierten Aufgaben.
Niko-chan Battle (Japan) (Proto)	Faceball („NikoChan Battle“ auf Japanisch, was „Kampf des glücklichen Gesichts“ bedeutet) war eines der Spiele, die das Virtual Boy GameLink-Kabel verwenden sollten, das Multiplayer ermöglicht hätte, aber letztendlich nie das Licht der Welt erblickte. Das Spiel wurde nie offiziell auf Virtual Boy veröffentlicht. Eine Gameboy-Version und eine SNES-Version (Faceball 2000) werden gut bearbeitet. In diesem Spiel musst du Bälle schießen, die wie Smileys in einem Labyrinth aussehen. Je weiter man in den Levels voranschreitet, desto kleiner werden diese Smileys.
