#key	synopsis
3-D Tetris (USA)	Un juego de Tetris en 3D con tres modos de juego: A. Aparece un pozo tridimensional, lo suficientemente grande como para contener cinco capas de bloques de Tetris. Cada vez que completas una capa con bloques que caen, esta se desvanecerá y recibirás una considerable dosis de puntos. Si alguna vez apilas sobre una de las cinco capas, perderás una de ellas, una vez que las cinco se hayan perdido, tu juego habrá terminado. B. En este modo, coloca bloques alrededor del centro del pozo, cualquier bloque colocado en el centro se desvanecerá, a menos que el bloque complete una capa, en cuyo caso desaparecerá. C. En este modo, se mostrará una forma antes de que comience el juego. Tendrás que replicar esta forma perfectamente, un bloque fuera de lugar y tu juego habrá terminado. Triunfa y después de una breve animación te mostrará una nueva forma.
Bound High (World) (Proto 2)	Bound High sumerge a los jugadores en múltiples niveles de desafío del juego en 3D.
Galactic Pinball (Japan, USA) (En)	Galactic Pinbal es un juego de pinball 3D en un ambiente espacial. Hay 4 mesas espaciales diferentes que puedes elegir, más un juego de bonificación. Haz rebotar la bola para destruir las naves alienígenas y así salvar el mundo.
Golf (USA)	Juega un circuito de 18 hoyos en este juego de golf en 3D. Elije tu club, ten en cuenta el viento y las condiciones del recorrido, oscila mirando el medidor. Ten cuidado con los peligros de este circuito, ya que desafiará a jugadores de todos los niveles.
Innsmouth no Yakata (Japan)	Innsmouth no Yakata es un shooter videojuego lanzado en 1995 sobre Virtual Boy. El objetivo es encontrar la salida de un laberinto de pasillos con puertas sólidas monstruos en un período determinado de tiempo. Para la defensa contra los monstruos, nuestro héroe está armado con una pistola.
Jack Bros. (USA)	Una vez al año, en Halloween, se abre el portal entre el mundo de las hadas y el mundo de los humanos, lo que permite que las hadas vengan a visitar a los niños por un día. Sin embargo, deben regresar a casa antes del final del día; de lo contrario, nunca más podrán volver al Mundo de las Hadas. Depende de ti llevar a Jack a casa antes de que termine Halloween.
Mario Clash (Japan, USA) (En)	Este juego es esencialmente una secuela de un solo jugador de Mario Bros. Mientras que los juegos de Super Mario Advance contendrían una versión mejorada de Mario Bros., Mario Clash contiene muchas más adiciones y cambios en el juego. Como antes, el objetivo es limpiar una pantalla de enemigos y pasar al siguiente nivel. Sin embargo, en lugar de hacer esto volteando a un enemigo desde abajo y pateándolos, les arrojas proyectiles. Además, aprovechando la profundidad adicional de Virtual Boy, hay un área frontal y una zona posterior que se puede recorrer a través de las tuberías. Las proyectiles también pueden arrojarse contra los enemigos en la otra área de profundidad.
Mario's Tennis (Japan, USA) (En)	En Mario Tennis puedes elegir entre siete personajes diferentes, (Mario, Luigi, Princesa Toadstool, Yoshi, Toad, Koopa Troopa y Donkey Kong Jr.) todos con diferentes niveles de habilidad, para jugar uno contra el otro en partidos individuales o de dobles. También puedes jugar en un modo de exhibición o torneo. En el modo regular, juegas contra un oponente que eliges para una o tres rondas. En el modo torneo, puedes jugar contra otros tres en un torneo para ver quién es el mejor!.
Nester's Funky Bowling (USA)	Nester de Funky Bowling es un juego de bolos lanzado en 1996, sobre Virtual Boy. Funky Bowling Nester es una simulación de bolos clásico. Usted puede elegir el modo de juego Bowl: si desea jugar por puntos, con el fin de inscribirse en la lista de puntuaciones, práctico: si lo que desea es practicar una vez, y el último desafío: si quieres jugar con tareas predefinidas.
Niko-chan Battle (Japan) (Proto)	En un laberinto, que omite por completo todos los detalles innecesarios e incluso texturas, tienes que perseguir y disparar a todos los enemigos en un cierto límite de tiempo, que se hace más pequeño de un nivel a otro. Un radar en la esquina superior derecha y un mapa del laberinto, que puede mostrar presionando Inicio, te ayudan a ubicar a tus enemigos. Hay un total de 11 enemigos llamados &quot;Shot Me&quot;, &quot;Ninja&quot;, &quot;Death&quot;, &quot;Stalker&quot;, &quot;Invisible&quot;, &quot;Bound&quot;, &quot;Shieldman&quot;, &quot;Ghost&quot;, &quot;Hydra&quot;, &quot;Wraith&quot; y &quot;Berserker&quot;. &quot;. Cada uno actúa diferente, lo que requiere diferentes tácticas. Por ejemplo, &quot;Shieldman&quot; se esconde detrás de un escudo indestructible, mientras que &quot;Berserker&quot; se encuentra con el jugador y te golpea.
Panic Bomber (USA)	¡Prepárate para la acción explosiva con Bomberman! Detona los mundos de las Terribles Ruinas, el Bosque Siniestro, y el Desolador Desierto. Conquista la isla de la Niebla y captura las tres variantes de poder celestial. ¡Que no te entre el pánico! O serás calcinado por la codiciosa Sra. Flashy o el mortal Conde Dracu-Doom. Incendia el temido castillo Doom con bombasticos movimientos y una buena estrategia de combustión. Sólo entonces podrás abrir las puertas de la legendaria Estatua de Oro de Bomberman. ¡Una desconcertante explosión de puzzles!
Red Alarm (USA)	A comienzos del siglo XXI, una Guerra Mundial no cesó durante 70 años devastadores. No fue sino hasta la creación de un programa avanzado llamado K.O.S (Killer Operating System) que terminó la amenaza para el mundo. La gente se regocijó cuando el sistema eliminó al enemigo y se restableció la paz. Con un nuevo gobierno en su lugar, se ordenó destruir todas las armas para proteger al mundo de cualquier amenaza futura. KAOS, como se llamó más tarde, también estaba en la lista de armas que se destruirían. Pero KAOS tenía su propio plan, desconocido para la gente. Se había convertido en un ser consciente, y tenía un objetivo ... sobrevivir. Al desatar sus armas en el mundo indefenso, el verdadero caos estalló. Depende de ti, en el último guerrero que queda, llegar al cielo y acabar con la amenaza de una vez por todas.
SD Gundam - Dimension War (Japan)	Basado en la popular franquicia anime, SD Gundam Dimension War es un juego de estrategia por turnos en el que estás al mando de una pequeña fuerza de combate mientras viajas a través de la galaxia con el objetivo de acabar con las unidades enemigas que encuentres. El juego está dividido en dos partes: una pantalla del mapa en la que maniobras con tus tropas y una vista cercana para las batallas.
Space Invaders - Virtual Collection (Japan)	¡Atención a todos los terrícolas! Se han identificado cerca infinidad de hordas alienígenas. Evita que los peligrosos Space Invaders aterricen en tu territorio. Usa tu cañón para defenderte de las oleadas de invasores alienígenas que desciendea a tu posición. ¡No dejes que caigan al suelo o todo habrá terminado para ti y la Tierra! ¡Destrúyelos y gana puntos!
Space Squash (Japan)	Space Squash es uno de esos juegos en los que la premisa es tan simple que podrías escribirla en el reverso de un sello y aún así tener espacio de sobra. Guardas un extremo de un túnel y tu oponente protege al otro mientras ambos flotan golpeando una bola con púas. traspasa la linea de tu oponente para anotar un punto. Gana el que priero que acumule tres victorias.
