#key	synopsis
3-D Tetris (USA)	3D Tetris est un jeu 3D Tetris sur Virtual Boy composé de 3 modes. Le premier contient cinq couches de blocs de Tetris. Chaque fois que vous terminez une couche les blocs tombent, disparaissent et vous serez récompensé par des points. Dans le deuxième, vous placez les blocs autour du centre d'un puits, le but étant de les faire disparaître. Dans le troisième mode, une forme sera affichée avant le début du match. Vous aurez à reproduire cette forme parfaitement.
Bound High (World) (Proto 2)	Bound High! fait parti des jeux qui auraient pu sauver le Virtual boy si la console avait été relancée. Mais le jeu plusieurs fois repoussé a fini par être annulé devant le peu de succès de la console malgré avoir été mené à terme. Il s'agit donc d'une version non officielle. Chalvo, le robot bondissant, traque des envahisseurs aliens qui menacent la quiétude des habitants de la Terre dans des niveaux 3D situés dans l'espace, au-dessus de la Terre ou dans des univers parellèles. Le jeu propose quatre mode: -mode &quot;Aventure of Chalvo&quot; avec 3 niveaux de difficulté au travers de 4 monde composés de 10 stages chacun (11 pour le quatrième monde) avec cinématiques, boss et stages bonus - mode &quot;Score Attack&quot; avec 16 niveaux ou il faut atteindre un score précis. - mode &quot;Random Game&quot; qui génére des niveaux aléatoire ou l'objectif est juste de s'amuser. - mode &quot;Pocket and Cushion&quot;, une sorte de mini-golfe o Chalvo doit pousser des balles dans des trous.
Galactic Pinball (Japan, USA) (En)	Galactic Pinball est un jeu vidéo de flipper sorti en 1995 sur Virtual Boy. Outre les scores élevés, vous pouvez choisir entre quatre tables de flipper. Ceux-ci sont nommés Extraterrestre, OVNI, Colony et cosmique.
Golf (USA)	Golf est un jeu vidéo de golf sorti en 1995 sur Virtual Boy. Golf se présente dans une perspective 3D et contient 2 modes &quot;tournament&quot; et &quot;Stroke play&quot; ainsi que 18 trous durant les parcours. Si l'animation est reussie et le gameplay fun, il n'y a malheureusement qu'un seul parcours et pas de système de sauvegardes.
Innsmouth no Yakata (Japan)	Insmouse no Yakata (traduction: &quot;Le Manoir d'Innsmouth&quot;) est un jeu vidéo de tir subjectif sorti en 1995 sur Virtual Boy. L'histoire est basée sur l'univers du Mythe de Cthulhu d'H.P. Lovecraft, plus précisément sur la nouvelle &quot;Le Cauchemar d'Innsmouth&quot; écrite en 1931 et parue en Avril 1936. Le but du jeu est de trouver la sortie de ce manoir dans d'un labyrinthe de couloirs avec des portes pleines de monstres et dans un laps de temps donné. Le joueur traverse 13 des 45 niveaux déterminés par le temps mis à parcourir chaque niveau et donnant accès a une des 4 fins possibles du jeu. Il faut parcourir les 13 niveaux dans le temps imparti et sans mourir pour obtenir la fin A. Pour se défense contre les monstres, notre héros, probablement Robert Olmstead de la nouvelle d'H.P. Lovecraft, est armé d'un pistolet et d'un nombre de munitions très limité.
Jack Bros. (USA)	Jack Bros, est un jeu vidéo d'aventure sorti en 1995 sur Virtual Boy. Une fois par an, à Halloween, la porte entre notre pays et celui des fées s'ouvre. Toutes les fées doivent revenir à Fairieland à 23h00, sinon, elles seront bannies à jamais. Vous devez choisir l'un des trois Jack Bros comme votre personnage. Chacun a ses propres attributs et des armes et attaques spéciales.
Mario Clash (Japan, USA) (En)	Mario Clash est un jeu de plates-formes sorti sur Virtual Boy. Le joueur y incarne Mario. La Clash House Tower a été envahie par des monstres. C'est à Mario qu'on confie la tâche de les en évacuer. Mais la tour est difficile d'accès et Mario est contraint de se battre dans de grandes pièces constituées de longues plates-formes, ainsi que dans la tuyauterie.
Mario's Tennis (Japan, USA) (En)	Mario's Tennis est un jeu de Tennis sorti en 1995 sur Virtual Boy. Sept personnages de l'univers de Mario sont présents : Mario, Luigi, Toad, Peach, Koopa, Yoshi et Donkey Kong Jr. jouant seulement sur un seul court entouré d'un paysage de tuyaux.
Nester's Funky Bowling (USA)	Nester's Funky Bowling est une simulation de bowling classique. Vous pouvez choisir entre le mode de jeu Bowl : si vous voulez jouer pour des points, dans le but de vous inscrire dans la liste des meilleurs scores, Pratique : si vous souhaitez simplement pratiquer une fois, et le dernier Défi : si vous voulez jouer avec des tâches prédéfinies.
Niko-chan Battle (Japan) (Proto)	Faceball (&quot;NikoChan Battle&quot; en Japonais, ce qui signifie &quot; Fight of happy face&quot;) était un des jeux prévus pour utiliser le Virtual Boy GameLink cable qui aurait permis le multijoueur mais qui n'a finalement jamais vu le jour. Le jeu n'est d'ailleurs jamais sorti officiellement sur Virtual boy. Une version gameboy et une version SNES (Faceball 2000) seront elles bien éditées. Il s'agit d'un jeu ou il faut tirer sur des boules rassemblant à des smileys dans un labyrinthe. Plus on avance dans les niveaux, plus ces smileys diminuent de taille.
Panic Bomber (USA)	Panic Bomber est un jeu vidéo développé par Hudson Soft, sorti en 1995 sur Virtual Boy. Bomberman est venu sur une île mystérieuse dans le but précis de s'emparer de la légendaire « Golden Bomberman Statue »... Mais pour y accéder, 3 médailles sont nécessaires. Malheureusement, des boss se sont emparés des médailles et, pour les récupérer, il faut battre ces derniers et leurs sbires.
Red Alarm (USA)	Red Alarm est un jeu vidéo de type rail-shooter sorti en 1995 sur Virtual Boy. Une dévastatrice guerre mondiale a ravagé la Terre pendant 70 ans à compter de la fin du 20ème siècle. Pendant les derniers stades de la guerre, un système de combat automatisé appelé &quot;KOS&quot; (Système d'exploitation tueur) a été développé.
SD Gundam - Dimension War (Japan)	SD Gundam : Dimension War est un jeu de stratégie au tour par tour sur Virtual Boy. C'est une adaptation en jeu vidéo de la série en arcade basée sur l'anime Mobile Suit Gundam et notamment Super Deformed Gundam.
Space Invaders - Virtual Collection (Japan)	Space Invaders est un jeu développé par la société japonaise Taito, sorti en 1995 sur Virtual Boy. Le principe est de détruire des vagues d'aliens au moyen d'un canon laser en se déplaçant horizontalement sur l'écran.
Space Squash (Japan)	Space Squash est un jeu de sport sorti en 1995 sur Virtual Boy. Space Squash est une sorte de Pong en trois dimensions. Le joueur contrôle un robot capable de se déplacer vers le haut, le bas, la gauche et la droite afin d'intercepter une balle qui se dirige vers lui.
Teleroboxer (Japan, USA) (En)	Teleroboxer place au 22e siècle. Les êtres humains ont développé un nouveau type de robot appelée Telerobotnics qui permet d'imiter parfaitement les mouvements d'un être humain. Le but de ces robots était de permettre aux humains d'effectuer des travaux dans des conditions normalement insupportables. Le docteur Edward Maki Jr. a imaginé une façon d'accroître l'intérêt des telerobotnics en créant un tournoi qui oppose deux de ces robots dans un sport intitulé le teleroboxing. Après sa conception, le teleroboxing est devenu très populaire dans le monde entier, chacun pensant être le meilleur. Cela a conduit à la création d'un tournoi mondial de teleroboxing.
V-Tetris (Japan) (En)	V-Tetris est un puzzle-game sorti en 1995 sur Virtual Boy. Contrairement à 3D Tetris, le jeu reste similaire au Tetris original hormis un mode où les pièces doivent être placées dans un puzzle cylindrique en 3D.
Vertical Force (USA)	Une bataille entre l'humanité et les machines a commencé ! L'année est 210 SE (ère spatiale). L'humanité a prospéré dans l'univers. Mais quelque chose a mal tourné et l'ordinateur du gardien d'Odin, (une colonie terrienne) s'est spontanément reprogrammé. Au lieu de servir l'homme et l'envoi de minéraux sur Terre, il semble que sa nouvelle mission soit d'abattre les hommes.
Virtual Bowling (Japan) (En)	Virtual Bowling est un jeu de bowling sorti en 1995 sur Virtual Boy. Il y a trois modes de jeu : le mode &quot;standard&quot;, où vous remplissez un simple jeu de 10 images pour avoir un score élevé, le mode &quot;Tournament&quot;, ainsi que le &quot;mode de formation&quot; où vous pouvez placer librement les broches dans n'importe quelle combinaison avant chaque lancer.
Virtual Boy Wario Land (Japan, USA) (En)	Virtual Boy Wario Land est un jeu vidéo sorti en 1995 sur Virtual Boy. En vacances dans la forêt tropicale d'Awazon, Wario se repose. Soudain, il remarque d'étranges créatures masquées entrant dans une caverne secrète. Décidant de les suivre, Wario tombe alors dans une salle où est amassé un trésor fabuleux. Il essaye de le voler mais juste avant qu'il sorte de la salle, le plancher s'effondre.
Virtual Fishing (Japan)	Virtual Fishing est un jeu vidéo de pêche sorti en 1995 et sur Virtual Boy. Le jeu a été développé et édité par Pack-In-Video au Japon. L'éditeur THQ a annulé sa sortie sur le territoire américain suite aux ventes médiocres de la Virtual Boy.
Virtual Lab (Japan)	Virtual Lab est un puzzle-game sorti en 1995 sur Virtual Boy. Le jeu est un croisement entre Tetris et Pipe Dream. Des pièces tombent du haut de l'écran et doivent être disposées de manière à former des tubes complètement fermés.
Virtual League Baseball (USA)	Virtual League Baseball est un jeu de base-ball sorti en 1995 sur Virtual Boy. Vous pouvez choisir entre le jeu contre l'ordinateur, le All Star Game et la course au championnat.
Waterworld (USA)	Waterworld est un jeu vidéo d'action sorti en 1995 sur Virtual Boy, basé sur le film Waterworld. Dans un avenir proche, l'axe polaire de la terre a changé, et transformé la Terre en un océan sans fin. Ceux qui ont survécu sont maintenant à la recherche de la terre ferme.
Zero Racers (Japan, USA) (En) (Switch Online)	Zero Racers est une suite de F-Zero sur la Super Nintendo, mais il diffère sur un point important de son prédécesseur et de tous les jeux F-Zero sortis par la suite. Au lieu de courir sur des pistes futuristes avec des pilotes non moins futuristes, Zero Racers fait appel à une autre dimension. Cette fois, vous prenez place dans des véhicules ressemblant fortement à des vaisseaux spatiaux, et vous foncez à travers des tunnels qui montent, descendent, tournent à gauche et à droite. La jauge d'énergie est toujours la même, elle diminue un peu à chaque collision, mais peut être rechargée en survolant une piste d'énergie sur un bord du tunnel, la plupart du temps près de la ligne d'arrivée. Si vous perdez trop d'énergie, votre bolide perd de la vitesse, et si vous atteignez le bas de votre barre d'énergie, vous exploserez.
