#key	synopsis
3-D Tetris (USA)	3D Tetris è un gioco 3D Tetris su Virtual Boy con 3 modalità. Il primo contiene cinque strati di blocchi di Tetris. Ogni volta che completi un livello i blocchi cadono, scompaiono e sarai ricompensato con punti. Nel secondo, metti i blocchi intorno al centro di un pozzo, con l'obiettivo di farli sparire. Nella terza modalità, verrà affisso un modulo prima dell'inizio della partita. Dovrai riprodurre perfettamente quel modulo.
Bound High (World) (Proto 2)	Bound High è uno dei giochi che avrebbe potuto salvare Virtualboy se la console fosse stata rilanciata. Il gioco è stato più volte rimandato e infine annullato per il mancato successo della console, nonostante fosse stato completato. Chalvo, il robot che rimbalza, rintraccia gli invasori alieni, che minacciano la pace degli abitanti della Terra, in livelli 3D situati nello spazio - sopra la Terra o in universi simili.
Galactic Pinball (Japan, USA) (En)	Galactic Pinball è un videogioco di flipper pubblicato nel 1995 su Virtual Boy. Oltre ai punteggi più alti, puoi scegliere tra quattro tavoli da flipper. Questi sono chiamati Alien, UFO, Colony e cosmic.
Golf (USA)	Golf è un videogioco di golf pubblicato nel 1995 su Virtual Boy. Il golf è disponibile in una prospettiva 3D e contiene due modalità &quot;torneo&quot; e &quot;gioco con l'orso&quot; e 18 buche durante il corso.
Innsmouth no Yakata (Japan)	Nel profondo della foresta nera come la pece dei morti si cela un terribile segreto, una villa piena di mostri orrendi chiamati Innsmouth Mansion! Una volta che qualcuno entra, dovrà scappare da ogni piano prima che sia troppo tardi. Tuttavia, non importa quanti mostri affronterai, non sarai in grado di scappare dalle grinfie malvagie di Innsmouth così facilmente. Riuscirai a sfuggire agli orribili mostri di Innsmouth e raggiungere la salvezza? Tutto dipende da te.
Jack Bros. (USA)	Jack Bros., è un videogioco di avventura pubblicato nel 1995 su Virtual Boy. Una volta all'anno, ad Halloween, si apre la porta tra il nostro Paese e le fate. Tutte le fate dovrebbero tornare nel Paese delle Fate alle 23:00, altrimenti saranno bandite per sempre. Devi scegliere uno dei tre Jack Bros. come personaggio. Ognuno ha i suoi attributi, armi e attacchi speciali.
Mario Clash (Japan, USA) (En)	Mario Clash è un gioco di piattaforme su Virtual Boy. Il giocatore incarna Mario. La Clash House Tower è stata invasa dai mostri. Questo è Mario affidato al compito di evacuarli. Ma la torre è di difficile accesso e Mario è costretto a combattere in grandi stanze costituite da lunghe piattaforme e nei tubi.
Mario's Tennis (Japan, USA) (En)	Mario's Tennis Tennis è un gioco pubblicato nel 1995 su Virtual Boy. Sono presenti sette personaggi dell'universo di Mario: Mario, Luigi, Toad, Peach, Koopa, Yoshi e Donkey Kong Jr. che giocano solo su un corto pipa circondati da un paesaggio.
Nester's Funky Bowling (USA)	Nester's Funky Bowling è un gioco di bowling pubblicato nel 1996 su Virtual Boy. Funky Bowling Nester è una classica simulazione di bowling. Puoi scegliere la modalità Bocce: se vuoi giocare a punti, per iscriverti alla classifica, Pratica: se vuoi esercitarti solo una volta, e l'ultima sfida: se vuoi giocare con compiti predefiniti.
Niko-chan Battle (Japan) (Proto)	In un labirinto, che omette completamente tutti i dettagli non necessari e persino le trame, devi inseguire e sparare a tutti i nemici in un certo limite di tempo, che si riduce di livello in livello. Un radar nell'angolo in alto a destra e una mappa del labirinto, che puoi visualizzare premendo Start, ti aiutano a localizzare i tuoi nemici. Ci sono un totale di 11 nemici chiamati &quot;Shot Me&quot;, &quot;Ninja&quot;, &quot;Death&quot;, &quot;Stalker&quot;, &quot;Invisible&quot;, &quot;Bound&quot;, &quot;Shieldman&quot;, &quot;Ghost&quot;, &quot;Hydra&quot;, &quot;Wraith&quot; e &quot; Berserker&quot;. Ognuno agisce in modo diverso, richiedendo tattiche diverse. Ad esempio, &quot;Shieldman&quot; si nasconde dietro uno scudo indistruttibile, mentre &quot;Berserker&quot; incontra il giocatore e ti colpisce.
Panic Bomber (USA)	Panic Bomber è un videogioco sviluppato da Hudson Soft, pubblicato nel 1995 su Virtual Boy. Bomberman è giunto su un'isola misteriosa con lo scopo specifico di impadronirsi della leggendaria &quot;Statua di Bomberman d'oro&quot;... Ma per accedervi sono necessarie 3 medaglie. Sfortunatamente, i boss si sono impossessati delle medaglie e, per riaverle, devi sconfiggere loro e i loro scagnozzi.
Red Alarm (USA)	Irrompendo attraverso incredibili dimensioni dello spazio virtuale, la missione finale è chiara. Elimina tutti i nemici e gli ostacoli creati da KAOS e metti fine a questo minaccioso sistema di combattimento dall'interno. Impiegando un impressionante arsenale di armi ad alta tecnologia e manovre evasive, il Tech-Wing Fighter accelera. Morti rotanti, capsule spia e mech zanzare appaiono da ogni parte! Il destino dell'umanità sarà presto definito. Allarme rosso! Allarme rosso! Condizione di allarme Rosso!!
SD Gundam - Dimension War (Japan)	Basato sul popolare franchise di anime mecha, SD Gundam Dimension War è un gioco di strategia a turni in cui sei al comando di una piccola task force mentre viaggi attraverso la galassia con l'obiettivo di spazzare via le unità avversarie che incontri. Il gioco è diviso in due parti: una schermata della mappa in cui manovrare le truppe e una vista ravvicinata per le battaglie.
Space Invaders - Virtual Collection (Japan)	Attenzione a tutti i terrestri! Vicino a te sono state identificate orde aliene implacabili. Impedisci ai pericolosi Space Invaders di atterrare sul tuo territorio. Usa il tuo cannone per difenderti dalle ondate di invasori alieni in discesa. Non lasciarli cadere a terra o è tutto finito per te e per la Terra! Distruggili e guadagna punti!
Space Squash (Japan)	Space Squash è uno di quei giochi in cui la premessa è così semplice che potresti scriverla sul retro di un francobollo e avere ancora spazio libero. Tu proteggi un'estremità di un tunnel e il tuo avversario protegge l'altra mentre entrambi fluttuate facendo schioccare una palla chiodata tra di voi. Supera gli avversari per segnare un punto. Primo a tre vittorie.
Teleroboxer (Japan, USA) (En)	In un'esibizione selvaggia di mosse martellanti e azioni fulminee, pugili robotici di tutto il mondo entrano in un ring futuristico. Rispecchiando i movimenti degli umani al comando, ogni Teleroboxer è in grado di sopravvivere a partite di difesa insopportabili per l'umanità. Sbatti fino alla fine sbalorditiva per determinare il vero campione del mondo. Create con poteri Techtronic specializzati e personalità uniche, queste macchine reattive non mostrano pietà nel loro cammino verso la vetta brutale.
V-Tetris (Japan) (En)	V-Tetris è un gioco Tetris esclusivo giapponese per Virtual Boy. Non deve essere confuso con il simile titolo di Virtual Boy 3D Tetris, poiché i due giochi sono completamente diversi. V-Tetris, a differenza di 3D Tetris, è per lo più lo stesso dei giochi Tetris originali, l'unica differenza è la modalità puzzle cilindrica in cui i blocchi possono essere posizionati in una spirale 3D.
Vertical Force (USA)	Il gioco si svolge in &quot;Space Era 210&quot;. Il gigantesco computer che si prende cura di una colonia umana di nome Odino si guasta improvvisamente e decide di inviare un esercito di caccia stellari droni per distruggere la Terra. Questi droni emettono un segnale che rende inutili tutti i caccia stellari della Terra. Una squadra di archeologi trova un antico caccia stellare sul pianeta Ragnarok che è fortuitamente impermeabile al segnale dei droni. Sta al giocatore comandare questa astronave e distruggere tutti i droni alieni.
Virtual Bowling (Japan) (En)	Virtual Bowling è un gioco di bowling pubblicato nel 1995 su Virtual Boy. Ci sono tre modalità di gioco: modalità &quot;Standard&quot;, in cui completi un semplice set di 10 immagini per ottenere un punteggio elevato, modalità &quot;Torneo&quot;, nonché &quot;Modalità allenamento&quot; in cui puoi posizionare liberamente i birilli in qualsiasi combinazione prima di ogni rilascio.
Virtual Boy Wario Land (Japan, USA) (En)	Oddio!!! Preparati per una subdola caccia al tesoro con il famigerato intrigante Wario. Cattura l'oro splendente e i vasti tesori rinchiusi nelle profondità di una grotta nascosta. Ma attenzione a stagni velenosi, prigioni pericolose, mura infinite e boschi inquietanti! Cambia rapidamente Sea Dragon Wario, Eagle Wario o Bull Wario e sfrutta i loro potenti punti di forza. Spazza via i difensori delle caverne nemici con attacchi al corpo e azioni di potere. Riuscire in questo avido complotto per impadronirsi delle ricchezze di questo mondo sotterraneo e trovare questa chiave per la libertà!
Virtual Fishing (Japan)	Virtual Fishing mira a replicare l'esperienza di pesca, mettendoti contro sei avversari mentre gareggi in diverse competizioni. All'avvio del gioco ti viene presentata una schermata della mappa 3D con cinque posizioni in cui puoi competere, nonché un'area di allenamento in cui puoi abituarti ai controlli, che sono piuttosto semplici.
Virtual Lab (Japan)	Virtual Lab è un puzzle game pubblicato nel 1995 su Virtual Boy. Il gioco è un incrocio tra Tetris e Pipe Dream. Le monete cadono dalla parte superiore dello schermo e devono essere disposte in modo da formare tubi completamente chiusi.
Virtual League Baseball (USA)	Ehi batta batta swing! Ora sei nei grandi campionati virtuali. Giocando 18 squadre da tutto il mondo. Lanciare palle veloci, forkball, platine, slider e cambi. Oscillare per il recinto e posare le zeppe. Mosche che scopano. Azionamenti che si inceppano. E segnando i corridori. Tutto in 3D più grande della vita. Con un gioco singolo, tutte le modalità di gara a stelle e gagliardetti. E prendi questo: è l'unico gioco di baseball abbastanza buono da giocare nel parco giochi virtuale per ragazzi. Quindi non far cadere la palla. Prendi un lanciatore iniziale. Imposta la tua DH. E sali sul piatto.
Waterworld (USA)	IL DIACONO ASPETTA! Il Diacono non si fermerà davanti a nulla per controllare la risorsa più preziosa del mondo... E ha liberato i suoi sanguinari fumatori sulla civiltà di Atoller in una frenetica ricerca di Enola, la ragazza tatuata che detiene il segreto di Dryland. Solo tu puoi fumare i fumatori e sbaragliare il diacono! Waterworld dà vita al tuo ragazzo virtuale che urla con animazioni 3D incredibilmente fluide e realistiche, effetti particellari e grafica renderizzata con texture mappate. Quindi entra oggi in questa esperienza arcade piena di azione e scopri cos'è il gioco 3D.
Zero Racers (Japan, USA) (En) (Switch Online)	Zero Racers è il seguito di F-Zero per Super Nintendo, ma si differenzia per un aspetto importante dal suo predecessore e da tutti i giochi F-Zero successivi. Invece di gareggiare su piste futuristiche con piloti futuristici, Zero Racers utilizza un'altra dimensione. Questa volta si viaggia a bordo di veicoli che ricordano molto le astronavi e si corre attraverso tunnel che salgono, scendono, vanno a destra e a sinistra. L'indicatore di energia è sempre lo stesso e diminuisce un po' a ogni collisione, ma può essere ricaricato volando su una pista di energia su un bordo del tunnel, per lo più vicino al traguardo. Se si perde troppa energia, l'auto perde velocità e, se si raggiunge la barra dell'energia, si esplode.
