#key	synopsis
3-D Tetris (USA)	3D Tetris é um jogo 3D Tetris na Virtual Boy com 3 modos. A primeira contém cinco camadas de blocos de Tetris. Cada vez que você completar uma camada de blocos de cair, desaparecer e você será recompensado com pontos. Na segunda, você colocar os blocos em torno do centro de um poço, com o objectivo de torná-los desaparecer. No terceiro modo, uma forma serão publicadas antes do início da partida. Você terá de reproduzir essa forma perfeitamente.
Bound High (World) (Proto 2)	Bound High mergulha os jogadores em vários níveis de desafio do jogo 3D.
Galactic Pinball (Japan, USA) (En)	Galactic Pinball é um jogo de vídeo pinball lançado em 1995 no Virtual Boy. Além das pontuações mais altas, você pode escolher entre quatro mesas de pinball. Estes são nomeados Estrangeiro, UFO, Colónia e cósmica.
Golf (USA)	Golf é um jogo de vídeo de golfe lançado em 1995 no Virtual Boy. Golf vem em uma perspectiva 3D e contém dois modos de &quot;torneio&quot; e &quot;jogo do urso&quot;, bem como 18 buracos durante o curso.
Innsmouth no Yakata (Japan)	Innsmouth no Yakata é um shooter vídeo game lançado em 1995 no Virtual Boy. O objetivo é encontrar a saída de um labirinto de corredores com portas sólidas monstros em um determinado período de tempo. Para defesa contra monstros, o nosso herói está armado com uma arma.
Jack Bros. (USA)	Jack Bros., é um jogo de aventura lançado em 1995 no Virtual Boy. Uma vez por ano, no Dia das Bruxas, a porta entre o nosso país e as fadas abre. Todos fadas deve retornar ao Fairieland 23:00, caso contrário, eles serão banidos para sempre. Você deve escolher uma das três Jack Bros. como seu personagem. Cada um tem seus próprios atributos e armas e ataques especiais.
Mario Clash (Japan, USA) (En)	Mario Clash é um jogo de plataformas de fora na Virtual Boy. O jogador encarna Mario. The Clash Torre da casa foi invadida por monstros. Este é Mario confiada a tarefa de evacuação. Mas a torre é de difícil acesso e Mario é forçado a lutar em grandes salas consistem em plataformas de comprimento, e na tubulação.
Mario's Tennis (Japan, USA) (En)	Tênis de Mario é um jogo lançado em 1995 no Virtual Boy. Sete personagens do universo Mario estão presentes: Mario, Luigi, Toad, Peach, Koopa, Yoshi e Donkey Kong Jr. jogar apenas em um tubo de curta rodeado por uma paisagem.
Nester's Funky Bowling (USA)	Do Nester Funky do Bowling é um jogo de boliche lançado em 1996 no Virtual Boy. Funky do Bowling Nester é uma simulação de bowling clássico. Você pode escolher o modo de jogo Bowl: se você quiser jogar para os pontos, a fim de se inscrever na lista pontuação elevada, prático: se você quiser apenas praticar uma vez, e o último desafio: se você quer jogar com tarefas predefinidas.
Niko-chan Battle (Japan) (Proto)	Em Faceball o jogador se move em torno de uma arena em forma de labirinto com bolas flutuantes com rostos rostos felizes, seu objetivo é eliminá-las.
Panic Bomber (USA)	Panic Bomber é um jogo desenvolvido pela Hudson Soft, lançado em 1995 para Virtual Boy. Bomberman chegou a uma ilha misteriosa no propósito específico de capturar o lendário &quot;Golden Bomberman Statue&quot; ... Mas para chegar lá, são necessários 3 medalhas. Infelizmente, o chefe assumiu as medalhas e para recuperar, temos de lutar contra eles e seus capangas.
Red Alarm (USA)	Red Alarm é um jogo estilo shooter do tipo ferroviário lançado em 1995 no Virtual Boy. A devastadora guerra mundial devastou a terra por 70 anos a partir do final do século 20. Durante os últimos estágios da guerra, um sistema de combate automatizado chamado &quot;KAOS&quot; (Killer Automate Operacional System) foi desenvolvido.
SD Gundam - Dimension War (Japan)	SD Gundam: Dimension War é um jogo de estratégia baseado em turnos para Virtual Boy. É uma adaptação para vídeo game da série do arcade baseado no anime Gundam Mobile Suit incluindo Super Deformed Gundam.
Space Invaders - Virtual Collection (Japan)	Space Invaders é um jogo desenvolvido pela empresa japonesa Taito, lançado em 1995 para Virtual Boy. O princípio é destruir ondas de Aliens com um canhão laser movendo-se horizontalmente na tela.
Space Squash (Japan)	Space Squash é um jogo de esportes lançado em 1995 para o Virtual Boy. Space Squash é uma espécie de Pong tridimensional. O jogador controla um robô que pode mover-se para cima, baixo, esquerda e direita para interceptar uma bola que se move em direção a ele.
Teleroboxer (Japan, USA) (En)	Teleroboxer se passa no século 22. Os seres humanos desenvolveram um novo tipo de robô chamado Telerobotnics que permite imitar perfeitamente os movimentos de um ser humano. O propósito desses robôs era permitir que os humanos realizassem trabalho em condições normalmente insuportáveis. O Dr. Edward Maki Jr. criou uma maneira de aumentar o interesse de telerobotnics criando um torneio que coloca dois desses robôs em um esporte intitulado teleroboxing. Após o seu design, o teleroboxing tornou-se muito popular em todo o mundo, cada um pensando ser o melhor. Isso levou à criação de um torneio mundial de teleroboxing.
V-Tetris (Japan) (En)	O V-Tetris é um jogo Tetris exclusivo para japonês para o Virtual Boy. Não confundir com o título 3D Tetris, pois são jogos completamente diferentes. O V-Tetris, ao contrário do 3D Tetris, é basicamente o mesmo que os jogos originais de Tetris, sendo a única diferença o modo de quebra-cabeça cilíndrico em que os blocos podem ser colocados em uma espiral 3-D.
Vertical Force (USA)	Uma batalha entre humanidade e máquinas começou! O ano é 210 SE (idade espacial). A humanidade prosperou no universo. Mas algo deu errado e o computador do detentor de Odin (uma colônia de terra) foi reprogramado espontaneamente. Em vez de servir o homem e enviar minerais para a Terra, parece que sua nova missão é derrubar a humanidade.
Virtual Bowling (Japan) (En)	Virtual Bowling é um jogo de boliche lançado em 1995 para o Virtual Boy. Existem três modos de jogo: &quot;padrão&quot;, &quot;Torneio&quot; e &quot;treinamento&quot;.
Virtual Boy Wario Land (Japan, USA) (En)	Virtual Boy Wario Land é um jogo lançado em 1995 para o Virtual Boy. Wario está de férias na floresta tropical da Awazônia. Repentinamente ele percebe criaturas estranhas em uma caverna secreta. Decidindo segui-los, Wario então cai em uma sala onde é acumulado um tesouro fabuloso. Ele tenta roubá-lo, mas antes de sair da sala, o chão cai.
Virtual Fishing (Japan)	A Virtual Fishing é um jogo de pesca lançado em 1995. O jogo foi desenvolvido pela Pack-In-Video no Japão. A THQ cancelou sua liberação no território estadunidense após as vendas medíocres no Virtual Boy.
Virtual Lab (Japan)	Laboratório Virtual é um jogo lançado em 1995 no Virtual Boy. O jogo é uma mistura entre Tetris e Pipe Dream. Moedas caem do topo da tela, e deve ser disposto de modo a formar tubos totalmente fechado.
